"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","26","2","0","0","28"
"Burglary","36","78","0","1","115"
"Homicide","4","3","0","0","7"
"Manslaughter","7","8","0","0","15"
"Property","223","283","5","1","512"
"Possession of Drugs","57","246","4","1","308"
"Robbery","12","9","0","0","21"
"Sale of Drugs","60","83","0","0","143"
"Sex Offense","5","2","0","1","8"
"Violent","21","28","2","0","51"
"Verification Pending","0","0","0","0","0"
"TOTAL","451","742","11","4","1,208"
