"","","","Youthful Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","0",".00","Montgomery","0",".00"
"","Attala","1","5.00","Panola","1","5.00"
"","Benton","1","5.00","Pontotoc","0",".00"
"","Bolivar","1","5.00","Prentiss","0",".00"
"","Calhoun","0",".00","Quitman","0",".00"
"","Carroll","0",".00","Sunflower","1","5.00"
"","Chickasaw","0",".00","Tallahatchie","0",".00"
"Northern","Choctaw","0",".00","Tate","0",".00"
"Counties","","","","","",""
"","Coahoma","1","5.00","Tippah","0",".00"
"","Desoto","4","20.00","Tishomingo","0",".00"
"","Grenada","3","15.00","Tunica","0",".00"
"","Itawamba","1","5.00","Union","1","5.00"
"","Lafayette","0",".00","Washington","1","5.00"
"","Lee","0",".00","Webster","0",".00"
"","Leflore","1","5.00","Winston","2","10.00"
"","Marshall","1","5.00","Yalobusha","0",".00"
"","Monroe","0",".00","TOTAL","20","26.32"
