"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","1","0","0","2","0.05%"
"0","0","0","0","3","0.07%"
"21","32","0","0","523","11.96%"
"0","0","0","0","2","0.05%"
"0","0","0","0","2","0.05%"
"2","0","0","0","3","0.07%"
"0","0","0","0","1","0.02%"
"0","0","0","0","2","0.05%"
"0","0","0","0","5","0.11%"
"0","0","0","0","10","0.23%"
"0","0","0","0","10","0.23%"
"2","0","0","0","6","0.14%"
"1","0","0","0","2","0.05%"
"0","0","0","0","1","0.02%"
"0","0","0","0","2","0.05%"
"1","16","0","0","25","0.57%"
"0","0","0","0","3","0.07%"
"0","1","0","0","3","0.07%"
"3","1","0","0","50","1.14%"
"0","0","0","0","3","0.07%"
"0","0","0","0","1","0.02%"
"2","0","0","0","119","2.72%"
"2","17","0","0","50","1.14%"
"0","1","0","0","21","0.48%"
"5","9","0","0","179","4.09%"
"0","0","0","0","1","0.02%"
"0","0","0","0","3","0.07%"
"102","18","0","0","296","6.77%"
"5","3","0","0","86","1.97%"
"0","0","0","0","2","0.05%"
"0","1","0","0","1","0.02%"
"0","0","0","0","1","0.02%"
"0","0","0","0","1","0.02%"
"0","0","0","0","1","0.02%"
"0","1","0","0","2","0.05%"
"1","0","0","0","6","0.14%"
"1","0","0","0","1","0.02%"
