"MALES","","","",""
"PROPERTY","BLACK","WHITE","HISPANIC  OTHER",""
"Accessory After the Fact","45","15","0","0"
"Aggravated DUI","12","17","0","0"
"Aiding Prisioner Escape","1","0","0","0"
"Altering Identification of","0","1","0","0"
"Attempt to Elude","0","1","0","0"
"Bigamy","0","1","0","0"
"Bribery","0","2","0","0"
"Bribery - Public Official","1","0","0","0"
"Burglary","30","26","0","1"
"Carjacking","6","1","0","0"
"Carry Concealed Weapon","2","2","0","0"
"Carrying a Weapon in a Public","1","0","0","0"
"Carrying a Weapon on School Property","1","0","0","0"
"Child Abuse","22","16","0","0"
