Location,Capacity_x_x,1-Nov-14,2-Nov-14,3-Nov-14,4-Nov-14,5-Nov-14,6-Nov-14,7-Nov-14,8-Nov-14,9-Nov-14,Capacity_y_x,10-Nov-14,11-Nov-14,12-Nov-14,13-Nov-14,14-Nov-14,15-Nov-14,16-Nov-14,17-Nov-14,18-Nov-14,Capacity_x_y,19-Nov-14,20-Nov-14,Capacity.1,21-Nov-14,22-Nov-14,23-Nov-14,24-Nov-14,25-Nov-14,26-Nov-14,27-Nov-14,Capacity_y_y,28-Nov-14,29-Nov-14,Unnamed: 4,30-Nov-14 Avg Population
Mississippi State Penitentiary,"4,648","3,163","3,163","3,160","3,146","3,147","3,136","3,135","3,134","3,128","4,648","3,128","3,113","3,111","3,125","3,131","3,129","3,115","3,126","3,132","4,648","3,155","3,162","4,648","3,156","3,155","3,129","3,154","3,160","3,162","3,159","4,648","3,156","3,151","3,151","3,142"
Central Mississippi Correctional Facility,"3,469","2,292","2,297","2,325","2,305","2,276","2,248","2,231","2,233","2,232","3,469","2,272","2,265","2,215","2,239","2,236","2,234","2,233","2,246","2,260","3,469","2,213","2,225","3,469","2,252","2,253","2,248","2,215","2,193","2,225","2,223","3,469","2,224","2,224","2,220","2,245"
Youthful Offender Unit,58,88,32,32,33,33,33,32,33,33,58,33,33,33,33,33,33,33,33,32,58,33,33,58,33,33,33,32,34,34,34,58,34,34,34,35
CMCF TVC,350,33,87,85,86,116,124,119,120,118,350,118,118,108,105,105,104,103,102,102,350,92,91,350,91,91,88,88,85,86,85,350,84,84,84,97
South Mississippi Correctional Institution,"3,282","2,800","2,798","2,799","2,802","2,807","2,802","2,788","2,790","2,791","3,282","2,796","2,859","2,791","2,788","2,732","2,733","2,730","2,652","2,638","3,282","2,638","2,636","3,282","2,623","2,624","2,622","2,634","2,632","2,632","2,616","3,282","2,617","2,615","2,614","2,713"
County Jails,"1,973","1,687","1,573","1,527","1,515","1,492","1,607","1,544","1,532","1,541","1,973","1,502","1,447","1,448","1,433","1,434","1,426","1,451","1,510","1,491","1,973","1,517","1,494","1,985","1,503","1,503","1,503","1,532","1,551","1,496","1,512","1,973","1,515","1,511","1,511","1,510"
COMMUNITY WORK CENTERS,"1,848","1,073","1,038","1,092","1,104","1,098",998,"1,079","1,071","1,070","1,848","1,060","1,074","1,082","1,080","1,070","1,080","1,067","1,083","1,094","1,848","1,098","1,109","1,848","1,112","1,110","1,107","1,101","1,112","1,111","1,109","1,848","1,103","1,103","1,103","1,086"
Alcorn Satellite Facility,92,88,88,89,87,86,86,85,85,85,92,85,85,85,85,84,84,84,84,87,92,86,85,92,82,82,82,82,79,78,77,92,77,77,77,84
Bolivar Satellite Facility,102,50,50,50,49,49,49,49,48,48,102,48,48,52,52,49,49,49,51,52,102,52,52,102,53,52,52,52,52,52,52,102,52,52,52,51
Forrest Satellite Facility,96,45,45,46,50,50,51,50,50,50,96,50,51,50,48,48,48,48,48,48,96,48,58,96,57,57,57,57,57,57,57,96,58,58,58,52
George Satellite Facility,102,51,51,51,51,51,50,49,49,49,102,49,50,51,51,52,52,51,51,51,102,51,51,102,51,51,51,51,53,54,54,102,53,53,53,51
Harrison Satellite Facility,102,47,47,46,46,44,43,43,46,42,102,42,43,43,43,42,42,42,42,41,102,44,43,102,48,48,48,47,52,50,50,102,48,48,48,45
Jackson Satellite Facility,102,45,45,49,48,48,48,47,39,43,102,43,47,46,46,45,45,45,47,46,102,45,45,102,45,44,43,43,44,47,47,102,47,47,47,46
Jefferson Satellite Facility,102,44,43,44,43,45,45,45,42,42,102,42,40,43,43,41,41,41,43,43,102,43,43,102,45,45,45,45,45,47,47,102,47,47,47,44
Leflore Satellite Facility,102,52,52,53,53,52,51,50,51,51,102,51,52,52,52,51,51,51,52,51,102,51,51,102,53,53,53,53,56,54,53,102,53,53,53,52
Madison Satellite Facility,102,50,50,49,54,54,54,53,56,56,102,56,55,55,54,54,54,54,54,51,102,51,52,102,52,52,52,52,52,52,52,102,51,51,51,53
Noxubee Satellite Facility,92,61,61,65,65,65,65,64,62,62,92,62,63,63,63,59,59,59,63,68,92,67,68,92,68,68,68,68,68,68,68,92,68,68,68,65
Pike Satellite Facility,93,78,78,88,88,86,88,87,88,87,93,87,82,79,79,78,78,78,78,80,93,88,88,93,87,87,86,84,85,83,83,93,82,82,82,83
Quitman Satellite Facility,93,53,53,55,55,55,55,54,53,53,93,53,56,56,56,57,57,57,56,57,93,57,54,93,54,54,54,54,50,51,51,93,51,51,51,54
Rankin Satellite Facility,260,176,142,173,183,182,180,179,177,177,260,167,176,177,174,175,185,173,178,180,260,180,182,260,181,181,181,180,181,181,181,260,181,181,181,178
Simpson Satellite Facility,102,98,98,98,97,97,49,94,94,94,102,94,93,93,92,98,98,98,98,101,102,98,94,102,93,93,93,92,93,92,92,102,90,90,90,93
Washington Satellite Facility,102,49,49,49,49,49,39,48,49,49,102,49,50,52,54,52,52,52,53,53,102,53,54,102,54,54,54,54,54,54,54,102,54,54,54,51
Wilkinson Satellite Facility,102,41,41,41,41,40,45,38,39,39,102,39,39,39,44,44,44,44,43,43,102,42,41,102,41,41,40,40,40,40,40,102,40,40,40,41
Yazoo Satellite Facility,102,45,45,46,45,45,0,44,43,43,102,43,44,46,44,41,41,41,42,42,102,42,48,102,48,48,48,47,51,51,51,102,51,51,51,44
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,133","4,276","4,257","4,250","4,256","4,259","4,246","4,252","4,249","4,438","4,249","4,227","4,236","4,236","4,225","4,222","4,221","4,216","4,215","4,438","4,224","4,220","4,438","4,210","4,203","4,201","4,208","4,225","4,225","4,224","4,438","4,220","4,220","4,218","4,227"
Alcorn County,300,299,299,298,297,297,298,297,298,298,300,298,298,298,300,300,299,299,299,299,300,298,297,300,297,297,297,297,297,300,300,300,300,300,299,298
Bolivar County,369,359,359,361,359,361,361,360,359,359,369,359,357,362,361,359,359,359,358,356,369,355,356,369,354,354,354,359,360,360,360,369,360,360,360,359
Carroll County,280,270,270,268,267,267,265,264,264,263,280,263,262,261,259,257,257,257,257,263,280,262,261,280,259,258,258,258,262,263,263,280,263,263,263,262
Chickasaw County,300,300,300,300,298,297,300,299,298,297,300,297,299,298,299,299,299,299,301,301,300,301,301,300,300,298,298,299,299,300,300,300,300,300,300,299
George County,280,271,271,267,269,269,271,270,270,270,280,270,265,263,263,261,261,261,259,258,280,262,261,280,260,259,259,258,262,262,262,280,262,261,261,264
Holmes County,280,266,266,263,260,260,259,258,260,260,280,260,255,253,255,262,262,262,264,264,280,267,267,280,267,267,267,268,268,266,266,280,265,265,265,263
Issaquena County,274,260,260,258,257,259,258,257,262,262,274,262,259,255,253,253,253,253,251,253,274,254,251,274,252,252,252,255,254,257,257,274,257,256,256,256
Jefferson County,280,269,269,267,266,263,268,267,266,266,280,266,264,264,266,265,264,264,264,260,280,255,253,280,257,257,256,259,259,259,259,280,259,259,259,262
