Location,Capacity_x_x,1-Dec-16,2-Dec-16,3-Dec-16,4-Dec-16,5-Dec-16,6-Dec-16,7-Dec-16,8-Dec-16,9-Dec-16,10-Dec-16,Capacity_y_x,11-Dec-16,12-Dec-16,13-Dec-16,14-Dec-16,15-Dec-16,16-Dec-16,Capacity_x_y,17-Dec-16,18-Dec-16,19-Dec-16,20-Dec-16,21-Dec-16,22-Dec-16,23-Dec-16,Capacity_y_y,24-Dec-16,25-Dec-16,26-Dec-16,27-Dec-16,28-Dec-16,29-Dec-16,30-Dec-16,31-Dec-16,Avg Population
Mississippi State Penitentiary,3590,3354,3354,3353,3351,3353,3332,3348,3354,3365,3364,3590,3362,3358,"3,347",3350,3348,3342,3590,"3,343","3,342","3,327","3,332","3,347","3,349","3,349",3590,"3,349","3,349","3,348","3,346",3341,3360,3381,3381,3350
Central Mississippi Correctional Facility,"3,858","3,225","3,218","3,210","3,211","3,211","3,258","3,230","3,286","3,266","3,272","3,858","3,272","3,278","3,309","3,329","3,368","3,327","3,858","3,325","3,324","3,375","3,398","3,376","3,394","3,393","3,858","3,394","3,396","3,397","3,399",3352,3397,3396,3391,3320
Youthful Offender Unit,58,32,31,31,31,31,31,30,30,30,30,58,30,30,30,30,30,30,58,30,30,30,30,30,29,29,58,29,29,29,28,27,27,27,27,30
CMCF TVC,,4,16,16,16,16,16,15,16,1,1,,1,1,1,1,2,5,,5,4,4,4,5,5,5,,5,5,4,4,3,3,3,3,6
South Mississippi Correctional Institution,"3,082","3,020","3,016","3,015","3,012","3,051","3,048","3,048","3,048","3,060","3,060","3,082","3,061","3,059","3,055","3,059","3,057","3,063","3,082","3,063","3,062","3,059","3,056","3,060","3,060","3,061","3,082","3,060","3,060","3,061","3,055",3059,3063,3065,3064,3053
County Jails,"1,781","1,248","1,249","1,251","1,251","1,261","1,255","1,278","1,251","1,266","1,266","1,781","1,266","1,298","1,291","1,292","1,267","1,275","1,781","1,275","1,275","1,257","1,233","1,204","1,209","1,209","1,781","1,209","1,209","1,209","1,198",1226,1177,1173,1173,1244
COMMUNITY WORK CENTERS,"1,348",871,893,891,891,893,891,888,885,920,919,"1,348",919,929,921,914,923,957,"1,348",954,951,950,948,959,957,962,"1,348",960,959,955,943,964,967,976,974,930
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,64,64,64,64,65,64,62,62,62,62,96,62,66,65,64,64,64,96,64,64,64,63,59,59,59,96,59,59,59,59,59,66,66,66,63
George Satellite Facility,102,77,77,77,77,77,76,76,76,76,76,102,76,75,76,75,77,77,102,77,77,76,77,80,80,80,102,80,80,80,78,78,78,78,78,77
Harrison Satellite Facility,102,50,48,48,48,48,47,47,47,47,47,102,47,47,48,60,60,60,102,60,60,63,63,63,62,63,102,63,63,62,59,59,58,58,58,55
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,38,48,47,47,45,45,44,43,58,58,82,58,59,57,56,54,63,82,63,61,61,61,60,57,59,82,57,56,56,55,65,63,64,64,55
Leflore TVC Support,20,11,11,11,11,10,10,9,9,9,9,20,9,9,9,9,9,9,20,9,9,9,9,8,8,8,20,8,8,8,10,10,10,10,10,9
Madison Satellite Facility,102,72,69,69,69,69,73,72,72,71,71,102,71,71,71,69,69,73,102,73,73,72,72,76,76,76,102,76,76,76,76,80,75,75,75,73
Noxubee Satellite Facility,92,69,74,74,74,74,74,73,72,72,72,92,72,77,77,77,80,79,92,79,79,79,79,83,83,83,92,83,83,83,81,81,81,86,86,78
Pike Satellite Facility,93,86,85,85,85,86,86,85,85,84,84,93,84,90,90,78,78,77,93,76,75,74,74,74,74,74,93,74,74,73,72,79,83,83,83,80
Quitman Satellite Facility,93,50,50,50,50,49,47,47,47,49,49,93,49,49,49,47,47,47,93,47,47,47,45,52,54,54,93,54,54,54,54,54,54,54,54,50
Rankin Satellite Facility,182,148,157,157,157,157,157,155,155,155,155,182,155,154,150,153,155,157,182,157,157,157,162,162,163,163,182,163,163,163,165,165,166,167,167,158
Rankin RID,28,2,2,2,2,2,2,2,2,2,2,28,2,2,2,2,2,2,28,2,2,2,4,4,4,4,28,4,4,4,4,4,4,4,4,3
