Location,Capacity_x_x,1-Feb-12,2-Feb-12,3-Feb-12,4-Feb-12,5-Feb-12,6-Feb-12,7-Feb-12,8-Feb-12,9-Feb-12,Capacity_y_x,10-Feb-12,11-Feb-12,12-Feb-12,13-Feb-12,14-Feb-12,15-Feb-12,16-Feb-12,17-Feb-12,18-Feb-12,Capacity_x_y,19-Feb-12,20-Feb-12,21-Feb-12,22-Feb-12,23-Feb-12,24-Feb-12,25-Feb-12,26-Feb-12,27-Feb-12,Capacity_y_y,28-Feb-12,29-Feb-12,Avg Population
Mississippi State Penitentiary,"4,648","3,240","3,240","3,242","3,242","3,242","3,231","3,230","3,225","3,217","4,648","3,221","3,220","3,219","3,224","3,247","3,238","3,266","3,233","3,231","4,648","3,228","3,228","3,228","3,235","3,251","3,245","3,244","3,241","3,238","4,648","3,236","3,250","3,236"
Central Mississippi Correctional Facility,"3,665","3,075","3,106","3,092","3,094","3,093","3,098","3,099","3,108","3,059","3,665","3,060","3,057","3,055","3,075","3,076","3,100","3,071","3,077","3,074","3,665","3,077","3,072","3,084","3,079","3,054","3,060","3,058","3,055","3,078","3,665","3,074","3,055","3,076"
South Mississippi Correctional Institution,"3,282","3,140","3,139","3,151","3,151","3,151","3,152","3,157","3,156","3,157","3,282","3,157","3,156","3,158","3,164","3,165","3,164","3,163","3,160","3,155","3,282","3,153","3,153","3,151","3,161","3,172","3,156","3,152","3,152","3,157","3,282","3,162","3,163","3,156"
County Jails,"1,668","2,122","2,135","2,120","2,120","2,120","2,143","2,188","2,183","2,218","1,668","2,223","2,223","2,223","2,204","2,171","2,159","2,158","2,171","2,171","1,668","2,171","2,176","2,166","2,196","2,178","2,205","2,205","2,205","2,219","1,668","2,247","2,220","2,181"
COMMUNITY WORK CENTERS,"1,848","1,343","1,350","1,346","1,343","1,344","1,373","1,362","1,364","1,349","1,848","1,312","1,313","1,311","1,338","1,344","1,346","1,362","1,378","1,376","1,848","1,373","1,398","1,389","1,386","1,385","1,371","1,365","1,365","1,404","1,848","1,414","1,455","1,364"
Alcorn Satellite Facility,92,91,91,91,91,91,91,91,90,90,92,90,90,90,90,92,92,92,92,92,92,92,92,92,91,91,88,88,88,91,92,91,91,91
Bolivar Satellite Facility,102,56,65,66,66,66,66,66,66,64,102,61,61,61,66,66,65,65,70,70,102,70,71,70,70,70,69,68,68,68,102,69,69,66
Forrest Satellite Facility,96,84,84,81,81,81,83,82,82,79,96,74,74,74,77,77,77,74,72,72,96,72,74,74,73,73,70,70,70,71,96,71,77,76
George Satellite Facility,102,74,74,80,80,80,81,80,82,81,102,80,80,77,75,75,75,83,81,81,102,81,83,79,79,79,81,81,81,82,102,82,85,80
Harrison Satellite Facility,102,88,85,83,82,83,85,84,87,84,102,80,81,81,82,82,82,85,82,80,102,80,81,81,81,81,82,81,82,80,102,80,80,82
