Location,Capacity_x,1-Apr-14,2-Apr-14,3-Apr-14,4-Apr-14,5-Apr-14,6-Apr-14,7-Apr-14,8-Apr-14,9-Apr-14,10-Apr-14,Capacity_y,11-Apr-14,12-Apr-14,13-Apr-14,14-Apr-14,15-Apr-14,16-Apr-14,17-Apr-14,18-Apr-14,19-Apr-14,20-Apr-14,21-Apr-14,Capacity,22-Apr-14,23-Apr-14,24-Apr-14,25-Apr-14,26-Apr-14,27-Apr-14,28-Apr-14,29-Apr-14,30-Apr-14,Avg Pop
Mississippi State Penitentiary,"4,648","3,341","3,344","3,335","3,330","3,328","3,328","3,336","3,327","3,319","3,320","4,648","3,346","3,345","3,345","3,342","3,329","3,332","3,314","3,319","3,316","3,314","3,318","4,648","3,309","3,289","3,284","3,275","3,275","3,274",,,,"3,320"
Central Mississippi Correctional Facility,"3,665","2,990","2,990","2,984","3,005","3,003","3,001","2,987","2,989","2,977","2,961","3,665","2,892","2,889","2,888","2,890","2,860","2,833","2,842","2,787","2,786","2,786","2,791","3,665","2,814","2,800","2,835","2,824","2,824","2,822",,,,"2,891"
Youthful Offender Unit,42,37,37,37,37,37,37,37,37,37,36,42,36,36,36,36,36,36,37,37,37,37,37,42,37,37,37,37,37,37,,,,37
South Mississippi Correctional Institution,"3,282","3,226","3,216","3,223","3,219","3,214","3,212","3,202","3,204","3,212","3,205","3,282","3,203","3,203","3,203","3,218","3,214","3,224","3,213","3,219","3,216","3,216","3,221","3,282","3,223","3,244","3,243","3,232","3,231","3,229",,,,"3,218"
County Jails,"2,020","1,931","1,917","1,924","1,954","1,944","1,954","1,929","1,925","1,925","1,924","2,020","1,949","1,949","1,949","1,947","1,962","1,901","1,897","1,920","1,921","1,920","1,919","2,020","1,906","1,875","2,114","1,885","1,885","1,894",,,,"1,930"
COMMUNITY WORK CENTERS,"1,848","1,158","1,163","1,180","1,159","1,165","1,153","1,164","1,166","1,173","1,151","1,848","1,167","1,165","1,162","1,167","1,102","1,153","1,162","1,166","1,163","1,162","1,163","1,848","1,168","1,174","1,169","1,171","1,170","1,169",0.0,0.0,0.0,"1,162"
Alcorn Satellite Facility,92,88,86,87,85,85,85,83,83,87,85,92,85,85,84,82,84,83,89,88,88,88,87,92,87,88,88,87,87,87,,,,86
Bolivar Satellite Facility,102,47,46,46,46,46,46,45,45,46,46,102,46,46,44,44,44,45,45,43,43,43,44,102,43,43,44,44,44,44,,,,45
Forrest Satellite Facility,96,52,52,52,52,51,51,51,53,53,53,96,52,52,51,49,49,49,51,54,54,54,54,96,52,51,51,51,51,51,,,,52
George Satellite Facility,102,62,63,63,63,62,62,63,61,62,62,102,66,65,64,65,64,67,66,69,68,68,68,102,68,67,67,69,69,69,,,,65
Harrison Satellite Facility,102,49,49,49,49,49,49,47,47,47,46,102,46,46,46,47,46,45,45,51,50,50,49,102,48,48,47,52,52,52,,,,48
Jackson Satellite Facility,102,43,46,46,46,46,46,47,47,46,43,102,45,45,45,46,45,45,45,48,48,48,48,102,48,48,51,51,51,51,,,,47
Jefferson Satellite Facility,102,44,44,44,42,42,42,43,42,43,43,102,43,42,42,42,41,40,40,39,39,39,40,102,40,42,40,47,47,47,,,,42
Leflore Satellite Facility,102,55,56,56,55,54,52,51,51,51,49,102,49,49,52,48,51,50,50,50,50,50,50,102,51,51,48,48,48,48,,,,51
Madison Satellite Facility,102,54,57,57,59,59,60,62,62,63,63,102,62,62,62,62,60,60,58,56,56,56,55,102,54,54,58,53,53,53,,,,58
Noxubee Satellite Facility,92,76,77,80,79,79,79,79,79,79,78,92,79,79,79,79,74,72,71,69,69,69,71,92,70,72,72,72,72,72,,,,75
Pike Satellite Facility,93,89,86,88,87,87,87,87,86,86,85,93,86,86,86,88,41,88,88,88,88,88,87,93,90,93,92,90,89,89,,,,86
