Location,Capacity_x,1-Sep-19,2-Sep-19,3-Sep-19,4-Sep-19,5-Sep-19,6-Sep-19,7-Sep-19,8-Sep-19,9-Sep-19,10-Sep-19,11-Sep-19,12-Sep-19,13-Sep-19,14-Sep-19,15-Sep-19,16-Sep-19,17-Sep-19,Capacity_y,18-Sep-19,19-Sep-19,20-Sep-19,21-Sep-19,22-Sep-19,23-Sep-19,24-Sep-19,25-Sep-19,26-Sep-19,27-Sep-19,28-Sep-19,29-Sep-19,30-Sep-19,Avg Population
Mississippi State Penitentiary,"3,560","3,243","3,243","3,245","3,246","3,256","3,246","3,245","3,245","3,236","3,232","3,246","3,247","3,264","3,262","3,262","3,270","3,263","3,560","3,257","3,256","3,256","3,251","3,250","3,247","3,249","3,243","3,246","3,259","3,258","3,257","3,251","3,251"
Central Mississippi Correctional Facility,"4,131","3,585","3,584","3,582","3,598","3,566","3,520","3,519","3,517","3,528","3,517","3,519","3,534","3,514","3,514","3,515","3,526","3,489","4,131","3,469","3,477","3,477","3,476","3,477","3,503","3,545","3,560","3,567","3,563","3,562","3,563","3,556",3531
Youthful Offender Unit,58,26,26,25,24,24,24,24,24,24,24,24,25,25,25,25,25,25,58,25,25,25,24,24,24,23,23,23,26,23,23,23,24
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,653","2,654","2,652","2,651","2,645","2,657","2,657","2,657","2,655","2,652","2,663","2,666","2,664","2,665","2,662","2,663","2,662","3,082","2,663","2,660","2,658","2,658","2,658","2,657","2,662","2,655","2,660","2,657","2,656","2,656","2,660",2658
County Jails,"1,793","1,291","1,291","1,277","1,289","1,277","1,324","1,324","1,324","1,350","1,334","1,334","1,328","1,345","1,345","1,345","1,337","1,324","1,793","1,318","1,300","1,321","1,321","1,321","1,350","1,302","1,283","1,292","1,314","1,314","1,314","1,318",1317
COMMUNITY WORK CENTERS,"1,372","1,006",996,990,"1,004",990,984,982,981,988,985,991,992,987,975,971,979,993,"1,372",998,992,984,981,978,991,972,981,977,963,962,959,981,984
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,93,93,93,93,90,90,90,86,90,90,90,87,87,86,86,88,88,124,88,88,88,88,88,86,85,85,85,84,84,84,84,88
