Location,Capacity_x,1-Dec-18,Unnamed: 3,2-Dec-18,3-Dec-18,4-Dec-18,5-Dec-18,6-Dec-18,7-Dec-18,8-Dec-18,9-Dec-18,10-Dec-18,11-Dec-18,12-Dec-18,13-Dec-18,14-Dec-18,15-Dec-18,16-Dec-18,17-Dec-18,18-Dec-18,19-Dec-18,Capacity_y,20-Dec-18,21-Dec-18,22-Dec-18,23-Dec-18,24-Dec-18,25-Dec-18,26-Dec-18,27-Dec-18,28-Dec-18,29-Dec-18,30-Dec-18,31-Dec-18,Avg Population
Mississippi State Penitentiary,"3,560","3,262","3,259","3,274","3,284","3,286","3,287","3,282","3,281","3,280","3,272","3,266","3,286","3,291","3,287","3,286","3,286","3,282","3,272","3,280",,"3,560","3,278","3,277","3,274","3,274","3,274","3,270","3,276","3,277","3,274","3,274","3,275","3,275","3,278"
Central Mississippi Correctional Facility,"4,131","3,870","3,869","3,853","3,857","3,852","3,860","3,866","3,864","3,863","3,887","3,891","3,895","3,848","3,878","3,878","3,879","3,917","3,900","3,897",,"4,131","3,928","3,930","3,927","3,930","3,931","3,931","3,967","3,901","3,871","3,872","3,871","3,867","3,889"
Youthful Offender Unit,58,37,36,36,36,37,35,35,35,35,35,35,36,37,37,37,37,37,39,39,,58,39,39,37,37,39,39,37,38,38,38,38,36,37
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","3,044","3,044","3,046","3,040","3,056","3,060","3,060","3,060","3,060","3,062","3,061","3,060","3,052","3,055","3,053","3,049","3,046","3,055","3,056",,"3,082","3,056","3,059","3,058","3,058","3,058","3,058","3,059","3,053","3,057","3,057","3,057","3,056","3,055"
County Jails,"1,781","1,250","1,250","1,259","1,284","1,286","1,271","1,314","1,314","1,314","1,298","1,318","1,295","1,347","1,350","1,350","1,350","1,303","1,273","1,264",,"1,781","1,251","1,232","1,232","1,232","1,232","1,232","1,178","1,162","1,147","1,147","1,147","1,147",1263
COMMUNITY WORK CENTERS,"1,536",985,984,"1,002",996,"1,015","1,012","1,007","1,007",993,"1,005","1,004","1,012","1,016","1,011","1,007","1,000","1,006",990,"1,005",,"1,536","1,003","1,006","1,003",996,987,982,995,994,"1,013","1,010","1,008","1,008",1002
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,77,77,76,76,76,76,74,74,74,78,78,78,79,82,82,81,81,81,81,,124,81,81,81,81,81,81,84,83,84,84,84,84,80
Delta TVC,324,251,250,264,252,266,263,260,260,248,263,258,265,261,258,256,251,263,256,270,,324,265,268,266,266,258,256,266,265,266,264,263,263,261
Forrest Satellite Facility,96,57,57,57,56,56,56,58,58,58,57,56,54,53,53,53,53,51,51,50,,96,51,51,51,51,51,51,51,51,50,50,50,50,53
George Satellite Facility,102,74,74,76,76,76,75,75,75,75,75,74,77,77,75,75,75,75,75,75,,102,75,74,74,74,74,74,74,73,73,73,73,73,75
Harrison Satellite Facility,102,49,49,50,49,49,49,49,49,49,47,49,49,51,51,51,51,51,50,48,,102,48,48,48,48,48,48,48,48,48,48,48,48,49
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,70,70,70,68,68,70,69,69,69,69,68,68,68,68,68,68,67,66,66,,62,65,65,65,64,64,64,64,65,70,70,70,70,68
Noxubee Satellite Facility,58,35,35,35,35,40,40,40,40,40,40,47,47,48,47,47,47,47,45,45,,58,45,45,45,45,45,45,45,45,53,53,53,53,44
Pike Satellite Facility,93,68,68,72,72,72,71,71,71,71,69,70,70,70,70,70,70,70,69,69,,93,69,69,68,68,68,68,68,68,73,73,73,73,70
Quitman Satellite Facility,93,53,53,53,52,52,54,55,55,55,55,55,55,55,55,55,55,55,54,55,,93,55,55,55,55,55,55,55,57,57,57,57,57,55
Rankin Satellite Facility,178,154,154,153,152,152,152,151,151,151,150,149,149,154,154,154,154,152,149,149,,178,148,149,149,149,149,149,149,149,151,151,151,151,151
Rankin RID,28,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,28,19,19,19,19,19,19,19,19,18,18,18,18,19
Flowood TVC,50,20,20,20,33,33,33,32,32,30,29,27,27,27,26,26,25,24,25,28,,50,32,32,32,26,25,22,22,21,21,20,19,19,26
Simpson TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,57,57,57,56,56,54,54,54,54,54,54,54,54,53,51,51,51,50,50,,62,50,50,50,50,50,50,50,50,49,49,49,49,52
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,708","3,708","3,708","3,698","3,705","3,715","3,711","3,708","3,707","3,706","3,712","3,712","3,712","3,730","3,730","3,725","3,717","3,718","3,721",,"4,556","3,727","3,728","3,725","3,723","3,722","3,721","3,717","3,743","3,759","3,758","3,757","3,757","3,721"
Alcorn County,300,237,236,236,236,235,239,239,239,239,239,239,239,238,238,238,238,237,239,240,,300,240,240,240,240,240,240,240,240,239,239,239,239,239
Bolivar County,369,294,294,294,293,293,293,292,292,292,292,293,292,292,292,292,291,290,294,292,,369,291,294,293,292,292,292,292,291,291,291,291,291,292
Carroll County,280,266,269,269,269,269,270,270,270,270,270,270,270,270,270,270,269,269,269,269,,280,269,269,269,269,268,268,267,269,269,269,269,269,269
Chickasaw County,310,241,241,241,240,240,239,238,238,238,240,240,240,240,240,240,240,240,240,240,,310,239,239,239,239,239,238,237,240,240,240,240,240,240
George County,342,201,200,200,200,200,200,200,200,200,200,199,199,201,201,201,201,200,199,199,,342,201,201,200,200,200,200,200,199,199,199,199,199,200
Holmes County,280,198,198,198,198,198,200,200,200,200,200,200,200,200,200,200,199,199,200,198,,280,198,197,197,197,197,197,197,200,200,200,200,200,199
Issaquena County,274,266,267,267,266,265,269,269,268,268,267,269,269,269,269,269,269,269,269,269,,274,267,267,267,267,267,267,267,270,269,269,269,269,268
Jefferson County,280,265,265,265,263,268,268,267,267,267,267,267,267,263,269,269,269,269,268,270,,280,270,269,269,269,269,269,268,275,277,277,277,277,269
Kemper County,355,259,258,258,257,257,257,257,257,257,257,257,257,257,260,260,260,257,256,260,,355,260,260,260,260,260,260,259,255,260,260,260,260,258
Leake County,280,269,268,268,267,266,266,266,265,265,264,264,263,263,269,269,268,268,268,270,,280,269,269,269,269,269,269,268,266,268,268,267,267,267
Marion County,280,268,270,270,269,269,269,269,269,268,268,267,269,269,269,269,269,269,269,268,,280,269,269,268,268,268,268,268,268,267,267,267,267,268
Stone County,326,265,265,265,265,265,265,264,264,264,264,263,263,263,265,265,264,264,264,264,,326,270,270,270,270,270,270,270,281,280,280,280,280,268
Washington County,300,169,169,169,169,169,169,169,169,169,168,176,176,176,176,176,176,175,174,174,,300,177,176,176,176,176,176,176,176,174,174,174,174,173
Winston County,280,270,268,268,267,267,267,267,266,266,267,266,266,269,270,270,270,269,269,268,,280,268,268,268,267,267,267,267,266,270,269,269,269,268
Yazoo County,300,240,240,240,239,244,244,244,244,244,243,242,242,242,242,242,242,242,240,240,,300,239,240,240,240,240,240,241,247,256,256,256,256,243
PRIVATE PRISONS,"5,472","3,193","3,192","3,188","3,189","3,188","3,203","3,202","3,202","3,202","3,199","3,191","3,190","3,197","3,192","3,189","3,187","3,186","3,203","3,208",,"5,472","3,199","3,205","3,205","3,205","3,204","3,204","3,201","3,194","3,193","3,192","3,191","3,192","3,196"
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,259","1,259","1,256","1,259","1,259","1,272","1,272","1,272","1,272","1,270","1,264","1,263","1,271","1,267","1,265","1,264","1,264","1,273","1,273",,"1,500","1,272","1,279","1,279","1,279","1,278","1,278","1,276","1,273","1,272","1,272","1,271","1,272",1269
Marshall County,"1,000","1,000",999,999,998,998,"1,000","1,000","1,000","1,000","1,000",999,999,998,998,998,998,997,997,997,,"1,000",999,999,999,999,999,999,998,"1,000",999,999,999,999,999
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",934,934,933,932,931,931,930,930,930,929,928,928,928,927,926,925,925,933,938,,"1,000",928,927,927,927,927,927,927,921,922,921,921,921,928
RESTITUTION CENTERS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,9,9,9,9,9,10
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,5,5,5,5,5,6
