Location,Capacity_x,1-Aug-19,2-Aug-19,3-Aug-19,4-Aug-19,5-Aug-19,6-Aug-19,7-Aug-19,8-Aug-19,9-Aug-19,10-Aug-19,11-Aug-19,12-Aug-19,13-Aug-19,14-Aug-19,15-Aug-19,16-Aug-19,17-Aug-19,Capacity_y,18-Aug-19,19-Aug-19,20-Aug-19,21-Aug-19,22-Aug-19,23-Aug-19,24-Aug-19,25-Aug-19,26-Aug-19,27-Aug-19,28-Aug-19,29-Aug-19,30-Aug-19,31-Aug-19,Avg Population
Mississippi State Penitentiary,"3,560","3,244","3,620","3,259","3,258","3,253","3,283","3,272","3,286","3,296","3,294","3,293","3,283","3,258","3,250","3,259","3,265","3,199","3,560","3,262","3,259","3,263","3,277","3,270","3,278","3,277","3,277","3,267","3,263","3,246","3,251","3,246","3,244","3,276"
Central Mississippi Correctional Facility,"4,131","3,694","3,662","3,660","3,660","3,642","3,649","3,665","3,629","3,618","3,614","3,611","3,642","3,616","3,632","3,634","3,610","3,767","4,131","3,615","3,587","3,577","3,561","3,583","3,542","3,544","3,547","3,553","3,580","3,599","3,577","3,587","3,586",3614
Youthful Offender Unit,58,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,26,58,24,24,24,24,25,26,26,26,26,26,27,27,26,26,24
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,641","2,632","2,630","2,630","2,643","2,647","2,645","2,646","2,653","2,653","2,652","2,648","2,659","2,657","2,650","2,661","2,646","3,082","2,660","2,651","2,648","2,655","2,644","2,651","2,649","2,648","2,655","2,664","2,656","2,656","2,652","2,652",2649
County Jails,"1,793","1,225","1,262","1,262","1,262","1,255","1,323","1,227","1,240","1,226","1,226","1,226","1,227","1,231","1,225","1,264","1,288","1,268","1,793","1,288","1,332","1,302","1,289","1,283","1,290","1,290","1,290","1,290","1,278","1,269","1,288","1,291","1,291",1268
COMMUNITY WORK CENTERS,"1,372","1,015","1,038","1,035","1,029","1,058","1,049","1,044","1,041","1,029","1,027","1,017","1,034","1,036","1,048","1,031","1,015","1,040","1,372","1,009","1,026","1,019","1,025","1,018","1,024","1,023","1,021","1,020","1,013","1,009","1,008","1,010","1,006",1026
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,85,84,84,83,84,84,83,82,81,81,81,82,89,88,89,88,88,124,88,97,96,95,85,77,77,77,76,78,77,77,93,93,85
Delta TVC,324,309,309,306,302,311,301,301,301,298,298,292,306,302,313,298,289,321,324,284,293,282,293,286,285,285,283,282,272,275,269,266,262,293
Forrest Satellite Facility,96,82,80,80,80,84,84,82,81,80,80,80,79,78,78,78,76,76,96,76,78,78,78,78,78,78,78,77,77,77,76,76,76,79
George Satellite Facility,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Satellite Facility,102,47,47,47,47,47,47,47,47,47,47,47,46,45,45,46,46,46,102,45,45,45,44,44,44,43,43,44,44,43,43,50,50,46
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
