Location,Capacity_x,1-Jul-01,2-Jul-01,3-Jul-01,4-Jul-01,5-Jul-01,6-Jul-01,7-Jul-01,8-Jul-01,9-Jul-01,10-Jul-01,Capacity_y,11-Jul-01,12-Jul-01,13-Jul-01,14-Jul-01,15-Jul-01,16-Jul-01,17-Jul-01,18-Jul-01,19-Jul-01,20-Jul-01,Capacity,21-Jul-01,22-Jul-01,23-Jul-01,24-Jul-01,25-Jul-01,26-Jul-01,Capacity.1,27-Jul-01,28-Jul-01,29-Jul-01,30-Jul-01,31-Jul-01
MS STATE PENITENTIARY  (capacity decreased by 80 7/27),"5,692","5,206","5,224","5,220","5,219","5,227","5,220","5,220","5,219","5,250","5,250","5,692","5,244","5,277","5,268","5,277","5,275","5,263","5,293","5,284","5,275","5,294","5,692","5,292","5,291","5,286","5,279","5,314","5,284","5,612","5,303","5,305","5,305","5,305","5,304"
CENTRAL MS CORRECTIONAL FACILITY,"3,049","3,030","3,020","3,041","3,044","3,033","3,066","3,064","3,064","3,035","3,039","3,049","3,018","3,000","3,004","3,005","3,006","3,015","3,002","3,001","2,981","2,973","3,049","2,974","2,974","2,963","2,993","2,979","2,962","3,049","2,974","2,973","2,975","2,978","2,991"
SOUTH MS CORRECTIONAL INSTITUTION,"2,214","1,904","1,904","1,904","1,904","1,902","1,912","1,911","1,911","1,903","1,901","2,214","1,933","1,931","1,932","1,932","1,931","1,966","1,964","1,962","1,992","1,980","2,214","1,981","1,981","1,953","1,950","1,941","1,962","2,214","1,956","1,958","1,959","1,956","1,979"
COUNTY JAILS,"2,122","1,364","1,362","1,390","1,390","1,427","1,370","1,369","1,369","1,404","1,448","2,122","1,454","1,450","1,460","1,459","1,459","1,430","1,430","1,457","1,473","1,462","2,122","1,466","1,466","1,474","1,488","1,473","1,502","2,122","1,514","1,517","1,517","1,522","1,522"
COMMUNITY WORK CENTERS,"1,320","1,269","1,283","1,277","1,277","1,279","1,269","1,269","1,268","1,280","1,277","1,320","1,273","1,273","1,197","1,186","1,186","1,256","1,261","1,259","1,258","1,232","1,320","1,231","1,232","1,261","1,265","1,261","1,268","1,320","1,235","1,235","1,235","1,256","1,249"
Alcorn Satellite Facility,75,75,75,74,74,75,73,73,73,74,74,75,74,74,67,67,67,73,74,74,74,67,75,67,67,74,74,74,74,75,69,69,69,72,72
Bolivar Satellite Facility,75,75,75,74,74,75,75,75,75,75,74,75,74,74,70,70,70,73,73,72,73,69,75,69,69,73,75,75,74,75,73,73,73,74,74
Forrest Satellite Facility,75,73,75,75,75,75,70,70,70,75,75,75,75,75,74,74,74,75,75,75,75,75,75,75,75,75,74,72,72,75,70,70,70,72,71
George Satellite Facility,75,72,73,73,72,72,72,72,71,73,72,75,71,70,70,70,70,71,69,69,69,69,75,69,69,69,68,68,74,75,71,72,72,74,72
Harrison Satellite Facility,75,70,73,73,73,73,73,73,73,75,75,75,73,73,72,72,72,72,72,72,70,69,75,69,69,70,73,73,75,75,75,75,75,75,73
