Location,Capacity_x_x,1-Nov-15,2-Nov-15,3-Nov-15,4-Nov-15,5-Nov-15,6-Nov-15,7-Nov-15,8-Nov-15,9-Nov-15,Capacity_y_x,10-Nov-15,11-Nov-15,12-Nov-15,13-Nov-15,14-Nov-15,15-Nov-15,16-Nov-15,17-Nov-15,18-Nov-15,Capacity_x_y,19-Nov-15,20-Nov-15,21-Nov-15,22-Nov-15,23-Nov-15,24-Nov-15,25-Nov-15,26-Nov-15,27-Nov-15,Capacity_y_y,28-Nov-15,29-Nov-15,Unnamed: 4,30-Nov-15 Avg Population
Mississippi State Penitentiary,"3,590","3,276","3,276","3,276","3,276","3,274","3,274","3,274","3,273","3,275","3,590","3,276","3,272","3,274","3,263","3,262","3,267","3,283","3,283","3,277","3,590","3,283","3,282","3,283","3,282","3,278","3,273","3,264","3,262","3,261","3,590","3,267","3,266",,"3,274"
MSP TVC,,86,86,86,86,87,87,87,86,80,,96,96,96,98,97,94,95,95,90,,86,85,86,97,97,90,89,89,88,,87,87,,90
Central Mississippi Correctional Facility,"2,932","2,685","2,685","2,685","2,685","2,686","2,686","2,685","2,684","2,685","2,932","2,680","2,678","2,669","2,698","2,696","2,694","2,693","2,733","2,732","2,932","2,692","2,691","2,692","2,656","2,659","2,675","2,676","2,676","2,675","2,932","2,677","2,679",,"2,686"
Youthful Offender Unit,58,25,25,25,25,26,26,26,25,27,58,27,27,27,27,27,27,27,27,27,58,27,27,26,28,28,28,28,28,27,58,28,28,,27
CMCF TVC,,140,140,140,140,141,141,139,138,124,,137,132,131,127,127,121,120,120,118,,117,117,116,113,113,79,105,105,104,,98,96,,122
"South Mississippi Correctional Institution 2,882",,"2,694","2,694","2,694","2,694","2,695","2,695","2,695","2,694","2,699",,"2,714","2,709","2,698","2,694","2,694","2,694","2,690","2,690","2,689",,"2,690","2,690","2,689","2,691","2,691","2,716","2,711","2,711","2,710",,"2,708","2,707",,"2,698"
SMCI TVC,,92,92,92,92,93,93,93,92,93,,98,96,99,96,96,93,93,93,100,,99,99,98,93,93,89,88,88,87,,84,83,,93
County Jails,"1,780","1,288","1,291","1,304","1,259","1,221","1,204","1,202","1,204","1,191","1,780","1,169","1,171","1,209","1,215","1,205","1,215","1,198","1,217","1,212","1,780","1,200","1,200","1,199","1,198","1,198","1,278","1,282","1,278","1,282","1,780","1,283","1,283",,"1,230"
COMMUNITY WORK CENTERS,"1,848","1,113","1,128","1,128","1,128","1,143","1,143","1,141","1,135","1,125","1,848","1,134","1,133","1,113","1,081","1,090","1,081","1,121","1,096","1,094","1,848","1,093","1,093","1,088","1,116","1,110","1,095","1,100","1,100","1,087","1,848","1,094","1,094",0.0,"1,110"
Alcorn Satellite Facility,92,55,56,56,56,57,57,57,57,48,92,50,50,18,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,92,0,0,,21
Bolivar Satellite Facility,102,71,72,72,72,73,73,73,73,73,102,75,75,74,74,74,74,73,73,78,102,77,77,76,78,78,77,77,77,76,102,77,77,,75
Forrest Satellite Facility,96,46,47,47,47,48,48,48,48,48,96,48,48,51,47,47,47,52,52,52,96,51,51,50,52,52,48,48,48,47,96,48,48,,49
George Satellite Facility,102,52,53,53,53,54,54,54,54,53,102,53,53,53,51,51,51,54,54,52,102,52,52,51,55,55,54,53,53,52,102,53,53,,53
Harrison Satellite Facility,102,40,41,41,41,42,42,42,42,45,102,45,45,48,47,47,47,49,49,48,102,48,48,47,49,49,48,48,48,47,102,48,48,,46
Jackson Satellite Facility,102,50,51,51,51,52,52,52,52,53,102,53,53,53,48,48,48,53,53,53,102,56,56,55,63,63,62,62,62,61,102,61,61,,55
Jefferson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,,0
Leflore Satellite Facility,102,78,79,79,79,80,80,80,79,73,102,75,75,77,75,75,75,79,79,74,102,74,74,74,79,79,77,77,77,76,102,74,74,,77
Madison Satellite Facility,102,68,69,69,69,70,70,70,69,69,102,71,71,70,69,69,69,71,70,72,102,72,72,72,74,74,71,73,73,72,102,73,73,,71
Noxubee Satellite Facility,92,67,68,68,68,69,69,69,68,71,92,81,81,81,83,83,83,88,77,75,92,75,75,75,76,76,74,74,74,73,92,74,74,,75
Pike Satellite Facility,93,71,72,72,72,73,73,73,72,73,93,68,68,67,65,65,65,67,67,66,93,66,66,66,67,67,74,75,75,74,93,75,75,,70
Quitman Satellite Facility,93,62,63,63,63,64,64,64,64,61,93,62,62,65,64,64,64,65,62,64,93,64,64,64,65,64,63,63,63,62,93,63,63,,63
Rankin Satellite Facility,260,178,178,178,178,178,178,176,174,174,260,173,173,175,171,181,171,178,178,179,260,176,176,176,176,176,175,178,178,178,260,178,178,,176
Simpson Satellite Facility,102,98,99,99,99,100,100,100,100,98,102,94,94,94,100,100,100,100,100,99,102,97,97,97,94,93,92,92,92,91,102,91,91,,97
Washington Satellite Facility,102,73,74,74,74,75,75,75,75,80,102,80,80,80,83,82,83,84,74,76,102,75,75,75,76,74,72,72,72,71,102,72,72,,76
Wilkinson Satellite Facility,102,49,50,50,50,51,51,51,51,51,102,51,50,51,48,48,48,51,51,50,102,49,49,49,50,49,48,48,48,47,102,47,47,,49
Yazoo Satellite Facility,102,55,56,56,56,57,57,57,57,55,102,55,55,56,56,56,56,57,57,56,102,61,61,61,62,61,60,60,60,60,102,60,60,,58
REGIONAL CORRECTIONAL FACILITIES,"4,438","3,569","3,574","3,572","3,583","3,596","3,596","3,594","3,592","3,633","4,438","3,628","3,622","3,636","3,636","3,636","3,626","3,621","3,615","3,628","4,438","3,661","3,661","3,661","3,669","3,669","3,673","3,705","3,704","3,704","4,438","3,698","3,696",0.0,"3,636"
Alcorn County,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,300,0,0,,0
Bolivar County,369,278,279,279,279,280,280,280,280,297,369,296,296,307,306,306,296,304,304,316,369,315,315,315,317,317,321,319,319,319,369,318,318,,302
Carroll County,280,273,274,274,274,275,275,275,275,273,280,273,273,273,274,274,274,271,272,271,280,270,270,270,270,270,270,269,269,269,280,269,269,,272
Chickasaw County,300,269,270,270,271,272,272,272,272,261,300,261,260,260,258,258,258,259,259,257,300,257,257,257,257,257,253,253,253,253,300,253,253,,261
George County,280,224,225,225,226,227,227,227,227,230,280,230,230,228,227,227,227,224,235,233,280,232,232,232,233,233,241,259,258,258,280,258,258,,234
Holmes County,280,274,275,275,276,277,277,277,277,279,280,280,280,280,280,280,280,273,272,263,280,272,272,272,274,274,279,277,277,277,280,277,277,,276
Issaquena County,274,252,252,252,253,254,254,254,254,249,274,249,249,249,249,249,249,250,249,249,274,253,253,253,253,253,250,260,260,260,274,259,259,,253
Jefferson County,280,244,244,244,245,246,246,246,246,246,280,245,244,244,247,247,247,247,246,254,280,262,262,262,261,261,259,261,261,261,280,261,261,,252
Kemper County,355,277,277,277,278,279,279,279,279,293,355,293,293,302,304,304,304,305,304,302,355,305,305,305,305,305,314,316,316,316,355,316,316,,298
Leake County,280,240,240,240,241,242,242,242,242,245,280,244,242,243,242,242,242,239,238,238,280,242,242,242,241,241,236,235,235,235,280,235,234,,240
Marion County,280,254,254,254,255,256,256,256,256,258,280,259,259,258,259,259,259,260,257,257,280,256,256,256,261,261,260,265,265,265,280,265,265,,259
Stone County,280,273,273,273,274,275,275,275,275,276,280,274,274,276,278,278,278,277,276,276,280,276,276,276,275,275,274,277,277,277,280,277,276,,276
Washington County,300,210,210,210,210,210,210,208,206,204,300,204,203,203,203,203,203,201,199,213,300,215,215,215,215,215,214,212,212,212,300,209,209,,209
Winston County,280,224,224,223,224,225,225,225,225,239,280,237,237,238,238,238,238,240,235,231,280,232,232,232,231,231,234,235,235,235,280,235,235,,232
Yazoo County,300,277,277,276,277,278,278,278,278,283,300,283,282,275,271,271,271,271,269,268,300,274,274,274,276,276,268,267,267,267,300,266,266,,274
PRIVATE PRISONS,"5,972","3,927","3,927","3,919","3,923","3,927","3,927","3,927","3,927","3,928","5,972","3,914","3,907","3,907","3,907","3,904","3,902","3,902","3,899","3,909","5,972","3,910","3,910","3,910","3,912","3,912","3,909","3,898","3,897","3,897","5,972","3,888","3,887",0.0,"3,911"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,,0
East Mississippi,"1,500","1,109","1,109","1,107","1,108","1,109","1,109","1,109","1,109","1,112","1,500","1,113","1,112","1,113","1,114","1,112","1,112","1,114","1,114","1,116","1,500","1,116","1,116","1,116","1,120","1,120","1,117","1,116","1,115","1,115","1,500","1,113","1,112",,"1,113"
Marshall County,"1,000",997,997,995,996,997,997,997,997,996,"1,000",996,993,991,"1,000","1,000",999,999,999,999,"1,000",997,997,997,997,997,"1,001","1,000","1,000","1,000","1,000",997,997,,997
Walnut Grove,"1,500",935,935,933,934,935,935,935,935,925,"1,500",910,909,910,903,903,902,901,896,905,"1,500",908,908,908,907,907,903,895,895,895,"1,500",892,892,,912
Wilkinson County,"1,000",886,886,884,885,886,886,886,886,895,"1,000",895,893,893,890,889,889,888,890,889,"1,000",889,889,889,888,888,888,887,887,887,"1,000",886,886,,888
RESTITUTION CENTERS,16,11,11,7,7,7,7,7,7,10,16,10,10,9,7,7,7,9,9,13,16,12,12,12,12,12,13,12,12,12,16,12,12,0.0,10
Greenwood,6,4,4,3,3,3,3,3,3,4,6,4,4,4,3,3,3,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,,4
Hinds,6,6,6,4,4,4,4,4,4,5,6,5,5,4,4,4,4,4,4,5,6,5,5,5,5,5,6,6,6,6,6,6,6,,5
Pascagoula,4,1,1,0,0,0,0,0,0,1,4,1,1,1,0,0,0,1,1,4,4,3,3,3,3,3,3,2,2,2,4,2,2,,1
