Location,Capacity_x,1-Nov-05,2-Nov-05,3-Nov-05,4-Nov-05,5-Nov-05,6-Nov-05,7-Nov-05,8-Nov-05,9-Nov-05,10-Nov-05,11-Nov-05,12-Nov-05,13-Nov-05,Capacity_y,14-Nov-05,15-Nov-05,16-Nov-05,17-Nov-05,18-Nov-05,19-Nov-05,20-Nov-05,21-Nov-05,22-Nov-05,23-Nov-05,24-Nov-05,25-Nov-05,26-Nov-05,Capacity,27-Nov-05,28-Nov-05,29-Nov-05,30-Nov-05
Mississippi State Penitentiary,"4,730","4,348","4,340","4,350","4,367","4,360","4,356","4,357","4,366","4,382","4,399","4,397","4,391","4,390","4,730","4,381","4,386","4,380","4,386","4,381","4,372","4,367","4,387","4,361","4,357","4,354","4,349","4,347","4,730","4,344","4,356","4,355","4,363"
Central Mississippi Correctional Facility,"3,219","3,151","3,160","3,157","3,146","3,145","3,144","3,134","3,136","3,140","3,144","3,144","3,143","3,141","3,219","3,119","3,141","3,167","3,172","3,168","3,168","3,163","3,134","3,152","3,134","3,132","3,130","3,127","3,219","3,124","3,110","3,099","3,096"
South Mississippi Correctional Institution,"2,306","2,198","2,204","2,194","2,183","2,183","2,182","2,210","2,195","2,186","2,207","2,204","2,205","2,206","2,306","2,196","2,210","2,220","2,218","2,216","2,216","2,211","2,203","2,185","2,193","2,193","2,192","2,192","2,306","2,192","2,188","2,185","2,181"
County Jails,"2,192","1,700","1,698","1,698","1,681","1,681","1,681","1,699","1,716","1,685","1,675","1,676","1,676","1,676","2,192","1,713","1,669","1,676","1,681","1,669","1,669","1,669","1,673","1,683","1,671","1,671","1,672","1,672","2,192","1,672","1,660","1,670","1,660"
COMMUNITY WORK CENTERS,"1,816","1,655","1,653","1,654","1,628","1,628","1,628","1,668","1,648","1,648","1,637","1,551","1,548","1,546","1,816","1,630","1,623","1,616","1,615","1,612","1,611","1,611","1,616","1,603","1,620","1,612","1,610","1,606","1,816","1,607","1,607","1,621","1,636"
Alcorn Satellite Facility,92,89,89,88,78,78,78,87,88,90,90,87,87,87,92,89,89,90,90,89,89,89,89,87,87,87,87,87,92,87,87,90,87
Bolivar Satellite Facility,102,95,94,93,90,90,90,93,82,83,83,83,83,83,102,83,82,81,81,81,81,81,81,81,83,82,82,82,102,82,82,82,89
Forrest Satellite Facility,96,94,94,94,96,96,96,94,96,96,94,89,89,89,96,94,94,94,94,94,94,94,96,93,90,90,89,89,96,89,89,89,88
George Satellite Facility,102,94,94,94,94,94,94,94,94,94,93,89,87,87,102,91,89,89,94,94,94,94,93,94,94,93,93,93,102,93,93,91,91
Harrison Satellite Facility,102,93,92,92,88,88,88,91,91,91,91,88,88,88,102,92,93,93,92,91,90,90,90,89,91,91,91,89,102,89,88,91,88
Jackson Satellite Facility,102,80,80,80,82,81,81,82,80,80,77,72,72,72,102,77,78,76,76,76,76,76,76,75,75,74,74,74,102,74,74,73,73
