Location,Capacity_x_x,1-Apr-07,2-Apr-07,3-Apr-07,4-Apr-07,5-Apr-07,6-Apr-07,7-Apr-07,8-Apr-07,9-Apr-07,Capacity_y_x,10-Apr-07,11-Apr-07,12-Apr-07,13-Apr-07,14-Apr-07,15-Apr-07,16-Apr-07,17-Apr-07,18-Apr-07,Capacity_x_y,19-Apr-07,20-Apr-07,21-Apr-07,22-Apr-07,23-Apr-07,24-Apr-07,25-Apr-07,26-Apr-07,27-Apr-07,Capacity_y_y,28-Apr-07,29-Apr-07,30-Apr-07,Unnamed: 5,Avg Population
Mississippi State Penitentiary,"4,534","4,510","4,516","4,511","4,510","4,504","4,523","4,517","4,513","4,494","4,534","4,515","4,512","4,521","4,508","4,504","4,496","4,502","4,520","4,522","4,534","4,528","4,530","4,529","4,524","4,523","4,516","4,527","4,513","4,516","4,534","4,511","4,507","4,507",,"4,514"
Central Mississippi Correctional Facility,"3,381","3,450","3,452","3,441","3,482","3,492","3,410","3,407","3,408","3,411","3,381","3,395","3,420","3,423","3,449","3,448","3,446","3,449","3,474","3,481","3,381","3,444","3,424","3,423","3,423","3,453","3,484","3,472","3,447","3,417","3,381","3,416","3,415","3,415",,"3,439"
South Mississippi Correctional Institution,"2,564","2,400","2,392","2,406","2,412","2,385","2,405","2,400","2,399","2,400","2,564","2,418","2,419","2,430","2,409","2,406","2,407","2,431","2,423","2,436","2,564","2,466","2,479","2,479","2,478","2,472","2,466","2,493","2,495","2,495","2,564","2,492","2,490","2,490",,"2,439"
County Jails,"1,773","1,909","1,909","1,903","1,920","1,894","1,909","1,909","1,909","1,921","1,773","1,932","1,920","1,921","1,907","1,907","1,907","1,860","1,839","1,799","1,773","1,806","1,844","1,844","1,844","1,831","1,803","1,778","1,784","1,832","1,773","1,832","1,832","1,831",,"1,868"
COMMUNITY WORK CENTERS,"1,816","1,724","1,753","1,766","1,745","1,749","1,737","1,734","1,732","1,747","1,816","1,750","1,756","1,750","1,735","1,734","1,733","1,750","1,748","1,751","1,816","1,754","1,714","1,713","1,714","1,747","1,746","1,757","1,772","1,740","1,816","1,739","1,738","1,767",,"1,743"
Alcorn Satellite Facility,92,88,90,91,91,91,92,92,92,92,92,91,90,90,89,89,89,89,89,89,92,92,92,92,92,91,91,91,90,89,92,89,89,92,,90
Bolivar Satellite Facility,102,96,96,102,100,98,98,98,98,98,102,98,98,98,93,93,93,102,102,102,102,102,102,102,102,102,101,100,102,101,102,101,101,102,,99
Forrest Satellite Facility,96,90,94,94,94,91,89,89,89,92,96,92,95,94,94,94,93,91,91,91,96,91,89,89,89,94,93,91,96,92,96,92,92,96,,92
George Satellite Facility,102,98,100,99,96,100,100,100,100,101,102,100,101,101,97,97,97,100,100,100,102,100,95,95,95,100,100,101,102,101,102,101,101,101,,99
Harrison Satellite Facility,102,98,100,100,96,95,100,100,100,101,102,101,101,100,98,98,98,98,98,97,102,97,92,92,92,102,102,101,100,100,102,100,100,100,,99
Jackson Satellite Facility,102,97,97,97,97,101,99,99,99,100,102,101,101,100,100,100,100,100,99,99,102,102,102,102,102,102,101,101,101,96,102,96,96,96,,99
Jefferson Satellite Facility,102,97,98,102,100,99,98,97,96,96,102,102,102,102,102,102,102,101,101,101,102,99,95,95,95,96,96,102,96,96,102,96,96,96,,99
Leflore Satellite Facility,102,100,101,101,96,95,101,101,101,98,102,97,96,95,102,102,102,102,102,101,102,101,101,101,101,101,100,100,102,98,102,98,98,101,,100
Madison Satellite Facility,102,100,102,102,101,101,101,101,101,100,102,100,99,101,101,101,101,100,102,102,102,102,101,101,102,102,102,102,102,101,102,101,101,101,,101
Noxubee Satellite Facility,92,89,91,90,90,88,86,86,86,88,92,88,89,92,92,92,92,91,91,92,92,89,85,85,85,90,90,90,90,88,92,88,88,89,,89
Pike Satellite Facility,93,88,90,90,89,89,86,86,86,85,93,84,84,82,78,78,78,78,78,78,93,79,72,72,72,73,73,77,81,87,93,87,87,89,,82
Quitman Satellite Facility,93,81,84,83,84,84,84,83,83,85,93,84,84,83,83,82,82,82,81,81,93,81,75,75,75,78,80,78,86,84,93,83,83,85,,82
Rankin Satellite Facility,228,216,216,217,216,218,210,210,209,215,228,215,215,215,213,213,213,215,214,214,228,215,215,215,215,213,215,220,222,216,228,216,216,221,,215
Simpson Satellite Facility,102,96,99,102,101,102,100,100,100,101,102,101,100,100,100,100,100,100,99,102,102,102,101,101,101,102,102,102,102,98,102,98,98,99,,100
Washington Satellite Facility,102,102,101,100,99,97,101,101,101,101,102,100,100,97,95,95,95,97,98,99,102,99,96,95,95,98,98,98,98,98,102,98,98,99,,98
Wilkinson Satellite Facility,102,90,94,94,93,99,96,96,96,97,102,97,99,98,97,97,97,102,102,102,102,102,102,102,102,102,102,102,101,98,102,98,98,100,,99
Yazoo Satellite Facility,102,98,100,102,102,101,96,95,95,97,102,99,102,102,101,101,101,102,101,101,102,101,99,99,99,101,100,101,101,97,102,97,96,100,,100
REGIONAL CORRECTIONAL FACILITIES,"3,082","3,063","3,076","3,072","3,072","3,071","3,072","3,069","3,069","3,070","3,082","3,074","3,074","3,074","3,072","3,071","3,069","3,070","3,071","3,067","3,082","3,072","3,064","3,057","3,055","3,063","3,067","3,061","3,072","3,072","3,082","3,070","3,068","3,065",,"3,069"
Bolivar County,294,291,293,293,293,294,294,294,294,294,294,294,294,294,293,293,292,293,293,293,294,292,290,289,289,290,289,288,292,292,294,292,292,291,,292
Carroll County,280,278,281,280,277,277,277,277,277,277,280,280,280,280,279,280,280,279,278,279,280,280,280,280,280,279,280,279,279,279,280,278,278,277,,279
George County,280,272,280,280,279,276,276,276,276,277,280,277,276,279,279,279,279,279,279,280,280,280,277,277,276,278,280,280,280,279,280,279,279,279,,278
Holmes County,280,280,280,280,280,280,280,279,279,278,280,280,280,280,280,279,279,280,279,279,280,280,280,278,278,279,280,280,279,279,280,279,279,278,,279
Issaquena County,274,274,273,271,273,271,270,270,270,272,274,272,272,270,270,270,270,273,274,273,274,273,273,272,272,274,271,268,269,272,274,272,272,272,,272
Jefferson County,274,273,274,276,276,276,276,276,276,275,274,274,274,274,274,273,273,271,272,268,274,272,269,268,267,269,268,266,274,273,274,273,271,271,,272
Kemper County,280,279,280,279,277,279,280,279,279,279,280,279,279,280,279,279,279,277,280,279,280,279,280,279,279,278,280,280,280,280,280,279,279,279,,279
Leake County,280,280,280,280,280,280,280,279,279,279,280,279,280,279,280,280,280,278,280,280,280,280,280,280,280,279,279,280,280,279,280,279,279,279,,280
Marion County,280,279,278,277,279,280,281,281,281,281,280,281,281,281,281,281,281,281,280,280,280,280,280,280,280,280,280,279,279,279,280,279,279,280,,280
Stone County,280,280,280,280,280,280,280,280,280,280,280,280,280,280,278,278,277,279,276,276,280,279,276,275,275,277,280,281,280,280,280,280,280,280,,279
Winston County,280,277,277,276,278,278,278,278,278,278,280,278,278,277,279,279,279,280,280,280,280,277,279,279,279,280,280,280,280,280,280,280,280,279,,279
PRIVATE PRISONS,"5,100","4,888","4,889","4,894","4,892","4,893","4,896","4,894","4,894","4,902","5,100","4,903","4,898","4,905","4,899","4,898","4,898","4,892","4,893","4,902","5,100","4,895","4,898","4,890","4,889","4,880","4,875","4,863","4,881","4,881","5,100","4,881","4,880","4,875",,"4,891"
Delta,972,967,968,968,970,971,971,970,970,973,972,972,971,971,971,970,970,971,970,968,972,968,970,966,965,965,961,960,970,969,972,969,969,969,,969
East Mississippi,"1,000",883,882,886,884,883,883,883,884,882,"1,000",884,883,883,881,881,881,880,880,889,"1,000",888,886,885,885,885,885,887,887,887,"1,000",887,887,885,,884
Marshall County,"1,000",995,994,994,994,993,994,994,993,993,"1,000",991,991,995,995,995,995,995,992,995,"1,000",995,995,994,994,993,993,994,993,992,"1,000",992,991,990,,993
Tallahatchie County,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127,127,127,127,128,128,128,128,128,128,128,127,,128
Walnut Grove,"1,000",949,952,954,954,950,948,947,947,953,"1,000",953,950,954,950,950,950,945,950,949,"1,000",942,946,944,944,944,945,933,933,935,"1,000",935,935,934,,946
Wilkinson County,"1,000",966,965,964,962,968,972,972,972,973,"1,000",975,975,974,974,974,974,973,973,973,"1,000",974,974,974,974,966,963,961,970,970,"1,000",970,970,970,,971
RESTITUTION CENTERS,16,12,12,12,11,11,10,10,10,10,16,10,10,10,9,9,9,9,9,11,16,11,11,11,11,11,11,11,11,11,16,11,11,11,,11
Greenwood,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,6,4,4,4,,4
Hinds,6,5,5,5,4,4,3,3,3,3,6,3,3,3,3,3,3,3,3,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,4
Pascagoula,4,3,3,3,3,3,3,3,3,3,4,3,3,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,,2
GOVERNOR'S MANSION,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,,5
E-CODE,,43,5,9,11,10,37,37,0,8,,6,7,5,25,24,24,8,5,7,,8,37,38,37,9,12,15,15,42,,43,42,11,,19
TOTALS,"22,272","22,004","22,009","22,019","22,060","22,014","22,004","21,982","21,939","21,968","22,272","22,008","22,021","22,044","22,018","22,006","21,994","21,976","21,987","21,981","22,272","21,989","22,006","21,989","21,980","21,994","21,985","21,982","21,995","22,011","22,272","22,000","21,988","21,977",,"21,998"
