Location,Capacity_x,1-Sep-14,2-Sep-14,3-Sep-14,4-Sep-14,5-Sep-14,6-Sep-14,7-Sep-14,8-Sep-14,9-Sep-14,10-Sep-14,Capacity_y,11-Sep-14,12-Sep-14,13-Sep-14,14-Sep-14,15-Sep-14,16-Sep-14,17-Sep-14,18-Sep-14,19-Sep-14,20-Sep-14,21-Sep-14,Capacity,22-Sep-14,23-Sep-14,24-Sep-14,25-Sep-14,26-Sep-14,27-Sep-14,28-Sep-14,29-Sep-14,30-Sep-14,Avg Pop
Mississippi State Penitentiary,"4,648","3,256","3,276","3,270","3,270","3,272","3,266","3,263","3,284","3,314","3,324","4,648","3,326","3,327","3,326","3,325","3,308","3,290","3,306","3,299","3,325","3,323","3,323","4,648","3,313","3,307","3,299","3,295","3,285","3,281","3,279","3,296","3,312","3,298"
Central Mississippi Correctional Facility,"3,469","2,427","2,378","2,367","2,374","2,386","2,389","2,389","2,396","2,499","2,370","3,469","2,380","2,339","2,347","2,340","2,342","2,388","2,348","2,375","2,301","2,299","2,298","3,469","2,336","2,355","2,363","2,381","2,377","2,367","2,375","2,362","2,353","2,367"
Youthful Offender Unit,58,37,37,39,39,39,39,39,39,39,40,58,40,40,40,40,40,41,39,38,37,37,37,58,37,36,34,34,34,34,34,34,34,38
CMCF TVC,350,119,118,120,120,120,119,119,107,109,111,350,118,118,117,116,115,115,115,114,113,113,112,350,118,118,118,117,113,118,111,111,110,115
South Mississippi Correctional Institution,"3,282","3,122","3,142","3,145","3,145","3,148","3,147","3,147","3,131","3,127","3,128","3,282","3,137","3,111","3,111","3,109","3,101","3,085","3,086","3,077","3,086","3,084","3,082","3,282","3,072","3,070","3,054","3,046","3,033","3,033","3,032","3,042","3,046","3,096"
County Jails,"1,973","1,736","1,760","1,782","1,775","1,790","1,790","1,789","1,755","1,837","1,752","1,973","1,879","1,760","1,760","1,760","1,809","1,708","1,697","1,672","1,743","1,684","1,684","1,973","1,665","1,670","1,695","1,676","1,681","1,677","1,677","1,641","1,631","1,731"
COMMUNITY WORK CENTERS,"1,848","1,180","1,168","1,167","1,167","1,157","1,155","1,154","1,150",963,"1,157","1,848","1,156","1,155","1,154","1,152","1,060","1,124","1,133","1,125","1,056","1,116","1,115","1,848","1,125","1,123","1,106","1,111","1,093","1,096","1,096","1,111","1,106","1,124"
Alcorn Satellite Facility,92,86,87,87,87,87,87,87,86,84,85,92,86,86,86,86,84,84,84,84,84,84,84,92,83,80,79,82,81,81,81,78,75,84
Bolivar Satellite Facility,102,55,55,54,54,52,52,52,52,53,53,102,53,52,52,51,50,47,47,47,47,47,47,102,46,46,46,46,44,44,44,46,46,49
Forrest Satellite Facility,96,57,56,56,56,54,54,54,57,56,56,96,56,54,54,54,55,55,54,53,51,51,51,96,52,52,50,50,49,49,49,50,50,53
George Satellite Facility,102,62,62,62,62,61,61,61,60,60,63,102,62,61,60,60,59,58,59,58,56,56,56,102,61,62,59,59,57,56,56,56,55,59
Harrison Satellite Facility,102,51,51,51,51,53,53,53,53,54,54,102,54,52,52,51,53,51,51,51,50,50,50,102,49,50,48,47,45,45,45,42,41,50
Jackson Satellite Facility,102,52,52,53,53,52,52,52,49,49,48,102,48,46,46,46,47,47,47,47,44,45,45,102,47,47,47,46,45,45,45,46,46,48
Jefferson Satellite Facility,102,51,51,50,50,49,49,49,51,51,51,102,51,55,55,55,56,54,54,54,52,52,52,102,53,53,53,53,52,52,52,53,53,52
Leflore Satellite Facility,102,53,50,50,50,50,50,50,49,49,50,102,49,52,52,52,52,52,52,52,55,55,54,102,52,52,49,48,47,47,47,48,48,51
Madison Satellite Facility,102,55,54,55,55,55,55,55,55,53,53,102,53,54,54,54,54,54,53,53,53,53,53,102,54,53,53,53,52,52,52,51,50,53
Noxubee Satellite Facility,92,68,66,64,64,68,68,68,68,68,67,92,71,71,71,71,69,69,69,67,69,69,69,92,69,69,69,73,70,70,70,73,73,69
Pike Satellite Facility,93,88,88,87,87,87,87,87,89,90,90,93,91,91,91,91,90,89,89,88,90,90,90,93,91,92,91,91,90,90,90,93,93,90
Quitman Satellite Facility,93,58,57,60,60,59,59,58,55,56,55,93,57,60,60,60,59,58,61,60,58,58,58,93,59,60,59,58,57,57,57,57,57,58
Rankin Satellite Facility,260,190,185,186,186,186,186,186,184,0,188,260,187,184,184,184,98,177,176,174,169,169,169,260,172,172,170,169,170,174,174,184,184,171
Simpson Satellite Facility,102,102,102,102,102,93,92,92,95,95,99,102,98,99,99,99,98,94,99,98,49,102,102,102,102,102,101,101,100,100,100,100,99,97
Washington Satellite Facility,102,49,49,48,48,50,50,50,47,47,47,102,44,43,43,43,43,44,48,48,43,49,49,102,48,47,46,46,46,46,46,46,46,47
Wilkinson Satellite Facility,102,51,51,50,50,50,49,49,48,50,50,102,48,46,46,46,44,43,42,43,43,43,43,102,43,43,40,43,43,43,43,43,44,46
Yazoo Satellite Facility,102,52,52,52,52,51,51,51,52,48,48,102,48,49,49,49,49,48,48,48,43,43,43,102,44,43,46,46,45,45,45,45,46,48
REGIONAL CORRECTIONAL FACILITIES,"4,500","4,387","4,382","4,365","4,365","4,349","4,349","4,349","4,349","4,351","4,355","4,500","4,213","4,357","4,355","4,353","4,327","4,301","4,299","4,294","4,323","4,317","4,316","4,500","4,311","4,300","4,293","4,300","4,290","4,288","4,285","4,300","4,305","4,324"
Alcorn County,300,295,295,297,297,297,297,297,300,298,300,300,300,300,300,299,295,295,300,299,300,300,300,300,300,299,297,297,294,294,294,294,294,297
Bolivar County,369,366,366,362,362,363,363,363,360,359,363,369,362,361,361,361,357,355,353,353,355,355,355,369,360,359,358,358,359,359,359,364,363,360
Carroll County,280,277,277,275,275,275,275,275,278,277,280,280,280,278,278,277,275,276,276,276,276,275,275,280,275,276,276,274,274,274,274,274,277,276
Chickasaw County,362,299,297,300,300,297,297,297,299,299,300,362,297,300,300,300,297,300,299,298,300,300,299,362,298,297,300,300,300,300,300,298,299,299
George County,280,278,279,278,278,276,276,276,274,278,276,280,278,271,271,271,271,267,267,262,266,265,265,280,261,261,262,261,260,260,260,262,279,270
Holmes County,280,280,277,278,278,280,280,280,280,279,276,280,276,279,279,279,277,273,274,274,278,278,278,280,274,272,271,272,272,272,272,273,269,276
