Location,Capacity_x,1-Oct-18,Unnamed: 3,2-Oct-18,3-Oct-18,4-Oct-18,5-Oct-18,6-Oct-18,7-Oct-18,8-Oct-18,9-Oct-18,10-Oct-18,11-Oct-18,12-Oct-18,13-Oct-18,14-Oct-18,15-Oct-18,16-Oct-18,17-Oct-18,Capacity_y,18-Oct-18,19-Oct-18,20-Oct-18,21-Oct-18,22-Oct-18,23-Oct-18,24-Oct-18,25-Oct-18,26-Oct-18,27-Oct-18,28-Oct-18,29-Oct-18,30-Oct-18,31-Oct-18,Avg Population
Mississippi State Penitentiary,"3,560","3,277","3,281","3,293","3,278","3,274","3,273","3,273","3,267","3,267","3,264","3,286","3,291","3,289","3,289","3,280","3,280","3,278",,"3,560","3,276","3,274","3,273","3,273","3,273","3,277","3,267","3,267","3,272","3,273","3,273","3,280","3,274","3,277","3,276"
Central Mississippi Correctional Facility,"4,131","3,785","3,797","3,776","3,780","3,804","3,803","3,801","3,823","3,823","3,867","3,848","3,869","3,867","3,867","3,858","3,816","3,819",,"4,131","3,830","3,830","3,831","3,832","3,834","3,842","3,835","3,841","3,860","3,860","3,860","3,837","3,843","3,862","3,832"
Youthful Offender Unit,58,38,38,38,38,32,32,32,32,32,32,32,32,32,32,32,32,32,,58,32,34,34,34,35,35,35,35,35,35,35,35,34,35,34
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","3,061","3,045","3,059","3,063","3,063","3,061","3,061","3,062","3,062","3,060","3,058","3,056","3,054","3,054","3,055","3,048","3,050",,"3,082","3,049","3,057","3,059","3,059","3,057","3,061","3,060","3,056","3,057","3,056","3,056","3,061","3,062","3,053","3,057"
County Jails,"1,781","1,284","1,279","1,302","1,316","1,371","1,371","1,371","1,366","1,407","1,356","1,377","1,349","1,349","1,349","1,344","1,327","1,329",,"1,781","1,344","1,337","1,337","1,337","1,352","1,344","1,372","1,356","1,388","1,388","1,388","1,388","1,375","1,356",1352
COMMUNITY WORK CENTERS,"1,512","1,038","1,044","1,055","1,050","1,033","1,033","1,033","1,040","1,040","1,041","1,036","1,024","1,022","1,022","1,036","1,035","1,044",,"1,512","1,050","1,028","1,027","1,024","1,050","1,046","1,048","1,050","1,039","1,038","1,037","1,073","1,067","1,076",1041
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,79,79,79,79,77,77,77,79,79,79,81,81,81,81,81,81,81,,124,79,77,77,77,81,84,84,78,75,74,74,76,76,75,79
Delta TVC,300,279,277,289,286,286,286,286,284,284,285,285,282,280,280,281,272,281,,300,280,279,278,275,287,282,286,284,281,281,281,294,293,304,283
Forrest Satellite Facility,96,65,56,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,,96,56,52,52,52,55,55,62,62,61,61,60,65,62,62,57
George Satellite Facility,102,70,70,70,69,67,67,67,68,68,68,69,69,69,69,70,70,70,,102,71,70,70,70,71,71,71,71,71,71,71,72,72,72,70
Harrison Satellite Facility,102,53,53,53,53,52,52,52,53,53,53,53,52,52,52,52,52,52,,102,54,51,51,51,51,51,52,51,50,50,50,52,52,52,52
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,66,77,77,77,74,74,74,75,75,75,72,75,75,75,75,74,74,,62,75,74,74,74,75,72,65,65,67,67,67,68,68,68,72
Noxubee Satellite Facility,58,45,44,44,44,42,42,42,44,44,44,42,42,42,42,45,42,42,,58,42,41,41,41,41,41,41,39,39,39,39,39,39,39,42
Pike Satellite Facility,93,72,74,74,74,75,75,75,75,75,75,70,68,68,68,71,71,71,,93,68,67,67,67,68,69,67,71,70,70,70,71,71,71,71
Quitman Satellite Facility,93,53,53,53,52,52,52,52,50,50,50,51,50,50,50,49,49,50,,93,51,51,51,51,51,51,51,58,57,57,57,64,64,63,53
Rankin Satellite Facility,178,158,157,157,156,150,150,150,154,154,154,159,153,153,153,159,159,158,,178,159,152,152,152,158,159,158,158,155,155,155,158,158,158,156
Rankin RID,28,21,21,21,20,20,20,20,20,20,20,20,19,19,19,20,20,20,,28,21,21,21,21,20,20,20,20,20,20,20,21,21,21,20
Flowood TVC,50,25,31,31,29,29,29,29,29,29,29,28,28,28,28,28,43,43,,50,45,45,45,45,43,42,42,42,42,42,42,42,40,40,36
Simpson TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,52,52,51,55,53,53,53,53,53,53,50,49,49,49,49,47,47,,62,49,48,48,48,49,49,49,51,51,51,51,51,51,51,50
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,681","3,667","3,668","3,675","3,684","3,684","3,684","3,682","3,682","3,678","3,667","3,668","3,667","3,667","3,665","3,678","3,687",,"4,556","3,679","3,672","3,670","3,669","3,664","3,654","3,679","3,679","3,681","3,680","3,679","3,679","3,669","3,659","3,674"
Alcorn County,300,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,239,,300,239,239,239,239,238,237,237,239,240,240,240,240,239,239,239
Bolivar County,369,293,292,291,291,294,294,294,294,294,294,291,289,289,289,294,293,293,,369,293,293,293,293,293,293,293,293,293,293,293,293,294,294,293
Carroll County,280,268,268,268,268,270,270,270,269,269,268,267,267,266,266,265,264,267,,280,267,269,269,269,269,268,268,269,269,269,269,269,268,268,268
Chickasaw County,310,239,239,239,240,240,240,240,240,240,240,239,239,239,239,238,240,240,,310,240,240,240,240,239,239,238,240,240,240,240,240,239,239,240
George County,342,198,197,197,197,197,197,197,284,284,283,283,195,195,195,195,198,198,,342,198,198,197,197,197,195,195,194,196,196,195,194,194,197,208
Holmes County,280,200,198,198,200,200,200,200,200,200,200,199,199,199,199,199,200,200,,280,200,200,200,200,200,200,200,200,201,201,201,201,201,200,200
Issaquena County,274,265,261,261,266,270,270,270,270,270,268,266,267,267,267,267,269,269,,274,269,268,267,267,267,266,269,267,266,266,266,269,268,268,267
Jefferson County,280,269,268,270,269,269,269,269,269,269,268,267,267,267,267,267,269,279,,280,273,269,269,269,268,270,270,270,270,270,270,270,270,269,269
Kemper County,355,259,258,260,260,259,259,259,258,258,256,256,256,256,256,255,256,254,,355,253,252,252,252,250,249,261,260,259,258,258,258,257,253,256
Leake County,280,267,265,264,264,263,263,263,268,268,267,267,267,267,267,267,269,269,,280,269,268,268,268,270,269,269,269,269,269,269,269,268,266,267
Marion County,280,271,271,271,271,270,270,270,269,269,268,267,270,270,270,270,270,270,,280,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
Stone County,326,200,200,200,200,200,200,200,112,112,112,112,200,200,200,200,198,198,,326,198,198,198,198,200,200,200,200,200,200,200,200,199,199,188
Washington County,300,200,200,200,200,200,200,200,200,200,206,205,205,205,205,205,205,204,,300,204,204,204,204,202,198,197,196,196,196,196,196,193,192,201
Winston County,280,270,268,267,267,270,270,270,269,269,268,268,267,267,267,266,268,268,,280,267,266,266,266,265,263,268,269,269,269,269,267,267,264,268
Yazoo County,300,242,242,242,242,242,242,242,240,240,240,240,240,240,240,237,239,239,,300,239,238,238,237,236,237,244,243,243,243,243,243,242,241,241
PRIVATE PRISONS,"5,472","3,236","3,234","3,231","3,227","3,230","3,226","3,226","3,283","3,283","3,217","3,216","3,219","3,218","3,218","3,220","3,217","3,215",,"5,472","3,220","3,225","3,223","3,221","3,214","3,204","3,199","3,201","3,200","3,199","3,197","3,190","3,197","3,193","3,219"
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
