Location,Capacity_x,1-Jun-17,Unnamed: 3,2-Jun-17,3-Jun-17,4-Jun-17,5-Jun-17,6-Jun-17,7-Jun-17,8-Jun-17,9-Jun-17,10-Jun-17,Capacity_y,11-Jun-17,12-Jun-17,13-Jun-17,14-Jun-17,15-Jun-17,16-Jun-17,17-Jun-17,18-Jun-17,19-Jun-17,20-Jun-17,21-Jun-17,Capacity,22-Jun-17,23-Jun-17,24-Jun-17,25-Jun-17,26-Jun-17,27-Jun-17,28-Jun-17,29-Jun-17,30-Jun-17,Avg Population
Mississippi State Penitentiary,3590,3312,3326,3324,3324,3304,3316,3315,3309,3299,3296,,3590,3296,3311,"3,331",3334,3329,3329,3328,3327,3349,3348,3364,3590,3357,3378,3379,"3,375","3,374","3,392","3,384","3,379","3,370",3339
Central Mississippi Correctional Facility,"3,710","3,337","3,271","3,271","3,270","3,301","3,306","3,318","3,315","3,316","3,315",,"3,710","3,315","3,339","3,337","3,324","3,364","3,354","3,352","3,350","3,391","3,416","3,380","3,710","3,400","3,363","3,361","3,360","3,329","3,340","3,320","3,375","3,375",3339
Youthful Offender Unit,58,31,31,31,31,31,32,32,32,32,32,,58,32,32,32,31,31,31,31,31,31,31,31,58,31,31,31,31,31,31,32,33,33,31
CMCF TVC,,8,9,9,10,10,10,9,11,7,7,,,7,8,8,8,7,13,13,13,31,8,9,,9,7,7,7,6,8,6,9,9,9
South Mississippi Correctional Institution,"3,082","2,988","2,988","2,988","2,987","2,994","2,992","3,002","3,010","3,002","2,998",,"3,082","2,998","2,998","3,012","3,005","3,007","3,002","3,001","3,001","2,985","2,979","2,996","3,082","2,998","2,992","2,991","2,991","2,990","2,986","2,992","3,007","3,013",2996
County Jails,"1,781","1,334","1,369","1,369","1,369","1,385","1,388","1,401","1,394","1,388","1,388",,"1,781","1,388","1,360","1,349","1,371","1,362","1,347","1,347","1,347","1,356","1,330","1,357","1,781","1,400","1,423","1,423","1,423","1,416","1,388","1,367","1,328","1,328",1373
COMMUNITY WORK CENTERS,"1,348",948,952,948,948,943,936,932,949,955,953,,"1,348",950,961,950,946,939,927,927,926,941,939,930,"1,348",927,918,910,908,908,905,909,911,919,934
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,69,69,69,69,67,67,67,67,66,66,,96,66,67,69,67,67,62,62,62,65,65,65,96,70,65,65,65,68,67,67,67,67,66
George Satellite Facility,102,90,87,87,87,86,85,84,86,82,82,,102,82,85,84,84,84,81,81,81,83,84,83,102,78,79,79,79,79,79,76,76,76,82
Harrison Satellite Facility,102,71,69,69,69,67,67,67,65,63,63,,102,63,63,63,61,60,61,61,61,61,61,61,102,62,60,60,60,61,61,63,67,67,64
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,66,78,76,76,74,70,65,63,73,72,,82,71,73,66,67,64,63,63,63,63,61,58,82,58,57,57,57,54,51,58,54,60,64
Leflore TVC Support,20,11,9,9,9,11,12,13,13,13,13,,20,13,13,13,13,14,14,14,14,13,13,13,20,13,13,13,13,13,15,15,15,15,13
Madison Satellite Facility,102,61,61,61,61,60,59,62,62,62,62,,102,62,62,58,57,57,56,56,56,57,57,57,102,56,56,61,61,60,59,59,59,58,59
Noxubee Satellite Facility,92,53,51,51,51,53,53,53,53,51,51,,92,51,54,54,52,52,49,49,49,51,51,51,92,51,51,49,49,51,51,50,50,50,51
Pike Satellite Facility,93,79,79,79,79,77,76,76,77,77,77,,93,77,77,81,86,83,79,79,79,83,82,82,93,82,81,81,80,81,81,83,81,83,80
Quitman Satellite Facility,93,64,64,64,64,65,65,65,62,59,59,,93,59,59,59,59,59,57,57,57,57,58,57,93,57,57,57,57,56,53,54,53,53,59
Rankin Satellite Facility,182,157,151,151,151,155,155,155,171,170,170,,182,170,174,173,174,174,170,170,170,172,172,171,182,169,169,165,165,165,172,171,173,173,167
Rankin RID,28,8,8,8,8,8,8,8,9,9,9,,28,9,7,7,7,7,7,7,7,7,7,7,28,7,7,7,7,7,7,7,8,8,8
Flowood TVC,50,26,26,25,25,21,20,19,20,26,26,,50,24,24,24,21,21,21,21,21,23,24,22,50,22,22,22,22,22,21,23,22,22,23
Simpson TVC,82,67,79,78,78,76,76,75,73,78,77,,82,77,77,73,72,71,80,80,79,80,79,75,82,74,73,70,69,66,65,63,62,65,74
Simpson TVC Support,20,13,13,13,13,13,13,13,13,12,12,,20,12,12,12,12,12,12,12,12,12,12,12,20,12,12,12,12,12,12,12,12,11,12
Washington Satellite Facility,102,56,55,55,55,54,54,54,60,59,59,,102,59,59,59,59,59,56,56,56,55,55,58,102,58,58,58,58,57,55,55,55,55,57
Wilkinson Satellite Facility,102,57,53,53,53,56,56,56,55,55,55,,102,55,55,55,55,55,59,59,59,59,58,58,102,58,58,54,54,56,56,53,57,56,56
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,494","3,775","3,790","3,788","3,787","3,791","3,791","3,790","3,788","3,799","3,798",,"4,494","3,796","3,783","3,781","3,755","3,748","3,763","3,761","3,761","3,769","3,767","3,771","4,494","3,757","3,769","3,769","3,769","3,763","3,757","3,765","3,766","3,778",3775
Alcorn County,300,239,239,239,239,238,238,240,240,240,240,,300,240,240,240,240,240,240,240,240,240,240,240,300,240,240,240,240,240,239,240,240,239,240
Bolivar County,369,289,289,289,289,294,292,292,292,294,294,,369,293,293,293,290,292,292,292,292,292,292,294,369,291,286,286,285,289,287,294,294,294,291
Carroll County,280,256,255,255,255,255,255,255,253,253,252,,280,252,242,242,242,242,242,242,242,242,240,240,280,240,240,240,240,240,240,240,240,240,246
Chickasaw County,310,286,286,286,286,286,285,283,286,286,286,,310,286,286,286,283,283,282,282,282,281,279,278,310,274,273,273,273,272,271,270,270,270,280
George County,280,223,222,222,221,220,223,226,224,225,225,,280,225,225,223,221,220,223,223,223,226,225,225,280,222,221,222,222,220,223,221,224,224,223
Holmes County,280,219,224,224,224,223,221,221,224,224,224,,280,224,223,224,223,223,223,223,223,222,221,223,280,223,222,221,222,222,218,223,220,224,223
Issaquena County,274,273,273,273,273,273,274,274,274,274,274,,274,274,274,274,273,272,271,271,271,271,272,272,274,272,272,272,272,274,271,270,275,275,273
Jefferson County,280,278,277,277,277,279,274,275,274,279,279,,280,279,278,279,277,276,273,272,272,276,271,279,280,278,280,280,279,278,280,278,278,280,277
Kemper County,355,348,352,352,352,352,352,350,348,352,352,,355,351,351,351,347,347,350,350,350,352,351,349,355,349,352,352,352,350,347,348,347,352,350
Leake County,280,200,200,200,200,200,199,196,196,198,198,,280,198,198,198,196,193,200,199,199,198,197,199,280,199,200,200,200,198,200,200,200,199,199
Marion County,280,223,224,222,222,224,223,223,224,224,224,,280,224,224,224,223,220,223,223,223,224,224,224,280,222,224,224,224,224,224,224,224,223,223
Stone County,326,258,262,262,262,262,262,262,262,262,262,,326,262,261,261,261,262,262,262,262,262,261,261,326,260,260,260,260,260,261,264,264,263,262
Washington County,300,230,230,230,230,230,230,229,227,226,226,,300,226,226,226,221,221,221,221,221,221,239,239,300,238,238,238,238,237,235,234,233,232,230
Winston County,280,222,223,223,223,221,223,223,223,223,223,,280,223,223,221,220,219,222,222,222,222,220,218,280,217,223,223,224,222,223,223,223,223,222
Yazoo County,300,231,234,234,234,234,240,241,241,239,239,,300,239,239,239,238,238,239,239,239,240,235,230,300,232,238,238,238,237,238,236,234,240,237
PRIVATE PRISONS,"5,972","3,045","3,050","3,050","3,050","3,047","3,045","3,049","3,047","3,043","3,039",,"5,972","3,038","3,038","3,038","3,037","3,036","3,041","3,039","3,039","3,035","3,032","3,030","5,972","3,027","3,029","3,028","3,028","3,056","3,058","3,060","3,039","3,040",3041
Delta,972,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,186","1,182","1,182","1,182","1,180","1,179","1,178","1,174","1,174","1,175",,"1,500","1,174","1,173","1,173","1,171","1,171","1,170","1,169","1,169","1,164","1,163","1,162","1,500","1,161","1,161","1,161","1,161","1,160","1,163","1,166","1,164","1,164",1170
