Location,Capacity_x,1-Aug-14,2-Aug-14,3-Aug-14,4-Aug-14,5-Aug-14,6-Aug-14,7-Aug-14,8-Aug-14,9-Aug-14,10-Aug-14,Capacity_y,11-Aug-14,12-Aug-14,13-Aug-14,14-Aug-14,15-Aug-14,16-Aug-14,17-Aug-14,18-Aug-14,19-Aug-14,20-Aug-14,21-Aug-14,Capacity,22-Aug-14,23-Aug-14,24-Aug-14,25-Aug-14,26-Aug-14,27-Aug-14,28-Aug-14,29-Aug-14,30-Aug-14,31-Aug-14,Avg Pop
Mississippi State Penitentiary,"4,648","3,346","3,342","3,342","3,327","3,342","3,342","3,340","3,322","3,321","3,321","4,648","3,294","3,296","3,299","3,297","3,300","3,298","3,297","3,294","3,321","3,321","3,327","4,648","3,334","3,335","3,335","3,262","3,296","3,302","3,310","3,288","3,289","3,289","3,314"
Central Mississippi Correctional Facility,"3,665","2,452","2,453","2,452","2,474","2,433","2,415","2,511","2,517","2,517","2,517","3,665","2,522","2,527","2,529","2,485","2,485","2,486","2,486","2,494","2,468","2,479","2,462","3,665","2,489","2,485","2,486","2,426","2,507","2,428","2,396","2,348","2,347","2,348","2,465"
Youthful Offender Unit,58,39,39,39,39,39,40,41,40,40,40,58,40,40,40,40,40,40,40,39,39,39,38,58,41,41,41,41,40,40,39,39,39,39,40
CMCF TVC,350,NR,NR,NR,NR,51,83,80,83,83,83,350,83,85,90,84,84,84,84,97,98,114,101,350,112,112,112,109,110,127,126,124,124,124,98
South Mississippi Correctional Institution,"3,282","3,216","3,211","3,211","3,208","3,212","3,224","3,225","3,217","3,216","3,213","3,282","3,199","3,201","3,211","3,206","3,204","3,205","3,205","3,196","3,203","3,192","3,194","3,282","3,177","3,176","3,175","3,138","3,164","3,171","3,173","3,143","3,143","3,142","3,193"
County Jails,"1,973","1,743","1,743","1,746","1,745","1,755","1,736","1,721","1,741","1,741","1,741","1,973","1,743","1,742","1,709","1,778","1,725","1,731","1,733","1,720","1,713","1,684","1,717","1,973","1,698","1,701","1,702","1,664","1,666","1,712","1,733","1,757","1,758","1,758","1,728"
COMMUNITY WORK CENTERS,"1,848","1,187","1,187","1,186","1,187","1,176","1,176","1,172","1,164","1,162","1,160","1,848","1,168","1,171","1,179","1,175","1,209","1,200","1,199","1,188","1,197","1,202","1,214","1,848","1,196","1,195","1,193","1,174","1,175","1,175","1,176","1,184","1,183","1,181","1,184"
Alcorn Satellite Facility,92,91,91,91,91,91,88,87,87,87,87,92,89,91,91,91,92,92,92,92,91,90,90,92,88,88,88,86,85,84,88,87,86,86,89
Bolivar Satellite Facility,102,48,48,48,49,49,49,53,51,51,51,102,50,54,54,54,52,52,52,53,53,53,54,102,53,53,53,51,51,55,55,55,55,55,52
Forrest Satellite Facility,96,57,57,57,59,57,57,56,55,55,55,96,53,54,54,54,54,54,54,54,53,53,53,96,53,53,53,51,51,58,57,58,58,58,55
George Satellite Facility,102,62,62,61,61,61,64,64,63,63,63,102,63,63,59,60,65,65,65,64,66,66,66,102,64,64,64,65,64,64,64,62,62,62,63
Harrison Satellite Facility,102,51,51,51,51,50,55,54,54,54,54,102,54,53,51,51,50,50,50,50,51,51,55,102,53,53,53,52,52,52,53,51,51,51,52
Jackson Satellite Facility,102,52,52,52,53,53,51,51,51,51,51,102,51,51,58,58,57,57,56,56,56,56,56,102,56,56,55,50,50,50,51,52,52,52,53
