Location,Capacity_x,1-Feb-19,2-Feb-19,3-Feb-19,4-Feb-19,5-Feb-19,6-Feb-19,7-Feb-19,8-Feb-19,9-Feb-19,10-Feb-19,11-Feb-19,12-Feb-19,13-Feb-19,14-Feb-19,15-Feb-19,16-Feb-19,17-Feb-19,Capacity_y,18-Feb-19,19-Feb-19,20-Feb-19,21-Feb-19,22-Feb-19,23-Feb-19,24-Feb-19,25-Feb-19,26-Feb-19,27-Feb-19,28-Feb-19,Avg Population
Mississippi State Penitentiary,"3,560","3,239","3,239","3,240","3,213","3,226","3,230","3,235","3,243","3,243","3,242","3,244","3,240","3,256","3,263","3,273","3,272","3,272","3,560","3,270","3,245","3,265","3,250","3,250","3,249","3,249","3,246","3,251","3,272","3,260","3,249"
Central Mississippi Correctional Facility,"4,131","3,738","3,738","3,736","3,750","3,752","3,699","3,712","3,729","3,729","3,729","3,698","3,719","3,708","3,710","3,710","3,712","3,712","4,131","3,709","3,680","3,681","3,669","3,674","3,674","3,674","3,651","3,653","3,637","3,630",3700
Youthful Offender Unit,58,35,35,35,34,35,35,35,36,36,36,36,36,36,35,35,35,35,58,35,35,35,34,34,34,34,34,35,35,35,35
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","2,884","2,884","2,884","2,884","2,810","2,808","2,776","2,720","2,720","2,720","2,712","2,655","2,648","2,655","2,646","2,646","2,645","3,082","2,643","2,647","2,649","2,641","2,651","2,650","2,651","2,656","2,659","2,657","2,658",2709
County Jails,"1,793","1,264","1,264","1,264","1,251","1,263","1,265","1,278","1,272","1,272","1,272","1,270","1,294","1,321","1,330","1,375","1,375","1,375","1,793","1,382","1,381","1,346","1,366","1,357","1,357","1,357","1,374","1,365","1,381","1,410",1324
COMMUNITY WORK CENTERS,"1,372",994,994,993,"1,030","1,024","1,056","1,050","1,059","1,058","1,057","1,082","1,075","1,093","1,087","1,070","1,067","1,065","1,372","1,081","1,082","1,108","1,104","1,092","1,091","1,082","1,091","1,075","1,088","1,089",1066
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,86,86,86,85,86,86,86,86,86,86,86,86,84,84,85,85,85,124,86,85,86,86,83,83,83,85,85,83,83,85
Delta TVC,324,249,249,248,275,266,291,290,290,290,290,313,304,324,320,317,316,314,324,313,312,333,329,329,327,318,306,300,316,314,302
Forrest Satellite Facility,96,53,53,53,56,56,56,54,55,54,54,52,55,55,55,55,55,55,96,55,60,60,60,58,58,58,62,62,62,61,57
George Satellite Facility,102,77,77,77,76,76,77,75,77,77,77,77,75,75,75,72,72,72,102,74,74,72,71,72,72,72,74,72,74,75,75
Harrison Satellite Facility,102,46,46,46,46,49,49,49,55,55,54,53,54,54,53,54,52,52,102,54,54,54,54,54,54,54,53,53,53,53,52
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,59,59,59,59,61,61,61,60,60,60,61,60,61,61,57,57,57,62,60,60,62,65,64,64,64,64,65,64,68,61
Noxubee Satellite Facility,58,49,49,49,50,49,49,49,49,49,49,48,48,48,48,44,44,44,58,48,47,46,46,46,46,46,46,46,46,46,47
Pike Satellite Facility,93,81,81,81,81,81,84,84,78,78,78,77,77,77,77,80,80,80,93,82,81,82,75,73,73,73,75,74,73,70,78
Quitman Satellite Facility,93,59,59,59,60,60,65,65,65,65,65,65,65,64,64,62,62,62,93,61,61,59,63,64,64,64,64,59,61,61,62
Rankin Satellite Facility,178,147,147,147,153,153,152,152,157,157,157,162,163,165,165,161,161,161,178,165,165,166,166,161,161,161,163,161,161,164,159
Rankin RID,28,16,16,16,16,16,15,14,16,16,16,16,16,16,16,15,15,15,28,15,15,16,16,16,16,16,15,15,15,16,16
Flowood TVC,50,21,21,21,21,20,20,19,19,19,19,20,20,18,17,16,16,16,50,16,16,15,13,13,14,14,24,23,22,21,18
