Location,Capacity_x,1-Sep-18,Unnamed: 3,2-Sep-18,3-Sep-18,4-Sep-18,5-Sep-18,6-Sep-18,7-Sep-18,8-Sep-18,9-Sep-18,10-Sep-18,11-Sep-18,12-Sep-18,13-Sep-18,14-Sep-18,15-Sep-18,16-Sep-18,17-Sep-18,Capacity_y,18-Sep-18,19-Sep-18,20-Sep-18,21-Sep-18,22-Sep-18,23-Sep-18,24-Sep-18,25-Sep-18,26-Sep-18,27-Sep-18,28-Sep-18,29-Sep-18,30-Sep-18,Avg Population
Mississippi State Penitentiary,"3,560","3,261","3,260","3,260","3,260","3,241","3,329","3,259","3,254","3,254","3,247","3,250","3,246","3,252","3,258","3,258","3,256","3,257",,"3,560","3,244","3,265","3,280","3,280","3,279","3,278","3,271","3,263","3,278","3,258","3,263","3,263","3,262","3,263"
Central Mississippi Correctional Facility,"4,129","3,837","3,835","3,835","3,835","3,877","3,806","3,810","3,811","3,811","3,816","3,826","3,831","3,850","3,850","3,850","3,847","3,862",,"4,129","3,895","3,886","3,859","3,852","3,854","3,854","3,833","3,820","3,768","3,769","3,788","3,787","3,784","3,831"
Youthful Offender Unit,58,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,,58,38,38,38,38,38,38,38,38,38,38,38,38,38,38
CMCF TVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Mississippi Correctional Institution,"3,082","3,047","3,046","3,046","3,046","3,040","3,043","3,050","3,048","3,048","3,053","3,049","3,043","3,044","3,057","3,056","3,056","3,058",,"3,082","3,056","3,064","3,059","3,049","3,049","3,049","3,053","3,053","3,064","3,065","3,058","3,059","3,059","3,052"
County Jails,"1,791","1,379","1,379","1,379","1,379","1,293","1,355","1,338","1,338","1,338","1,328","1,328","1,300","1,318","1,315","1,315","1,315","1,288",,"1,791","1,296","1,282","1,297","1,286","1,286","1,286","1,284","1,298","1,299","1,315","1,297","1,297","1,297",1317
COMMUNITY WORK CENTERS,"1,512","1,017","1,012","1,008","1,008","1,029","1,024","1,021","1,016","1,016","1,031","1,010","1,026","1,009","1,005","1,004","1,004","1,008",,"1,512","1,004","1,021","1,017","1,008","1,008",999,"1,000","1,001","1,015","1,016","1,028","1,028","1,020",1014
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Satellite Facility,124,75,75,75,75,76,82,80,80,80,80,79,79,77,76,77,77,77,,124,77,77,76,76,76,76,76,75,75,75,75,76,76,77
Delta TVC,300,269,264,264,264,279,275,273,269,269,275,267,275,272,272,270,270,265,,300,266,275,274,273,273,264,259,260,277,277,275,275,267,270
Forrest Satellite Facility,96,62,62,62,62,62,62,60,60,60,62,60,64,64,61,61,61,63,,96,61,59,61,55,55,55,57,57,57,57,65,65,65,61
George Satellite Facility,102,67,67,67,67,67,66,71,71,71,72,69,69,70,69,69,69,71,,102,71,72,72,72,72,72,72,72,72,72,69,69,69,70
Harrison Satellite Facility,102,52,52,52,52,61,51,48,48,48,50,50,51,50,49,49,49,49,,102,49,50,51,51,51,51,52,52,52,52,53,53,53,51
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison Satellite Facility,62,67,67,67,67,65,65,64,64,64,67,67,66,65,66,66,66,66,,62,66,66,65,68,68,68,68,68,68,68,66,66,66,66
Noxubee Satellite Facility,58,48,48,46,46,46,46,46,46,46,46,45,45,45,45,45,45,45,,58,46,46,46,42,42,42,45,45,45,45,45,45,45,45
Pike Satellite Facility,93,71,71,71,71,70,70,69,69,69,69,71,71,71,70,70,70,69,,93,69,76,75,74,74,74,73,72,72,72,72,71,71,71
Quitman Satellite Facility,93,53,53,52,52,52,51,55,55,55,55,53,52,52,52,52,52,50,,93,50,51,51,51,51,51,51,54,54,54,53,53,53,52
Rankin Satellite Facility,178,140,140,139,139,142,142,142,142,142,145,143,143,143,141,141,141,148,,178,146,146,145,142,142,142,145,145,145,145,156,156,156,144
Rankin RID,28,20,20,20,20,20,19,19,19,19,19,19,18,18,18,18,18,19,,28,19,19,19,19,19,19,19,19,19,19,21,21,21,19
Flowood TVC,50,43,43,43,43,40,47,46,45,45,43,39,45,34,33,33,33,32,,50,32,32,31,31,31,31,28,27,24,25,25,25,25,35
Simpson TVC,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson TVC Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson Satellite Facility,62,50,50,50,50,49,48,48,48,48,48,48,48,48,53,53,53,54,,62,52,52,51,54,54,54,55,55,55,55,53,53,53,51
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","3,647","3,645","3,645","3,645","3,640","3,657","3,656","3,655","3,655","3,651","3,643","3,660","3,660","3,641","3,640","3,640","3,631",,"4,556","3,634","3,630","3,624","3,661","3,661","3,659","3,646","3,645","3,655","3,680","3,681","3,679","3,679","3,652"
Alcorn County,300,235,235,235,235,239,239,240,240,240,240,240,239,239,239,239,239,239,,300,238,237,237,237,237,237,237,237,237,237,237,237,237,238
Bolivar County,369,294,294,294,294,291,291,289,289,289,294,294,293,293,292,291,291,290,,369,294,294,293,292,292,292,292,292,292,294,294,293,293,292
Carroll County,280,262,262,262,262,262,261,260,260,260,260,259,268,266,266,266,266,264,,280,264,264,264,264,264,264,261,264,264,269,268,268,268,264
Chickasaw County,310,241,241,241,241,241,240,240,240,240,240,239,239,239,238,238,238,237,,310,240,240,240,239,239,239,239,239,239,239,240,240,240,240
George County,342,199,199,199,199,199,197,197,197,197,197,197,200,200,197,197,197,197,,342,196,194,194,201,201,201,200,200,200,199,199,198,198,198
Holmes County,280,198,197,197,197,196,200,200,200,200,200,200,199,199,199,199,199,199,,280,199,199,196,194,194,194,193,192,191,201,200,200,200,198
Issaquena County,274,267,267,267,267,265,265,269,269,269,269,269,268,267,267,267,267,267,,274,270,269,267,267,267,267,267,267,265,265,265,265,265,267
Jefferson County,280,270,270,270,270,268,269,269,269,269,269,269,268,268,267,267,267,266,,280,265,265,264,269,269,268,268,270,270,269,269,269,269,268
Kemper County,355,256,256,256,256,257,259,258,258,258,257,256,256,256,255,255,255,255,,355,255,255,253,257,257,257,255,254,260,260,259,259,259,257
Leake County,280,266,266,266,266,265,270,272,272,272,271,271,271,269,266,266,266,266,,280,266,266,270,268,268,268,265,264,269,268,267,267,267,268
Marion County,280,266,265,265,265,264,270,266,266,266,266,266,266,269,268,268,268,268,,280,267,267,268,271,271,271,271,269,268,268,271,271,271,268
Stone County,326,200,200,200,200,200,200,200,200,200,200,200,200,200,199,199,199,199,,326,199,199,199,200,200,200,199,198,198,198,200,200,200,200
Washington County,300,194,194,194,194,194,194,194,194,194,189,188,188,187,180,180,180,179,,300,179,179,179,190,190,190,190,190,189,200,200,200,200,190
Winston County,280,261,261,261,261,262,261,261,261,261,260,259,269,269,269,269,269,268,,280,265,265,263,268,268,267,266,266,270,270,270,270,270,265
Yazoo County,300,238,238,238,238,237,241,241,240,240,239,236,236,239,239,239,239,237,,300,237,237,237,244,244,244,243,243,243,243,242,242,242,240
PRIVATE PRISONS,"5,472","3,216","3,216","3,216","3,215","3,209","3,211","3,210","3,209","3,209","3,202","3,201","3,197","3,197","3,208","3,207","3,207","3,203",,"5,472","3,206","3,216","3,222","3,219","3,218","3,218","3,214","3,214","3,232","3,231","3,233","3,233","3,233","3,214"
Delta,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,304","1,304","1,304","1,300","1,298","1,298","1,290","1,290","1,290","1,286","1,288","1,285","1,287","1,290","1,290","1,290","1,289",,"1,500","1,288","1,288","1,288","1,286","1,285","1,285","1,284","1,285","1,299","1,299","1,298","1,298","1,298",1292
Marshall County,"1,000",988,988,988,988,985,981,989,988,988,985,983,983,981,992,992,992,992,,"1,000",992,991,998,998,998,998,997,996,999,998,"1,000","1,000","1,000",992
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",924,924,924,927,926,932,931,931,931,931,930,929,929,926,925,925,922,,"1,000",926,937,936,935,935,935,933,933,934,934,935,935,935,930
RESTITUTION CENTERS,10,5,5,5,5,5,5,5,5,5,5,6,6,8,8,6,6,6,,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hinds,6,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,3,,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Pascagoula,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
TRANSITIONAL HOUSING,164,22,22,22,22,28,28,28,28,28,28,28,28,28,28,28,27,27,,164,27,27,28,28,28,29,27,29,35,36,36,36,36,28
Madison,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,40,1,1,1,1,1,2,2,2,2,2,2,2,2,1
Noxubee,34,13,13,13,13,20,20,20,20,20,20,20,20,20,20,20,20,20,,34,20,19,19,19,19,19,19,19,25,25,25,25,25,20
Rankin/Flowood,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,,8,6,7,8,8,8,8,6,8,8,8,8,8,8,7
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,40,0,0,0,0,0,0,0,0,0,1,1,1,1,1
TOTALS,"24,334","19,467","19,456","19,452","19,451","19,398","19,494","19,415","19,402","19,402","19,399","19,379","19,375","19,404","19,408","19,402","19,396","19,378",,"24,334","19,406","19,435","19,430","19,427","19,427","19,416","19,372","19,367","19,390","19,414","19,428","19,426","19,414","19,414"
