Location,Capacity_x_x,1-Sep-15,2-Sep-15,3-Sep-15,4-Sep-15,5-Sep-15,6-Sep-15,7-Sep-15,8-Sep-15,9-Sep-15,Capacity_y_x,10-Sep-15,11-Sep-15,12-Sep-15,13-Sep-15,14-Sep-15,15-Sep-15,16-Sep-15,17-Sep-15,18-Sep-15,Capacity_x_y,19-Sep-15,20-Sep-15,21-Sep-15,22-Sep-15,23-Sep-15,24-Sep-15,25-Sep-15,26-Sep-15,27-Sep-15,Capacity_y_y,28-Sep-15,29-Sep-15,Unnamed: 4,30-Sep-15 Avg Population
Mississippi State Penitentiary,"4,648","3,111","3,112","3,112","3,112","3,112","3,112","3,112","3,112","3,112","4,648","3,117","3,116","3,116","3,116","3,110","3,109","3,109","3,109","3,109","4,648","3,109","3,109","3,136","3,136","3,136","3,136","3,136","3,136","3,136","4,648","3,146","3,147","3,147","3,121"
MSP TVC,108,92,93,93,93,93,93,93,93,93,108,84,83,83,83,91,90,90,90,90,108,90,90,86,86,86,86,86,86,86,108,80,81,81,88
Central Mississippi Correctional Facility,"3,469","2,449","2,450","2,450","2,450","2,450","2,450","2,450","2,450","2,450","3,469","2,539","2,538","2,538","2,538","2,554","2,554","2,555","2,555","2,555","3,469","2,555","2,555","2,594","2,594","2,594","2,594","2,594","2,594","2,594","3,469","2,584","2,585","2,585","2,533"
Youthful Offender Unit,58,27,28,28,28,28,28,28,28,28,58,27,26,26,26,27,27,28,28,28,58,28,28,27,27,27,27,27,27,27,58,28,29,29,28
CMCF TVC,158,133,134,134,134,134,134,134,134,134,158,111,110,110,110,128,128,129,129,129,158,129,129,124,124,124,124,124,124,124,158,131,132,132,127
South Mississippi Correctional Institution,"3,282","2,513","2,514","2,514","2,514","2,514","2,514","2,514","2,514","2,514","3,282","2,645","2,644","2,644","2,644","2,658","2,658","2,659","2,659","2,659","3,282","2,659","2,659","2,667","2,667","2,667","2,667","2,667","2,667","2,667","3,282","2,698","2,699","2,699","2,619"
SMCI TVC,0,91,92,92,92,92,92,92,92,92,0,98,97,97,97,94,94,95,95,95,0,95,95,97,97,97,97,97,97,97,0,97,98,98,95
County Jails,"2,006","1,086","1,093","1,096","1,119","1,119","1,119","1,118","1,150","1,101","2,006","1,099","1,104","1,105","1,105","1,127","1,154","1,169","1,169","1,180","2,006","1,180","1,179","1,239","1,239","1,242","1,228","1,214","1,214","1,214","2,006","1,202","1,219","1,230","1,160"
COMMUNITY WORK CENTERS,"1,848","1,184","1,193","1,192","1,197","1,197","1,197","1,196","1,195","1,206","1,848","1,168","1,164","1,158","1,153","1,169","1,169","1,184","1,184","1,177","1,848","1,176","1,170","1,148","1,148","1,153","1,148","1,148","1,148","1,148","1,848","1,154","1,154","1,154",+
Alcorn Satellite Facility,92,91,92,92,92,92,92,92,92,92,92,89,88,88,88,90,90,91,91,91,92,91,90,90,90,90,90,90,90,90,92,90,90,90,90
Bolivar Satellite Facility,102,71,72,72,72,72,72,72,72,72,102,73,72,72,72,72,72,73,73,73,102,73,72,65,65,65,65,65,65,65,102,72,72,72,71
Forrest Satellite Facility,96,53,54,54,54,54,54,54,54,55,96,51,50,50,50,50,50,51,51,51,96,51,50,50,50,50,50,50,50,50,96,50,50,50,51
George Satellite Facility,102,49,50,50,50,50,50,50,50,51,102,46,45,45,45,47,47,48,48,48,102,48,47,46,46,46,46,46,46,46,102,51,51,51,48
Harrison Satellite Facility,102,50,51,51,51,51,51,51,51,52,102,51,51,50,50,50,50,51,51,51,102,51,50,48,48,48,48,48,48,48,102,46,46,46,50
Jackson Satellite Facility,102,50,51,51,51,51,51,51,51,52,102,50,50,49,49,49,49,50,50,50,102,50,49,56,56,56,56,56,56,56,102,52,52,52,52
Jefferson Satellite Facility,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,102,0,0,0,0
Leflore Satellite Facility,102,74,75,75,75,75,75,75,75,76,102,74,74,73,73,77,77,78,78,78,102,78,78,73,73,73,73,73,73,73,102,72,72,72,75
Madison Satellite Facility,102,58,59,59,59,59,59,59,59,60,102,59,59,58,58,59,59,60,60,60,102,60,60,62,62,62,62,62,62,62,102,60,60,60,60
Noxubee Satellite Facility,92,72,73,73,73,73,73,73,73,74,92,68,68,67,67,68,68,69,69,68,92,68,68,66,66,66,66,66,66,66,92,68,68,68,69
Pike Satellite Facility,93,84,84,83,84,84,84,84,84,85,93,80,80,79,79,80,80,81,81,80,93,80,80,71,71,72,72,72,72,72,93,77,77,77,79
Quitman Satellite Facility,93,61,61,61,62,62,62,62,62,63,93,60,60,60,59,63,63,64,64,63,93,63,63,60,60,61,60,60,60,60,93,57,57,57,61
Rankin Satellite Facility,260,181,181,181,181,181,181,181,181,181,260,180,180,180,180,180,180,180,180,180,260,180,180,180,180,180,180,180,180,180,260,175,175,175,180
Simpson Satellite Facility,102,88,88,88,89,89,89,89,89,88,102,93,93,93,92,93,93,94,94,93,102,93,93,96,96,97,96,96,96,96,102,99,99,99,93
Washington Satellite Facility,102,78,78,78,79,79,79,79,79,80,102,76,76,76,75,74,74,75,75,74,102,74,74,71,71,72,71,71,71,71,102,70,70,70,75
Wilkinson Satellite Facility,102,56,56,56,57,57,57,57,57,58,102,53,53,53,52,51,51,52,52,51,102,51,51,49,49,50,49,49,49,49,102,51,51,51,53
Yazoo Satellite Facility,102,68,68,68,68,68,68,67,66,67,102,65,65,65,64,66,66,67,67,66,102,65,65,65,65,65,64,64,64,64,102,64,64,64,66
REGIONAL CORRECTIONAL FACILITIES,"4,438","4,209","4,209","4,209","4,209","4,197","4,196","4,184","4,184","4,197","4,438","4,166","4,166","4,166","4,165","4,127","4,127","4,142","4,142","4,125","4,438","4,113","4,113","4,068","4,068","4,068","4,059","4,064","4,057","4,057","4,438","3,992","3,992",0,"3,992"
Alcorn County,300,300,300,300,300,299,299,298,298,299,300,292,292,292,291,290,290,291,291,290,300,289,289,290,290,290,289,290,290,290,300,286,286,,283
Bolivar County,369,349,349,349,349,348,348,347,347,348,369,343,343,343,343,340,340,341,341,340,369,339,339,338,338,338,337,338,338,338,369,321,321,,330
Carroll County,280,262,262,262,262,261,261,260,260,261,280,255,255,255,255,244,244,246,246,245,280,244,244,242,242,242,241,242,242,242,280,238,238,,242
Chickasaw County,300,299,299,299,299,298,298,297,297,298,300,300,300,300,300,299,299,300,300,299,300,298,298,297,297,297,296,297,297,297,300,292,292,,288
George County,280,274,274,274,274,273,273,272,272,273,280,272,272,272,272,268,268,269,269,268,280,267,267,253,253,253,252,253,253,253,280,244,244,,256
Holmes County,280,279,279,279,279,278,278,277,277,278,280,279,279,279,279,274,274,275,275,274,280,273,273,270,270,270,269,269,269,269,280,271,271,,266
Issaquena County,274,256,256,256,256,255,255,254,254,255,274,262,262,262,262,262,262,263,263,262,274,261,261,263,263,263,262,262,262,262,274,260,260,,251
Jefferson County,280,262,262,262,262,261,261,262,262,263,280,255,255,255,255,257,257,258,258,254,280,253,253,248,248,248,247,247,247,247,280,247,247,,246
Kemper County,355,342,342,342,342,341,341,340,340,341,355,339,339,339,339,337,337,338,338,337,355,336,336,337,337,337,336,336,334,334,355,330,330,,327
Leake County,280,263,263,263,263,262,262,261,261,262,280,265,265,265,265,261,261,262,262,261,280,260,260,254,254,254,254,254,253,253,280,245,245,,250
Marion County,280,269,269,269,269,268,268,267,267,268,280,267,267,267,267,265,265,266,266,265,280,264,264,258,258,258,258,258,257,257,280,257,257,,255
Stone County,280,280,280,280,280,279,279,278,278,279,280,280,280,280,280,279,279,280,280,279,280,278,278,278,278,278,278,278,277,277,280,276,276,,269
Washington County,300,205,205,205,205,205,205,205,205,205,300,212,212,212,212,212,212,212,212,212,300,212,212,208,208,208,208,208,208,208,300,203,203,,201
Winston County,280,280,280,280,280,280,280,279,279,280,280,272,272,272,272,271,271,272,272,271,280,271,271,265,265,265,265,265,264,264,280,262,262,,263
Yazoo County,300,289,289,289,289,289,288,287,287,287,300,273,273,273,273,268,268,269,269,268,300,268,268,267,267,267,267,267,266,266,300,260,260,,265
PRIVATE PRISONS,"5,972","3,874","3,874","3,874","3,874","3,874","3,869","3,865","3,865","3,865","5,972","3,851","3,751","3,751","3,751","3,746","3,746","3,750","3,750","3,746","5,972","3,746","3,746","3,748","3,748","3,748","3,748","3,748","3,744","3,740","5,972","3,795","3,795",0,"3,666"
Delta,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0,972,0,0,,0
East Mississippi,"1,500","1,125","1,125","1,125","1,125","1,125","1,124","1,123","1,123","1,123","1,500","1,125","1,125","1,125","1,125","1,121","1,121","1,122","1,122","1,121","1,500","1,121","1,121","1,115","1,115","1,115","1,115","1,115","1,114","1,113","1,500","1,110","1,110",,"1,083"
Marshall County,"1,000",996,996,996,996,996,994,993,993,993,"1,000","1,001","1,001","1,001","1,001",997,997,998,998,997,"1,000",997,997,995,995,995,995,995,994,993,"1,000",999,999,,963
Walnut Grove,"1,500",917,917,917,917,917,916,915,915,915,"1,500",892,792,792,792,800,800,801,801,800,"1,500",800,800,815,815,815,815,815,814,813,"1,500",860,860,,818
Wilkinson County,"1,000",836,836,836,836,836,835,834,834,834,"1,000",833,833,833,833,828,828,829,829,828,"1,000",828,828,823,823,823,823,823,822,821,"1,000",826,826,,802
RESTITUTION CENTERS,16,13,13,13,13,13,8,8,8,8,16,13,13,13,13,12,12,14,14,12,16,12,12,12,12,12,12,12,11,9,16,11,11,0,11
Greenwood,6,4,4,4,4,4,3,3,3,3,6,4,4,4,4,5,5,6,6,6,6,6,6,5,5,5,5,5,4,4,6,5,5,,4
Hinds,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,5,6,5,5,,6
Pascagoula,4,3,3,3,3,3,1,1,1,1,4,3,3,3,3,1,1,1,1,0,4,0,0,1,1,1,1,1,1,0,4,1,1,,1
TOTALS,"25,737","18,782","18,805","18,807","18,835","18,823","18,812","18,794","18,825","18,800","25,737","18,918","18,812","18,807","18,801","18,843","18,868","18,924","18,924","18,905","25,737","18,892","18,885","18,946","18,946","18,954","18,926","18,917","18,905","18,899","25,737","18,918","18,942","11,155","17,441"
