Location,Capacity_x,1-Feb-18,Unnamed: 3,2-Feb-18,3-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,9-Feb-18,10-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,16-Feb-18,17-Feb-18,Capacity_y,18-Feb-18,19-Feb-18,20-Feb-18,21-Feb-18,22-Feb-18,23-Feb-18,24-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,Avg Population
Mississippi State Penitentiary,"3,590","3,368","3,360","3,358","3,358","3,371","3,372","3,379","3,377","3,370","3,370","3,369","3,373","3,363","3,370","3,380","3,395","3,394",,"3,590","3,392","3,391","3,393","3,411","3,409","3,392","3,391","3,391","3,398","3,401","3,394","3,382"
Central Mississippi Correctional Facility,"3,830","3,354","3,337","3,334","3,337","3,328","3,329","3,317","3,315","3,321","3,321","3,320","3,369","3,363","3,361","3,363","3,339","3,339",,"3,830","3,337","3,339","3,354","3,373","3,392","3,369","3,369","3,369","3,365","3,382","3,368","3,349"
Youthful Offender Unit,58,26,26,26,26,26,26,26,26,26,26,26,25,25,25,24,24,24,,58,24,24,24,24,24,24,24,24,24,24,24,25
CMCF TVC,0,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,6
South Mississippi Correctional Institution,"3,082","2,658","2,648","2,647","2,647","2,657","2,655","2,663","2,664","2,668","2,665","2,665","2,659","2,672","2,667","2,665","2,667","2,666",,"3,082","2,666","2,666","2,669","2,670","2,663","2,654","2,653","2,653","2,655","2,650","2,659","2,660"
County Jails,"1,781","1,181","1,170","1,170","1,170","1,168","1,168","1,178","1,194","1,230","1,230","1,230","1,249","1,244","1,266","1,272","1,276","1,276",,"1,781","1,276","1,276","1,250","1,231","1,233","1,245","1,245","1,245","1,265","1,260","1,264",1231
COMMUNITY WORK CENTERS,"1,188",763,777,776,775,785,773,770,772,778,777,776,783,774,770,769,771,771,,"1,188",771,781,788,777,782,795,795,795,791,779,775,778
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,60,57,57,57,59,59,58,58,62,62,61,62,61,61,61,59,59,,96,59,61,61,61,61,58,58,58,59,59,58,60
George Satellite Facility,102,64,65,65,65,64,65,65,65,64,64,64,64,60,60,62,61,61,,102,61,61,60,57,56,55,55,55,56,56,56,61
Harrison Satellite Facility,102,52,51,51,51,51,49,49,49,48,48,48,47,51,49,50,49,49,,102,49,50,49,49,48,48,48,48,47,46,46,49
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Leflore TVC,82,20,20,20,19,19,16,16,16,16,16,16,15,12,12,11,23,23,,82,23,23,24,24,24,25,25,25,24,24,25,20
Leflore TVC Support,20,20,20,20,20,20,20,20,20,19,19,19,20,20,20,20,20,20,,20,20,20,20,20,20,20,20,20,20,20,20,20
Madison Satellite Facility,62,60,60,60,60,61,61,62,62,62,62,62,62,62,62,62,60,60,,62,60,61,60,58,62,61,61,61,62,62,62,61
Noxubee Satellite Facility,58,54,54,54,54,54,54,54,54,54,53,53,54,54,54,54,52,52,,58,52,54,54,53,53,53,53,53,53,49,49,53
Pike Satellite Facility,93,79,78,78,78,78,78,78,78,80,80,80,82,80,80,80,80,80,,93,80,80,80,82,84,83,83,83,86,87,86,81
Quitman Satellite Facility,93,44,43,43,43,42,42,42,42,41,41,41,42,42,40,40,40,40,,93,40,41,41,38,39,42,42,42,43,46,46,42
Rankin Satellite Facility,178,139,133,133,133,138,138,137,140,142,142,142,144,145,144,144,141,141,,178,141,144,154,154,154,153,153,153,152,151,150,144
Rankin RID,28,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,28,22,22,22,22,22,22,22,22,22,22,22,22
Flowood TVC,50,12,15,15,15,14,13,13,13,12,12,12,12,12,12,12,15,15,,50,15,15,15,14,14,23,23,23,22,20,22,15
Simpson TVC,82,29,49,49,49,49,42,41,41,41,41,41,41,37,38,37,36,36,,82,36,36,36,34,34,45,45,45,38,34,30,40
Simpson TVC Support,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,20,10,10,10,11,11,11,11,11,11,11,11,10
Washington Satellite Facility,60,57,57,57,57,58,58,58,58,57,57,57,57,57,56,56,56,56,,60,56,56,55,55,55,52,52,52,54,50,50,56
Wilkinson Satellite Facility,62,44,43,42,42,46,46,45,44,48,48,48,49,49,50,48,47,47,,62,47,47,47,45,45,44,44,44,42,42,42,46
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
REGIONAL CORRECTIONAL FACILITIES,"4,556","4,372","4,365","4,364","4,363","4,347","4,369","4,345","4,351","4,333","4,331","4,332","4,322","4,342","4,343","4,359","4,350","4,350",,"4,556","4,349","4,349","4,329","4,332","4,324","4,320","4,320","4,319","4,300","4,308","4,302","4,339"
Alcorn County,300,293,293,293,293,294,294,292,289,288,288,288,288,288,287,293,293,293,,300,293,293,293,292,292,292,292,291,290,289,287,291
Bolivar County,369,293,293,293,293,293,293,290,290,288,288,288,288,293,292,294,291,291,,369,291,291,290,290,287,292,292,292,289,289,293,291
Carroll County,280,278,278,278,278,276,276,276,276,276,276,276,276,277,277,280,280,280,,280,280,280,278,276,275,274,274,274,277,276,276,277
Chickasaw County,310,306,306,306,306,306,306,305,305,304,304,304,303,305,304,308,306,306,,310,306,306,304,304,302,300,300,300,297,300,300,304
George County,342,339,339,339,339,337,342,340,337,338,338,338,337,341,338,336,336,336,,342,336,336,337,337,336,336,336,336,335,335,334,337
Holmes County,280,280,278,278,278,278,280,280,280,280,280,280,280,280,280,279,279,279,,280,279,279,279,279,279,278,278,278,277,278,280,279
Issaquena County,274,273,270,270,270,269,273,272,272,270,270,270,270,270,270,274,274,274,,274,274,274,274,274,274,272,272,272,272,272,272,272
Jefferson County,280,278,277,277,277,276,280,280,280,279,278,278,276,276,278,277,277,277,,280,277,277,274,275,274,272,272,272,270,269,268,276
Kemper County,355,353,353,353,353,351,349,348,350,344,344,344,343,345,347,345,345,345,,355,345,345,336,338,339,342,342,342,342,345,344,345
Leake County,280,277,278,278,278,276,279,277,277,273,273,273,272,280,278,278,278,278,,280,278,278,276,280,280,278,278,278,276,277,274,277
Marion County,280,280,280,280,279,279,280,278,278,278,278,279,280,279,280,280,280,280,,280,280,280,278,278,278,277,277,277,277,280,280,279
Stone County,326,326,326,326,326,326,325,322,325,325,324,324,322,322,323,327,327,327,,326,327,327,326,326,327,327,327,327,324,322,320,325
Washington County,300,216,215,215,215,215,214,214,214,214,214,214,214,214,214,214,214,214,,300,214,214,217,217,217,217,217,217,216,216,216,215
Winston County,280,280,279,278,278,272,280,275,279,278,278,278,275,273,276,275,274,274,,280,273,273,270,269,268,266,266,266,265,267,266,273
Yazoo County,300,300,300,300,300,299,298,296,299,298,298,298,298,299,299,299,296,296,,300,296,296,297,297,296,297,297,297,293,293,292,297
PRIVATE PRISONS,"5,972","3,202","3,204","3,203","3,203","3,201","3,195","3,196","3,196","3,193","3,204","3,204","3,199","3,212","3,208","3,203","3,209","3,209",,"5,972","3,208","3,205","3,202","3,202","3,204","3,212","3,212","3,211","3,208","3,207","3,207","3,204"
Delta,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,972,0,0,0,0,0,0,0,0,0,0,0,0
East Mississippi,"1,500","1,280","1,286","1,285","1,285","1,285","1,284","1,280","1,281","1,281","1,281","1,281","1,276","1,291","1,289","1,286","1,286","1,286",,"1,500","1,286","1,284","1,281","1,283","1,279","1,288","1,288","1,288","1,288","1,287","1,281",1284
Marshall County,"1,000",999,996,996,996,995,992,998,998,997,997,997,997,996,995,993,"1,000","1,000",,"1,000","1,000",999,999,998,998,997,997,997,996,996,999,997
Walnut Grove,"1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,500",0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson County,"1,000",923,922,922,922,921,919,918,917,915,926,926,926,925,924,924,923,923,,"1,000",922,922,922,921,927,927,927,926,924,924,927,923
RESTITUTION CENTERS,16,10,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,,16,11,11,11,12,12,12,12,12,12,12,12,11
Greenwood,6,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,,6,5,5,5,5,5,5,5,5,5,5,5,5
Hinds,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,6,4,4,4,5,5,5,5,5,5,5,5,4
Pascagoula,4,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,4,2,2,2,2,2,2,2,2,2,2,2,2
TRANSITIONAL HOUSING,164,36,36,36,36,37,39,39,44,43,43,43,42,42,42,38,38,38,,164,38,38,37,39,40,40,40,40,39,39,39,39
Madison,40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,,40,2,2,2,2,2,2,2,2,2,2,2,3
Noxubee,34,21,21,21,21,21,21,21,26,26,26,26,26,26,26,24,24,24,,34,24,24,23,25,25,25,25,25,24,24,24,24
Rankin/Flowood,8,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,8,8,8
Washington,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0
Wilkinson,40,5,5,5,5,6,6,6,6,5,5,5,4,4,4,4,4,4,,40,4,4,4,4,5,5,5,5,5,5,5,5
TOTALS,"24,237","18,991","18,953","18,944","18,945","18,951","18,957","18,944","18,970","18,973","18,978","18,976","19,032","19,048","19,063","19,084","19,080","19,078",,"24,237","19,072","19,080","19,057","19,071","19,083","19,063","19,061","19,059","19,057","19,062","19,044","19,024"
