Location,Capacity_x_x,1-Dec-12,2-Dec-12,3-Dec-12,4-Dec-12,5-Dec-12,6-Dec-12,7-Dec-12,8-Dec-12,9-Dec-12,Capacity_y_x,10-Dec-12,11-Dec-12,12-Dec-12,13-Dec-12,14-Dec-12,15-Dec-12,16-Dec-12,17-Dec-12,18-Dec-12,Capacity_x_y,19-Dec-12,20-Dec-12,21-Dec-12,22-Dec-12,23-Dec-12,24-Dec-12,25-Dec-12,26-Dec-12,27-Dec-12,Capacity_y_y,28-Dec-12,29-Dec-12,30-Dec-12,31-Dec-12,Avg Population
Mississippi State Penitentiary,"4,648","3,379","3,379","3,380","3,377","3,372","3,376","3,378","3,377","3,378","4,648","3,370","3,368","3,358","3,348","3,352","3,349","3,347","3,347","3,364","4,648","3,361","3,365","3,358","3,358","3,356","3,352","3,351","3,351","3,353","4,648","3,357","3,356","3,356","3,354","3,362"
Central Mississippi Correctional Facility,"3,557","3,332","3,333","3,336","3,351","3,355","3,374","3,346","3,343","3,338","3,557","3,347","3,336","3,335","3,288","3,303","3,302","3,302","3,332","3,326","3,557","3,341","3,325","3,340","3,331","3,331","3,329","3,326","3,332","3,363","3,557","3,358","3,356","3,356","3,357","3,336"
Youthful Offender Unit,42,0,0,0,0,0,0,0,0,0,42,0,0,23,26,27,26,22,23,26,42,25,25,26,28,28,25,24,24,23,42,24,25,25,25,25
South Mississippi Correctional Institution,"3,282","3,185","3,188","3,190","3,188","3,181","3,161","3,206","3,203","3,205","3,282","3,203","3,259","3,255","3,256","3,247","3,247","3,246","3,243","3,243","3,282","3,247","3,239","3,242","3,239","3,240","3,240","3,239","3,246","3,249","3,282","3,250","3,250","3,247","3,247","3,228"
County Jails,"1,818","2,296","2,296","2,288","2,281","2,309","2,302","2,306","2,306","2,306","1,818","2,345","2,337","2,344","2,328","2,315","2,315","2,315","2,322","2,314","1,818","2,303","2,273","2,251","2,251","2,251","2,250","2,250","2,242","2,214","1,818","2,180","2,180","2,180","2,179","2,278"
COMMUNITY WORK CENTERS,"1,848","1,463","1,458","1,457","1,457","1,476","1,475","1,475","1,474","1,472","1,848","1,468","1,476","1,489","1,484","1,488","1,487","1,485","1,480","1,482","1,848","1,484","1,489","1,507","1,504","1,502","1,501","1,501","1,509","1,503","1,848","1,488","1,486","1,482","1,480","1,483"
Alcorn Satellite Facility,92,89,88,88,88,88,86,88,87,86,92,85,87,87,87,91,91,90,89,91,92,92,92,92,92,92,92,92,92,92,92,91,91,91,91,90
Bolivar Satellite Facility,102,74,74,74,73,72,72,73,73,73,102,73,72,72,73,73,73,73,72,71,102,71,71,70,70,70,69,69,69,69,102,68,68,66,66,71
Forrest Satellite Facility,96,64,63,63,63,64,64,64,64,64,96,64,71,71,70,73,72,72,72,72,96,72,75,75,75,75,75,75,75,75,96,74,74,74,74,70
George Satellite Facility,102,70,69,69,69,69,69,69,69,69,102,69,69,69,69,70,70,70,70,70,102,70,70,75,75,75,75,75,77,77,102,76,76,76,76,72
Harrison Satellite Facility,102,69,69,68,68,76,76,76,76,75,102,75,75,76,76,74,74,74,73,73,102,72,75,75,75,75,75,75,75,75,102,76,75,74,74,74
Jackson Satellite Facility,102,61,60,60,60,60,60,59,59,59,102,59,59,62,61,63,63,63,63,63,102,63,63,67,67,67,67,67,65,65,102,65,65,64,64,63
Jefferson Satellite Facility,102,66,66,67,66,66,65,65,65,65,102,64,64,64,64,64,64,63,62,62,102,64,61,60,60,60,60,60,60,60,102,60,60,60,59,63
Leflore Satellite Facility,102,72,72,72,71,70,70,69,69,69,102,68,68,70,70,70,70,70,70,70,102,70,74,76,76,76,76,76,76,76,102,76,76,76,76,72
Madison Satellite Facility,102,88,88,88,88,91,90,94,94,94,102,94,95,92,92,91,91,91,90,92,102,91,91,91,91,91,91,91,91,91,102,89,88,88,88,91
Noxubee Satellite Facility,92,73,73,73,73,78,78,78,78,78,92,77,77,80,80,80,80,80,80,80,92,80,79,78,78,78,78,78,77,77,92,77,77,77,77,78
Pike Satellite Facility,93,89,89,89,89,90,90,93,93,93,93,93,93,93,92,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92
Quitman Satellite Facility,93,92,92,93,92,91,91,88,88,88,93,90,93,93,93,93,93,93,93,91,93,93,91,93,92,91,91,91,91,90,93,93,93,93,93,92
Rankin Satellite Facility,260,245,244,244,248,254,254,254,254,254,260,253,252,255,253,252,252,252,252,256,260,255,256,254,254,253,253,253,253,251,260,247,247,247,247,252
Simpson Satellite Facility,102,101,101,101,101,100,99,96,96,96,102,96,94,96,96,95,95,95,95,94,102,97,96,96,96,96,96,96,96,96,102,95,95,95,94,96
Washington Satellite Facility,102,67,67,66,66,66,66,67,67,67,102,66,65,65,64,64,64,64,64,63,102,62,62,72,72,72,72,72,72,71,102,70,70,70,70,67
Wilkinson Satellite Facility,102,51,51,51,52,52,51,51,51,51,102,51,51,54,54,53,53,53,53,53,102,51,52,52,50,50,50,50,60,59,102,56,56,56,56,53
Yazoo Satellite Facility,102,92,92,91,90,89,94,91,91,91,102,91,91,90,90,89,89,89,89,88,102,88,88,88,88,88,88,88,87,86,102,82,82,82,82,89
