Location,Capacity_x,1-Apr-17,Unnamed: 3,2-Apr-17,3-Apr-17,4-Apr-17,5-Apr-17,6-Apr-17,7-Apr-17,8-Apr-17,9-Apr-17,10-Apr-17,Capacity_y,11-Apr-17,12-Apr-17,13-Apr-17,14-Apr-17,15-Apr-17,16-Apr-17,17-Apr-17,18-Apr-17,19-Apr-17,20-Apr-17,21-Apr-17,Capacity,22-Apr-17,23-Apr-17,24-Apr-17,Location.1,Capacity.1,25-Apr-17,26-Apr-17,27-Apr-17,28-Apr-17,29-Apr-17,30-Apr-17,Avg Population
Mississippi State Penitentiary,3590,3385,3385,3369,3377,3379,3393,3383,3380,3377,3380,,3590,3379,3381,"3,371",3363,3361,3361,3358,3354,3355,3357,3368,3590,3369,3369,3369,Mississippi State Penitentiary,"3,590","3,362","3,366","3,366","3,353","3,353","3,350",3376
Central Mississippi Correctional Facility,"3,882","3,429","3,430","3,468","3,483","3,443","3,412","3,386","3,385","3,385","3,392",,"3,882","3,387","3,405","3,397","3,394","3,391","3,391","3,414","3,443","3,441","3,422","3,399","3,882","3,394","3,399","3,396",Central Mississippi Correctional Facility,"3,710","3,402","3,392","3,361","3,355","3,356","3,351",3413
Youthful Offender Unit,58,31,31,30,30,30,30,30,30,30,30,,58,30,30,30,30,30,30,30,30,29,29,29,58,29,29,29,Youthful Offender Unit,58,30,30,30,30,30,30,31
CMCF TVC,,12,12,12,11,11,11,17,17,17,19,,,18,18,18,16,16,16,16,15,15,16,19,,19,19,19,CMCF TVC,,13,9,9,13,13,13,15
South Mississippi Correctional Institution,"3,082","3,064","3,062","3,058","3,056","3,063","3,052","3,066","3,064","3,064","3,062",,"3,082","3,061","3,064","3,067","3,066","3,066","3,065","3,049","3,038","3,043","3,048","3,055","3,082","3,055","3,052","3,049",South Mississippi Correctional Institution,"3,082","3,043","3,041","3,047","3,047","3,048","3,048",3056
County Jails,"1,781","1,346","1,346","1,332","1,333","1,328","1,383","1,377","1,377","1,377","1,367",,"1,781","1,354","1,365","1,395","1,382","1,382","1,382","1,386","1,379","1,373","1,336","1,304","1,781","1,304","1,304","1,308",County Jails,"1,781","1,299","1,285","1,303","1,305","1,305","1,305",1358
COMMUNITY WORK CENTERS,"1,348","1,034","1,032","1,039","1,031","1,021","1,027","1,028","1,028","1,025","1,022",,"1,348","1,010","1,002",991,994,994,993,"1,009",983,983,974,992,"1,348",991,990,990,Community Work Centers,"1,348",987,981,973,974,973,972,1013
Alcorn Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alcorn Satellite Facility,0,0,0,0,0,0,0,0
Bolivar Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bolivar Satellite Facility,0,0,0,0,0,0,0,0
Forrest Satellite Facility,96,73,73,73,85,85,90,89,89,89,90,,96,90,89,89,89,89,89,86,86,86,84,82,96,82,82,82,Forrest Satellite Facility,96,0,84,84,85,85,85,83
George Satellite Facility,102,73,73,73,79,78,80,82,82,82,82,,102,82,81,81,81,81,81,80,80,80,80,78,102,78,78,79,George Satellite Facility,102,84,80,80,78,78,78,80
Harrison Satellite Facility,102,72,72,72,85,84,83,83,83,83,80,,102,80,80,80,80,80,80,80,79,79,77,78,102,78,78,78,Harrison Satellite Facility,102,80,78,80,79,79,79,80
Jackson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jackson Satellite Facility,0,80,0,0,0,0,0,3
Jefferson Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jefferson Satellite Facility,0,0,0,0,0,0,0,0
Leflore TVC,82,80,80,80,80,80,78,78,78,77,77,,82,69,67,68,75,75,76,76,75,75,73,80,82,79,78,78,Leflore TVC,82,74,73,73,78,78,78,76
Leflore TVC Support,20,17,17,17,17,17,17,16,16,16,15,,20,17,16,15,15,15,15,15,15,15,15,14,20,14,14,14,Leflore TVC Support,20,14,13,13,14,14,14,15
Madison Satellite Facility,102,81,81,82,69,68,67,62,62,62,62,,102,61,61,59,57,57,57,59,60,60,59,62,102,62,62,62,Madison Satellite Facility,102,62,62,62,62,62,62,65
Noxubee Satellite Facility,92,75,75,75,58,57,56,55,55,55,55,,92,53,53,52,50,50,50,66,50,50,49,48,92,48,48,49,Noxubee Satellite Facility,92,48,47,47,47,47,47,55
Pike Satellite Facility,93,84,84,85,85,85,89,88,88,88,88,,93,89,91,91,91,91,91,91,88,88,88,88,93,88,88,88,Pike Satellite Facility,93,88,89,88,86,86,86,88
Quitman Satellite Facility,93,73,73,73,73,75,76,76,76,76,76,,93,76,75,72,70,70,70,70,68,68,71,67,93,67,67,67,Quitman Satellite Facility,93,66,66,65,65,65,65,71
Rankin Satellite Facility,182,164,164,171,164,164,163,161,161,161,162,,182,162,162,161,159,159,159,161,161,161,161,161,182,161,161,159,Rankin Satellite Facility,182,160,159,158,156,156,156,162
Rankin RID,28,6,6,6,6,5,5,5,5,5,5,,28,5,5,4,4,4,4,4,4,4,4,4,28,4,4,4,Rankin RID,28,4,4,4,4,4,4,5
Flowood TVC,50,22,22,22,22,20,20,20,20,19,18,,50,17,16,15,19,19,18,18,17,17,17,28,50,28,28,28,Flowood TVC,50,26,26,25,25,25,25,22
Simpson TVC,82,76,74,74,70,65,65,77,77,76,75,,82,75,74,75,77,77,76,76,76,76,73,79,82,79,79,79,Simpson TVC,82,78,76,73,77,74,73,75
Simpson TVC Support,20,16,16,16,19,19,19,19,19,19,19,,20,19,19,19,19,19,19,19,18,18,18,18,20,18,18,18,Simpson TVC Support,20,17,18,16,14,16,16,18
Washington Satellite Facility,102,60,60,60,59,59,59,58,58,58,58,,102,56,56,55,55,55,55,53,52,52,49,49,102,49,49,49,Washington Satellite Facility,102,54,54,54,54,54,54,56
Wilkinson Satellite Facility,102,62,62,60,60,60,60,59,59,59,60,,102,59,57,55,53,53,53,55,54,54,56,56,102,56,56,56,Wilkinson Satellite Facility,102,52,52,51,50,50,50,57
Yazoo Satellite Facility,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yazoo Satellite Facility,0,0,0,0,0,0,0,0
