"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"108 
  
1 
  
109","","","","",""
"R","","","","",""
"ACE","MALE","FEMALE","","TOTAL","%"
"White","14","0","","14","12.84"
"Black","93","1","","94","86.24"
"Hispanic","0","0","","0",".00"
"Other","1","0","","1",".92"
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"14","2","0","","2","1.83"
"15","7","0","","7","6.42"
"16","15","0","","15","13.76"
"17","84","1","","85","77.98"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","37","0","","37","33.94"
"Robbery","23","0","","23","21.10"
"Property","21","0","","21","19.27"
"Homicide/Manslaughter","7","0","","7","6.42"
"Violent","6","1","","7","6.42"
"Possession of Drugs","6","0","","6","5.50"
"Sex Offense","5","0","","5","4.59"
"Sale of Drugs","3","0","","3","2.75"
