"VIOLATION","FEB","MAR","APR","MAY","JUN","TOTAL","%"
"Escape - Return","0","1","3","0","2","65",".66"
"ISP-Prison","0","1","0","1","0","4",".04"
"New Prisoner","409","607","414","445","445","5,241","53.12"
"Non Reporting Probation","0","0","0","0","0","1",".01"
"Non-Adjudicated RID","9","5","2","9","4","63",".64"
"Parole Revoke-Technical","0","0","1","0","0","2",".02"
"Post Release Probation","3","3","0","1","5","24",".24"
"Probation Awaiting","0","1","0","0","0","2",".02"
"Probation Revoked","237","331","216","285","290","3,255","32.99"
"Return-Abscond","0","0","5","11","6","25",".25"
"Return - ERS","45","44","46","53","29","530","5.37"
"Return - House Arrest","27","34","26","29","17","387","3.92"
"Returned Parole","19","35","23","23","2","268","2.72"
"Sentenced to Probation","0","0","0","0","0","0","0.00%"
"TOTAL","749","1,062","736","857","800","9,867","100.00"
