"GENDER 
MALE 
 
FEMALE 
  
TOTAL","","","","",""
"414 
  
7 
  
421","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","183","5","","188","44.66"
"Black","222","2","","224","53.21"
"Hispanic","8","0","","8","1.90"
"Other","1","0","","1",".24"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"16","1","0","","1",".24"
"17","4","0","","4",".95"
"18  -  19","13","0","","13","3.09"
"20  -  29","130","4","","134","31.83"
"30  -  39","107","2","","109","25.89"
"40  -  49","89","0","","89","21.14"
"50  -  59","48","0","","48","11.40"
"60  -  69","18","0","","18","4.28"
"70  -  79","4","1","","5","1.19"
"","","","","",""
"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Sexual Battery","134","3","","137","32.54"
"Statutory Rape","75","2","","77","18.29"
"Failure to Register as Sex Offender","53","0","","53","12.59"
"Unlawful Touching of Child","37","1","","38","9.03"
"Fondling","29","0","","29","6.89"
"Rape","28","0","","28","6.65"
"Gratification of Lust","21","0","","21","4.99"
"Exploitation of Child","10","0","","10","2.38"
