"MALE","","","","",""
"SEX OFFENSES","BLACK","","WHITE   HISPANIC","OTHER","TOTAL"
"Child Molestation","4","3","0","0","7"
"Child Pornography","0","4","0","0","4"
"Computer Luring of Child","0","1","0","0","1"
"Entice Child for Indecent Purposes","1","1","0","0","2"
"Exploitation of Child","0","10","0","0","10"
"Failure to Register as Sex Offender","33","20","0","0","53"
"Fondling","13","16","0","0","29"
"Fondling a Child","2","5","0","0","7"
"Forcible Sexual Intercourse","1","0","0","0","1"
"Gratification  of Lust","11","10","0","0","21"
"Incest","1","0","0","0","1"
"Peeping Tom","3","0","0","0","3"
"Rape","28","0","0","0","28"
"Sex Assault","1","0","0","0","1"
"Sexual Battery","73","57","3","1","134"
"Statutory Rape","45","26","4","0","75"
"Unlawful Touching a Child","6","30","1","0","37"
"TOTAL","222","183","8","1","414"
