"","","","INMATE ADMISSIONS","","",""
"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","29",".76","Lawrence","28",".74"
"","Clay","52","1.37","Leake","21",".55"
"","Covington","9",".24","Lowndes","151","3.97"
"","Forrest","109","2.86","Marion","26",".68"
"","George","51","1.34","Neshoba","34",".89"
"","Greene","18",".47","Newton","18",".47"
"","Hancock","20",".53","Noxubee","8",".21"
"Southern","","","","","",""
"","Harrison","414","10.87","Oktibbeha","85","2.23"
"Counties","","","","","",""
"","Jackson","143","3.76","Pearl River","56","1.47"
"","Jasper","6",".16","Perry","10",".26"
"","Jeff Davis","9",".24","Scott","28",".74"
"","Jones","39","1.02","Simpson","19",".50"
"","Kemper","11",".29","Smith","7",".18"
"","Lamar","60","1.58","Stone","28",".74"
"","Lauderdale","148","3.89","Wayne","26",".68"
"","","","","TOTAL","1,255","32.96"
