"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"3,323 
  
485 
  
3,808","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","999","295","","1,294","33.97"
"Black","2,270","185","","2,455","64.46"
"Hispanic","38","4","","42","1.09"
"Other","11","1","","12",".32"
"Unknown Race","5","0","","6",".16"
"","","","","",""
"AGE","MALE","FEMALE","","TOTAL","%"
"16","1","0","","1",".03"
"17","8","0","","8",".21"
"18  -  19","117","2","","119","3.13"
"20  -  29","1,504","163","","1,667","43.78"
"30  -  39","954","169","","1,123","29.49"
"40  -  49","526","118","","644","16.91"
"50  -  59","184","29","","213","5.59"
"60  -  69","26","3","","29",".76"
"70  -  79","3","1","","4",".11"
"","","","","",""
"OFFENSE 
MALE 
FEMALE 
  
TOTAL 
%","","","","",""
"Possession of Drugs 
2,259 
341 
  
2,600 
68.28","","","","",""
"31.72 
Sale of Drugs 
1,064 
144 
  
1,208","","","","",""
