"","","","","","Fact Sheet","",""
"","","","","As of November 1, 2016","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,260","63.23%","","383","35.40%","4,643","59.38%"
"White","2,422","35.95%","","684","63.22%","3,106","39.72%"
"Hispanic","25",".37%","","11","1.02%","36",".46%"
"Native American","12",".18%","","2",".18%","14",".18%"
"Asian","15",".22%","","1",".09%","16",".20%"
"Data Unavailable","3",".04%","","1",".09%","4",".05%"
"TOTAL","6,737","100.00%","","1,082","100.00%","7,819","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,928","50.24%",""
"","","","Property","","3,071","39.28%",""
"","","","Aggravated Assault","","94","1.20%",""
"","","","Violent","","623","7.97%",""
"","","","Sex","","103","1.32%",""
"","","","TOTAL","","7,819","100.00%",""
