"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,297","63.15%","","387","35.09%","4,684","59.24%"
"White","2,453","36.05%","","701","63.55%","3,154","39.89%"
"Hispanic","25",".37%","","11","1.00%","36",".46%"
"Native American","12",".18%","","2",".18%","14",".18%"
"Asian","13",".19%","","1",".09%","14",".18%"
"Data Unavailable","4",".06%","","1",".09%","5",".06%"
"TOTAL","6,804","100.00%","","1,103","100.00%","7,907","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,983","50.37%",""
"","","","Property","","3,099","39.19%",""
"","","","Aggravated Assault","","99","1.25%",""
"","","","Violent","","622","7.87%",""
"","","","Sex","","104","1.32%",""
"","","","TOTAL","","7,907","100.00%",""
