"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","5,551","5,308","40.83%"
"Central Mississippi Correctional Facility","3,049","2,958","22.75%"
"South Mississippi Correctional Institution","2,214","2,041","15.70%"
"County Jails - Approved*","2,146","1,344","10.34%"
"County Jails - Unapproved**","0","78","0.60%"
"Community Work Centers","1320","1,272","9.78%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,280","13,001","100.00%"
"Bolivar County Correctional Facility","250","1","0.05%"
"Carroll County Correctional Facility","250","224","11.18%"
"Holmes County Correctional Facility","250","215","10.73%"
"Issaquena County Correctional Facility","250","219","10.93%"
"Jefferson County Correctional Facility","250","228","11.38%"
"Kemper County Correctional Facility","250","245","12.23%"
"Leake Correctional Facility","250","218","10.88%"
"Marion County Correctional Facility","250","219","10.93%"
"Stone County Correctional Facility","250","216","10.78%"
"Winston County Correctional Facility","250","219","10.93%"
"Regional Facilities","2,500","2,004","100.00%"
"Delta Correctional Facility","1,000","865","23.94%"
"East MS Correctional Facility","500","502","13.89%"
"Marshall County Correctional Facility","1,000","886","24.52%"
"Walnut Grove Correctional Facility","500","489","13.53%"
"Wilkinson County Correctional Facility","900","871","24.11%"
"TOTAL PRIVATE PRISONS","3,900","3,613","100.00%"
"Community Trusties","30","21","0.10%"
"Emergency Suspension","0","23","0.11%"
"Court Order","0","240","1.11%"
"TOTAL CAPACITY & CUSTODY POPULATION","20,710","18,902","87.34%"
"Intensive Supervision Program","0","1,407","6.50%"
"Earned Release Supervision Program","0","1,027","4.75%"
"Medical Release","0","0","0.00%"
"Community Corrections","0","2,434","11.25%"
"Other Custody","0","212","0.98%"
"University of MS Medical Center","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","85","0.39%"
"TOTAL","20,710","21,642","100.00%"
