"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary (capacity decreased by 60 on Oct 25)","4,760","4,693","34.33%"
"Central Mississippi Correctional Facility","3,233","3,146","23.01%"
"South Mississippi Correctional Institution","2,214","2,163","15.82%"
"County Jails - Approved*","2,203","1,645","12.03%"
"County Jails - Unapproved**","0","303","2.22%"
"Community Work Centers","1,816","1,720","12.58%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,226","13,670","100.00%"
"Bolivar County Correctional Facility","250","249","9.11%"
"Carroll County Correctional Facility","250","250","9.14%"
"George County Correctional Facility","250","242","8.85%"
"Holmes County Correctional Facility","250","249","9.11%"
"Issaquena County Correctional Facility","250","249","9.11%"
"Jefferson County Correctional Facility","250","250","9.14%"
"Kemper County Correctional Facility","250","250","9.14%"
"Leake Correctional Facility","250","249","9.11%"
"Marion County Correctional Facility","250","248","9.07%"
"Stone County Correctional Facility","250","249","9.11%"
"Winston County Correctional Facility","250","249","9.11%"
"REGIONAL FACILITIES","2,750","2,734","100.00%"
"Delta Correctional Facility","960","957","20.44%"
"East MS Correctional Facility","1,000","865","18.48%"
"Marshall County Correctional Facility","1,000","991","21.17%"
"Tallahatchie County Correctional Facility (Opened Oct 25, 2004)","128","56","1.20%"
"Walnut Grove Correctional Facility","1,000","826","17.64%"
"Wilkinson County Correctional Facility","1,000","987","21.08%"
"TOTAL PRIVATE PRISONS","5,088","4,682","100.00%"
"Community Trusties","24","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Court Order","00","00","0.00%"
"Pending File Review","0","185","0.76%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,088","21,289","87.06%"
"Intensive Supervision Program","0","1,258","5.14%"
"Earned Release Supervision Program","0","1,566","6.40%"
"Medical Release","0","3","0.01%"
"TOTAL COMMUNITY CORRECTIONS","0","2,827","11.56%"
"Other Custody","0","248","1.01%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","80","0.33%"
"TOTAL","22,088","24,453","100.00%"
