"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,276","15.77%"
"Central Mississippi Correctional Facility","2,932","2,548","12.27%"
"South Mississippi Correctional Institution","2,882","2,685","12.93%"
"Youthful Offender Facility","58","26","0.13%"
"County Jails - Approved*","2,002","690","3.32%"
"County Jails - Unapproved**","0","343","1.65%"
"Community Work Centers","1,870","1,105","5.32%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,334","10,673","51.38%"
"Alcorn County Correctional Facility","300","0","0.00%"
"Bolivar County Correctional Facility","369","278","1.34%"
"Carroll County Correctional Facility","280","273","1.31%"
"Chickasaw County Correctional Facility","300","269","1.29%"
"George County Correctional Facility","280","225","1.08%"
"Holmes County Correctional Facility","280","275","1.32%"
"Issaquena County Correctional Facility","274","251","1.21%"
"Jefferson County Correctional Facility","280","245","1.18%"
"Kemper County Correctional Facility","355","278","1.34%"
"Leake County Correctional Facility","280","240","1.16%"
"Marion County Correctional Facility","280","254","1.22%"
"Stone County Correctional Facility","280","272","1.31%"
"Washington County Correctional Facility","300","210","1.01%"
"Winston County Correctional Facility","280","223","1.07%"
"Yazoo County Correctional Facility","300","278","1.34%"
"TOTAL REGIONAL FACILITIES","4,438","3,571","17.19%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,111","5.35%"
"Marshall County Correctional Facility","1,000","991","4.77%"
"Walnut Grove Correctional Facility","1,500","932","4.49%"
"Wilkinson County Correctional Facility","1,000","885","4.26%"
"TOTAL PRIVATE PRISONS","5,972","3,919","18.87%"
"Community Trusties","0","11",".05%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","88",".42%"
"Court Order","0","261","1.26%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,744","18,523","89.17%"
"Intensive Supervision Program","0","840","4.04%"
"Earned Release Supervision Program","0","848","4.08%"
"Medical Release","0","14","0.07%"
"TOTAL COMMUNITY CORRECTIONS","0","1,702","8.19%"
"Other Custody","0","520","2.50%"
"Off-Grounds Medical (Hospital)","0","1","0.00%"
"At Large (Escapees & Walk-Aways)","0","27","0.13%"
"TOTAL","23,744","20,773","100.00%"
