"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,356","3,063","24.66%"
"Central Mississippi Correctional Facility","3,449","3,018","24.30%"
"South Mississippi Correctional Institution","3,256","3,190","25.68%"
"County Jails - Approved*","1,616","1,272","10.24%"
"County Jails - Unapproved**","0","408","3.28%"
"Community Work Centers","1,848","1,471","11.84%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,525","12,422","100.00%"
"Alcorn County Correctional Facility","300","246","7.00%"
"Bolivar County Correctional Facility","294","234","6.66%"
"Carroll County Correctional Facility","280","224","6.38%"
"Chickasaw County Correctional Facility","300","250","7.12%"
"George County Correctional Facility","280","223","6.35%"
"Holmes County Correctional Facility","280","222","6.32%"
"Issaquena County Correctional Facility","274","225","6.40%"
"Jefferson County Correctional Facility","280","223","6.35%"
"Kemper County Correctional Facility","355","284","8.08%"
"Leake County Correctional Facility","280","224","6.38%"
"Marion County Correctional Facility","280","224","6.38%"
"Stone County Correctional Facility","280","225","6.40%"
"Washington County Correctional Facility","300","236","6.72%"
"Winston County Correctional Facility","280","221","6.29%"
"Yazoo County Correctional Facility","300","252","7.17%"
"TOTAL REGIONAL FACILITIES","4,363","3,513","100.00%"
"Delta Correctional Facility","972","897","17.53%"
"East MS Correctional Facility","1,500","1,313","25.66%"
"Marshall County Correctional Facility","1,000","998","19.50%"
"Walnut Grove Correctional Facility","1,500","1,016","19.86%"
"Wilkinson County Correctional Facility","1,000","893","17.45%"
"TOTAL PRIVATE PRISONS","5,972","5,117","100.00%"
"Community Trusties","22","15",".06%"
"Emergency Suspension","0","0",".00%"
"Pending File Review","0","86",".34%"
"Court Order","0","382","1.51%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,882","21,535","85.37%"
"Intensive Supervision Program","0","1,628","6.45%"
"Earned Release Supervision Program","0","1,582","6.27%"
"Medical Release","0","25",".10%"
"TOTAL COMMUNITY CORRECTIONS","0","3,235","12.82%"
"Other Custody","0","407","1.61%"
"Off-Grounds Medical (Hospital)","0","10",".04%"
"At Large (Escapees & Walk-Aways)","00","38",".15%"
"TOTAL","23,882","25,225","100.00%"
