"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,289","15.76%"
"Central Mississippi Correctional Facility","3,750","3,484","16.69%"
"South Mississippi Correctional Institution","3,082","2,637","12.63%"
"Youthful Offender Facility","58","26","0.12%"
"County Jails - Approved","1,781","629","3.01%"
"County Jails - Unapproved","0","338","1.62%"
"Community Work Centers","1,154","669","3.21%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,072","53.04%"
"Alcorn County Correctional Facility","300","285","1.37%"
"Bolivar County Correctional Facility","369","297","1.42%"
"Carroll County Correctional Facility","280","273","1.31%"
"Chickasaw County Correctional Facility","310","302","1.45%"
"George County Correctional Facility","280","339","1.62%"
"Holmes County Correctional Facility","280","256","1.23%"
"Issaquena County Correctional Facility","274","274","1.31%"
"Jefferson County Correctional Facility","280","273","1.31%"
"Kemper County Correctional Facility","355","345","1.65%"
"Leake County Correctional Facility","280","229","1.10%"
"Marion County Correctional Facility","280","277","1.33%"
"Stone County Correctional Facility","326","325","1.56%"
"Washington County Correctional Facility","300","235","1.13%"
"Winston County Correctional Facility","280","270","1.29%"
"Yazoo County Correctional Facility","300","295","1.41%"
"TOTAL REGIONAL FACILITIES","4,494","4,275","20.48%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,266","6.07%"
"Marshall County Correctional Facility","1,000","998","4.78%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","904","4.33%"
"TOTAL PRIVATE PRISONS","5,972","3,168","15.18%"
"Community Trusties","0","","36","",".17%"
"Emergency Suspension","","","0","",".00%"
"Pending File Review","","","103","",".49%"
"TVC","0","","18","",".09%"
"Transitional Housing","0","","36","","0.2%"
"Court Order","0","","233","","1.12%"
"RRP","0","","101","",".48%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,881","","19,042","","91.23%"
"Intensive Supervision Program","0","","712","","3.41%"
"Conditional Release","0","","3","","0.01%"
"Earned Release Supervision Program","0","","607","","2.91%"
"Failure to Register-Monitoring","0","","5","","0.02%"
"Medical Release","0","","13","","0.06%"
"TOTAL COMMUNITY CORRECTIONS","0","","1,340","","6.42%"
"Other Custody","0","","450","","2.16%"
"Off-Grounds Medical (Hospital)","0","","12","","0.06%"
"At Large (Escapees & Walk-Aways)","0","","29","","0.14%"
"TOTAL","23,881","","20,873","","100.00%"
