"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,529","4,310","34.40%"
"Central Mississippi Correctional Facility","3,233","3,106","24.79%"
"South Mississippi Correctional Institution","2,306","2,078","16.59%"
"County Jails - Approved*","2,177","1,261","10.06%"
"County Jails - Unapproved**","0","49","0.39%"
"Community Work Centers","1,816","1,725","13.77%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,061","12,529","100.00%"
"Bolivar County Correctional Facility","294","293","9.62%"
"Carroll County Correctional Facility","280","279","9.16%"
"George County Correctional Facility","280","277","9.10%"
"Holmes County Correctional Facility","280","279","9.16%"
"Issaquena County Correctional Facility","274","273","8.97%"
"Jefferson County Correctional Facility","250","249","8.18%"
"Kemper County Correctional Facility","280","279","9.16%"
"Leake County Correctional Facility","280","280","9.20%"
"Marion County Correctional Facility","280","278","9.13%"
"Stone County Correctional Facility","280","279","9.16%"
"Winston County Correctional Facility","280","279","9.16%"
"TOTAL REGIONAL FACILITIES","3,058","3,045","100.00%"
"Delta Correctional Facility","972","966","20.28%"
"East MS Correctional Facility","1,000","835","17.53%"
"Marshall County Correctional Facility","1,000","997","20.93%"
"Tallahatchie County Correctional Facility","128","127","2.67%"
"Walnut Grove Correctional Facility","1,000","923","19.37%"
"Wilkinson County Correctional Facility","1,000","916","19.23%"
"TOTAL PRIVATE PRISONS","5,100","4,764","100.00%"
"Community Trusties","22","20","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","16","0.07%"
"Court Order","0","332","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,241","20,706","84.24%"
"Intensive Supervision Program","0","1,631","6.64%"
"Earned Release Supervision Program","0","1,790","7.28%"
"Medical Release","00","11","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,432","13.96%"
"Other Custody","0","304","1.24%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","131","0.53%"
"TOTAL","22,241","24,580","100.00%"
