"County","Offenders","Percent"
"ADAMS","77","0.83%"
"ALCORN","103","1.10%"
"AMITE","29","0.31%"
"ATTALA","43","0.46%"
"BENTON","21","0.23%"
"BOLIVAR","54","0.58%"
"CALHOUN","49","0.53%"
"CARROLL","13","0.14%"
"CHICKASAW","65","0.70%"
"CHOCTAW","24","0.26%"
"CLAIBORN","13","0.14%"
"CLARKE","47","0.50%"
"CLAY","74","0.79%"
"COAHOMA","44","0.47%"
"COPIAH","47","0.50%"
"COVINGTON","23","0.25%"
"+ DESOTO","359","3.85%"
"+ FORREST","286","3.06%"
"FRANKLIN","21","0.23%"
"GEORGE","64","0.69%"
"GREENE","29","0.31%"
"GRENADA","59","0.63%"
"HANCOCK","127","1.36%"
"+ HARRISON","794","8.51%"
"+ HINDS","377","4.04%"
"HOLMES","17","0.18%"
"HUMPHREYS","6","0.06%"
"ITAWAMBA","74","0.79%"
"+ JACKSON","413","4.43%"
"JASPER","21","0.23%"
"JEFF","15","0.16%"
"JEFFERSON","8","0.09%"
"JONES","216","2.31%"
"KEMPER","27","0.29%"
"LAFAYETTE","109","1.17%"
"LAMAR","99","1.06%"
"+ LAUDERDALE","284","3.04%"
"LAWRENCE","31","0.33%"
"LEAKE","62","0.66%"
"+ LEE","290","3.11%"
"LEFLORE","75","0.80%"
"LINCOLN","120","1.29%"
"+ LOWNDES","269","2.88%"
"+ MADISON","264","2.83%"
"MARION","96","1.03%"
"MARSHALL","80","0.86%"
"MONROE","110","1.18%"
"MONTGOMERY","27","0.29%"
"NESHOBA","95","1.02%"
"NEWTON","39","0.42%"
"NOXUBEE","14","0.15%"
"OKTIBBEHA","124","1.33%"
"PANOLA","101","1.08%"
"PEARL","204","2.19%"
"PERRY","39","0.42%"
"PIKE","136","1.46%"
"PONTOTOC","100","1.07%"
"PRENTISS","82","0.88%"
"QUITMAN","10","0.11%"
"+ RANKIN","458","4.91%"
"SCOTT","78","0.84%"
"SHARKEY","8","0.09%"
"SIMPSON","42","0.45%"
"SMITH","12","0.13%"
"STONE","37","0.40%"
"SUNFLOWER","39","0.42%"
"TALLAHATCHIE","19","0.20%"
"TATE","62","0.66%"
"TIPPAH","47","0.50%"
"TISHOMINGO","29","0.31%"
"TUNICA","23","0.25%"
"UNAVAILABLE","34","0.36%"
"UNION","96","1.03%"
"WALTHALL","38","0.41%"
"WARREN","119","1.28%"
"WASHINGTON","132","1.41%"
"WAYNE","53","0.57%"
"WEBSTER","25","0.27%"
"WILKINSON","14","0.15%"
"WINSTON","31","0.33%"
"YALOBUSHA","21","0.23%"
"YAZOO","41","0.44%"
"TOTAL","7957","100.00%"
