"OFFENSE","Male","Female","Total","Percent"
"CAPITAL RAPE","3","0","3","0.82%"
"CHILD ENDANGERMENT                                           6","","6","12","3.30%"
"CHILD MOLESTATION","6","0","6","1.65%"
"CHILD PORNOGRAPHY                                            3","","0","3","0.82%"
"EXPLOITATION/CHILD                                           24","","0","24","6.59%"
"FONDLING","36","0","36","9.89%"
"FONDLING A CHILD","8","1","9","2.47%"
"GRATIFICATION/LUST                                           11","","0","11","3.02%"
"KIDNAP MINOR","1","0","1","0.27%"
"RAPE","29","0","29","7.97%"
"SEX ASSAULT","3","0","3","0.82%"
"","SEXUAL BATTERY                                               114","6","120","32.97%"
"STATUTORY RAPE                                               58","","1","59","16.21%"
"UNLAWFUL TOUCHING/CHILD                                     36","","0","36","9.89%"
"UNNATURAL INTERCOURSE                                        1","","0","1","0.27%"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING                    3","","0","3","0.82%"
"SEXUAL ABUSE - VULNERABLE ADULT                              1","","0","1","0.27%"
"PROCURING SEXUAL SERVITUDE OF A MINOR                       1","","0","1","0.27%"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT                 2","","0","2","0.55%"
"SEX BETWEEN TEACHER AND PUPIL                                1","","0","1","0.27%"
"RAPE WITH A WEAPON                                           1","","0","1","0.27%"
"HUMAN TRAFFICKING                                            0","","1","1","0.27%"
"CHILD NEGLECT - SEX OFFENSE","1","0","1","0.27%"
"TOTAL","349","15","364","100.00%"
