"County","Offenders","Percent"
"ADAMS","6","0.60%"
"ALCORN","18","1.80%"
"AMITE","3","0.30%"
"ATTALA","7","0.70%"
"BENTON","1","0.10%"
"BOLIVAR","10","1.00%"
"CALHOUN","3","0.30%"
"CARROLL","4","0.40%"
"CHICKASAW","8","0.80%"
"CHOCTAW","2","0.20%"
"CLAIBORN","2","0.20%"
"CLARKE","7","0.70%"
"CLAY","11","1.10%"
"COAHOMA","4","0.40%"
"COPIAH","3","0.30%"
"COVINGTON","4","0.40%"
"DESOTO","34","3.40%"
"FORREST","26","2.60%"
"FRANKLIN","1","0.10%"
"GEORGE","11","1.10%"
"GREENE","7","0.70%"
"GRENADA","7","0.70%"
"HANCOCK","18","1.80%"
"HARRISON","110","10.99%"
"HINDS","49","4.90%"
"HOLMES","1","0.10%"
"HUMPHREYS","2","0.20%"
"ITAWAMBA","15","1.50%"
"JACKSON","54","5.39%"
"JASPER","4","0.40%"
"JEFF","3","0.30%"
"JONES","27","2.70%"
"KEMPER","3","0.30%"
"LAFAYETTE","12","1.20%"
"LAMAR","11","1.10%"
"LAUDERDALE","39","3.90%"
"LAWRENCE","4","0.40%"
"LEAKE","10","1.00%"
"LEE","38","3.80%"
"LEFLORE","5","0.50%"
"LINCOLN","12","1.20%"
"LOWNDES","34","3.40%"
"MADISON","39","3.90%"
"MARION","10","1.00%"
"MARSHALL","5","0.50%"
"MONROE","13","1.30%"
"MONTGOMERY","5","0.50%"
"NESHOBA","13","1.30%"
"NEWTON","4","0.40%"
"NOXUBEE","3","0.30%"
"OKTIBBEHA","13","1.30%"
"PANOLA","10","1.00%"
"PEARL","29","2.90%"
"PERRY","4","0.40%"
"PIKE","19","1.90%"
"PONTOTOC","15","1.50%"
"PRENTISS","8","0.80%"
"QUITMAN","1","0.10%"
"RANKIN","53","5.29%"
"SCOTT","7","0.70%"
"SIMPSON","5","0.50%"
"SMITH","4","0.40%"
"STONE","4","0.40%"
"SUNFLOWER","8","0.80%"
"TALLAHATCHIE","3","0.30%"
"TATE","5","0.50%"
"TIPPAH","4","0.40%"
"TISHOMINGO","3","0.30%"
"TUNICA","5","0.50%"
"UNAVAILABLE","3","0.30%"
"UNION","12","1.20%"
"WALTHALL","9","0.90%"
"WARREN","13","1.30%"
"WASHINGTON","15","1.50%"
"WAYNE","6","0.60%"
"WEBSTER","5","0.50%"
"WILKINSON","2","0.20%"
"WINSTON","3","0.30%"
"YALOBUSHA","7","0.70%"
"YAZOO","4","0.40%"
"TOTAL","1001","100.00%"
