"OFFENSE","Black","White","Hispanic","Other","Total"
"CAPITAL RAPE","0","3","0","0","3"
"CHILD ENDANGERMENT","2","4","0","0","6"
"CHILD MOLESTATION","1","5","0","0","6"
"CHILD PORNOGRAPHY","0","3","0","0","3"
"EXPLOITATION/CHILD","4","17","2","1","24"
"FONDLING","17","18","1","0","36"
"FONDLING A CHILD","3","5","0","0","8"
"GRATIFICATION/LUST","4","7","0","0","11"
"KIDNAP MINOR","0","1","0","0","1"
"RAPE","19","10","0","0","29"
"SEX ASSAULT","2","1","0","0","3"
"SEXUAL BATTERY","70","40","4","0","114"
"STATUTORY RAPE","35","19","3","1","58"
"UNLAWFUL TOUCHING/CHILD","11","25","0","0","36"
"UNNATURAL INTERCOURSE","1","0","0","0","1"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","0","3","0","0","3"
"SEXUAL ABUSE - VULNERABLE ADULT","1","0","0","0","1"
"PROCURING SEXUAL SERVITUDE OF A MINOR","0","1","0","0","1"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","0","2","0","0","2"
"SEX BETWEEN TEACHER AND PUPIL","0","1","0","0","1"
"RAPE WITH A WEAPON","1","0","0","0","1"
"CHILD NEGLECT - SEX OFFENSE","1","0","0","0","1"
"TOTAL","172","165","10","2","349"
