
"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,370","","68.71%","","","1,215","","51.11%","","","16,585","","","67.02%","","",""
"White","6,762","","30.23%","","","1,137","","47.83%","","","7,899","","","31.92%","","",""
"Hispanic","158","","0.71%","","","31
3","","0.55%","","","171","","0.69%","","","",""
"Native American","22","","0.10%","","","","","0.13%","","","25","","0.10%","","","",""
"Asian","40","","0.18%","","","7 2","","0.29%","","","47","","0.19%","","","",""
"Data Unavailable","16","","0.07%","","","","","0.08%","","","18","","0.07%","","","",""
"TOTAL","22,368","","100.00%","","","2,377","","100.00%","","","24,745","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,099","","0","1,175","","0","33","0","5","","0","7","0","0","0","4,319"
"CMCF","1,102","","742","654","","622","13","9","2","","2","2","5","0","0","3,153"
"SMCI","1,469","","0","706","","0","24","0","2","","0","8","0","0","0","2,209"
"County Jails (approved)","598","","55","479","","72","9","2","0","","1","3","0","2","1","1,222"
"County Jails (unapproved)","12","","2","12","","5","3","0","0","","0","1","0","0","0","35"
"Private Prisons","3,657","","0","1,154","","0","18","0","7","","0","9","0","1","0","4,846"
"Regional Correctional Facilities","2,209","","0","749","","0","22","0","0","","0","4","0","1","0","2,985"
"Community Work Centers","929","","109","449","","105","5","1","1","","0","3","0","1","0","1,603"
"Community Trusties","9","","0","8","","0","0","0","0","","0","0","0","0","0","17"
"Pending File Review","22","","8","13","","5","0","0","0","","0","0","0","0","0","48"
"Court Order","175","","8","129","","35","0","0","2","","0","0","1","0","0","350"
"","13,281","","924","5,528","","844","127","12","19","","3","37","6","5","1","20,787"
"Intensive Supervison Program","685","","151","613","","201","6","1","2","","0","3","1","9","1","1,673"
"Earned Release Supervision","1,196","","127","460","","70","3","0","1","","0","0","0","0","0","1,857"
"Medical Release","4","","0","3","","1","0","0","0","","0","0","0","0","0","8"
"Other Custody","133","","11","123","","14","19","0","0","","0","0","0","2","0","302"
"At Large","70","","2","34","","5","3","0","0","","0","0","0","0","0","114"
"Off-Grounds Medical (Hospital)","1","","0","1","","2","0","0","0","","0","0","0","0","0","4"
"TOTAL","15,370","","1,215","6,762","","1,137","158","13","22","","3","40","7","16","2","24,745"
"% OF TOTAL OFFENSES","62.11%","","4.91%","27.33%","","4.59%","0.64%","0.05%","0.09%","","0.01%","0.16%","0.03%","0.06%","0.01%","100.00%"
