"","","","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","","","","",""
"","","","","","MONTHLY FACT SHEET","","","","",""
"","","","","","As of November 1, 2003","","","","",""
"","INMATE STATISTICS (continued)","","","","","","","","",""
"BY RACE AND SEX","","","","","","","","","",""
"","","","% OF","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","","NO. OF","TOTAL","",""
"RACE","MALE","","POPULATION","","FEMALE","POPULATION","","OFFENDERS","OFFENDERS","",""
"Black","14,910","","69.88%","1,212","54.89%","","16,122","68.47%","",""
"White","6,265","","29.36%","976","44.20%","","7,241","30.75%","",""
"Hispanic","112","","0.52%","8","0.36%","","120","0.51%","",""
"Native American","20","","0.09%","5","0.23%","","25","0.11%","",""
"Asian","31","","0.15%","","0.32%","","38","0.16%","",""
"Data Unavailable","0","","0.00%","7 0","0.00%","","0","0.00%","",""
"TOTAL","21,338","","100.00%","2,208","100.00%","","23,546","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","",""
"","","Black","","White","Hispanic","Native American","","Asian","Data Unavailable","TOTAL"
"LOCATION","","Male","Female","Male
Female","Male
Female","Male","Female","Male
Female
Male","Female",""
"MSP","","4,191","1","1,470
0","33
0","","7
0","6
0","0
0","5,708"
"CMCF","","1,067","833","612
559","11
5","","3
0","3
5","0
0","3,098"
"SMCI","","1,333","0","684
0","22
0","","4
0","5
0","0
0","2,048"
"County Jails (approved)","","1,009","41","614
49","8
2","","2
2","5
0","0
0","1,732"
"County Jails (unapproved)","","80","9","86
20","1
0","","0
0","1
0","0
0","197"
"Private Prisons","","2,506","0","919
0","7
0","","2
0","4
0","0
0","3,438"
"Regional Correctional Facilities","","2,138","0","598
0","12
0","","0
0","2
0","0
0","2,750"
"Community Work Centers","","941","115","378
117","5
0","","0
0","2
0","0
0","1,558"
"Community Trusties","","15","0","7
0","0
0","","0
0","0
0","0
0","22"
"","","13,280","999","5,368
745","99
7","","18
2","28
5","0
0","20,551"
"Intensive Supervison Program","","581","114","491
172","6
1","","2
2","3
0","0
0","1,372"
"Earned Release Supervision","","851","88","257
40","2
0","","0
1","0
1","0
0","1,240"
"Medical Release","","0","0","0
0","0
0","","0
0","0
0","0
0","0"
"Other Custody","","111","4","102
10","3
0","","0
0","0
0","0
0","230"
"At Large","","87","7","47
9","2
0","","0
0","0
1","0
0","153"
"University of MS Medical Center","","0","0","0
0","0
0","","0
0","0
0","0
0","0"
"TOTAL","","14,910","1,212","6,265
976","112
8","","20
5","31
7","0
0","23,546"
"% of Total Offenses","","63.32%","5.15%","26.61%
4.15%","0.48%
0.03%","0.08%","0.02%","0.13%
0.03%","0.00%
0.00%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","",""
"","","DRUG","","PROPERTY","VIOLENT","","","","",""
"LOCATION","","OFFENSES","","OFFENSES","OFFENSES","","TOTAL","","",""
"MSP","","","1,371","1,320","3,017","","5,708","","",""
"CMCF","","","990","1,099","1,009","","3,098","","",""
"SMCI","","","667","655","726","","2,048","","",""
"County Jails (approved)","","","772","686","274","","1,732","","",""
"County Jails (unapproved)","","","64","90","43","","197","","",""
"Private Prisons","","","690","969","1,779","","3,438","","",""
"Regional Correctional Facilities","","","886","636","1,228","","2,750","","",""
"Community Work Centers","","","884","665","9","","1,558","","",""
"Community Trusties","","","10","7","5","","22","","",""
"","","","6,334","6,127","8,090","","20,551","CUSTODY POPULATION","",""
"Intensive Supervison Program","","","467","869","36","","1,372","","",""
"Earned Release Supervision","","","525","486","229","","1,240","","",""
"Medical Release","","","0","0","0","","0","","",""
"Other Custody","","","75","86","69","","230","","",""
"At Large","","","53","73","27","","153","","",""
"University of MS Medical Center","","","0","0","0","","0","","",""
"TOTAL","","","7,454","7,641","8,451","","23,546","","",""
"% of Total Offenses","","","31.66%","32.45%","35.89%","","100.00%","","",""
"SPECIFIC OFFENSE STATISTICS","","","","","","TABE TEST STATISTICS","","","",""
"","","","NO. OF","","GRADE","","READING","MATH","PERCENT TESTED",""
"TYPE OF OFFENDER","","","OFFENDERS","","LEVEL","TESTED","%","TESTED
%","USING TABE",""
"Armed Robbery (Mandatory)","","","","1,905","8.8 - 12.9","2,061","33.41%","635
10.29%","Total Population","20,551"
"Lifers","","","","1,799","6.6 - 8.9","2,165","35.10%","1,858
30.12%","TABE Tested","6,169"
"Habitual Offenders","","","","1,459","3.6 - 6.9","1,184","19.20%","2,734
44.32%","",""
"","","","","","","","","","","30.02%"
"Habitual Lifers","","","","299","1.6 - 3.9","749","12.14%","929
15.06%","",""
"Death Row","","","","68","0.0 - 1.9","9","0.15%","13
0.21%","",""
"TOTAL","","","","5,530","TOTAL","6,168","100.00%","6,169","100.00% TABE test started September 2002",""
