"LOCATION","Black Male","","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,886","","1","1,388","1","18","0","3","0","4","0","1","0","5,302"
"CMCF","1,114","","760","613","432","3","5","1","2","3","2","0","0","2,935"
"SMCI","1,412","","0","615","1","15","0","0","0","2","0","0","0","2,045"
"County Jails (approved)","899","","56","469","35","5","1","3","0","1","0","0","0","1,469"
"County Jails (unapproved)","64","","8","41","6","0","0","0","0","0","0","0","0","119"
"Private Prisons","2,824","","0","753","0","7","0","2","0","2","0","0","0","3,588"
"Regional Correctional Facilities","1,582","","0","408","0","4","","4","0","2","0","0","0","2,000"
"Community Work Centers","869","","75","285","45","6","0","2","1","0","2","0","0","1,285"
"Community Trusties","15","","0","8","0","0","0","0","0","0","0","0","0","23"
"","12,665","","900","4,580","520","58","6","15","3","14","4","1","0","18,766"
"Intensive Supervison Program","638","","118","461","128","1","1","3","2","1","0","0","0","1,353"
"Earned Release Supervision","652","","70","240","25","4","0","0","0","0","0","0","0","991"
"Medical Release","0","","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","92","","4","91","10","4","0","0","0","0","1","0","0","202"
"At Large","47","","5","20","4","1","0","0","0","1","0","0","0","78"
"University of MS Medical Center","2","","2","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14,096","","1,099","5,394","687","68","7","18","5","16","5","1","0","21,396"
"% of Total Offenses","65.88%","","5.14%","25.21%","3.21%","0.32%","0.03%","0.08%","0.02%","0.07%","0.02%","0.00%","0.00%","100.00%"
