"BY RACE/SEX AND LOCATION","","","","","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,323","0","1,051
1","13
0","2
0","3
0","0
0
3,393"
"CMCF","1,446","451","807
516","19
3","5
2","5
0","0
0
3,254"
"SMCI","2,130","0","1,026
0","40
0","2
0","10
0","0
0
3,208"
"County Jails (approved)","909","40","515
71","5
0","3
1","4
0","0
0
1,548"
"County Jails (unapproved)","212","14","118
27","2
0","1
0","0","0
0
374"
"Youthful Offender Facility","23","0","7
0","1
0","0
0","0
0","0
0
31"
"Private Prisons","3,218","0","1,045
0","31
0","2
0","6
0","0
0
4,302"
"Regional Correctional Facilities","2,814","138","1,265
153","40
1","2
1","7
0","0
0
4,421"
"Community Work Centers","807","71","468
163","1
0","1
0","2
0","1
0
1,514"
"Community Trusties","6","0","3
0","0
0","0
0","0
0","0
0
9"
"Pending File Review","45","4","29
9","1
0","0
0","0
0","0
0
88"
"Court Order","211","13","130
28","2
0","0","3
0","0
0
387"
"","14,144","731","0
968","155
4","18
4","40
0","1
0
22,529"
"Intensive Supervison Program","657","179","494
252","6
1","4
0","3
2","5
2
1,605"
"Earned Release Supervision","1,033","83","451
102","5
1","3
0","3
0","0
0
1,681"
"Medical Release","17","1","5
2","0
0","0
0","0
0","0
0
25"
"Other Custody","227","11","173
29","45
6","0
1","2
0","4
0
498"
"At Large","19","0","8
2","3
0","0
0","0
0","0
0
32"
"Off-Grounds Medical (Hospital)","2","1","4
2","0
0","0
0","0
0","0
0
9"
"TOTAL","16,099","1,006","1,135
1,357","214
12","25
5","48
2","10
2
26,379"
"% OF TOTAL OFFENDERS","61.03%","3.81%","4.30%
5.14%",".81%
.05%",".09%
.02%",".18%
.01%",".04%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","781","779","159","1,193","481","3,393"
"CMCF","","874","1,066","166","811","337","3,254"
"SMCI","","676","787","174","1,035","536","3,208"
"County Jails (approved)","","786","627","26","75","34","1,548"
"Youthful Offender Facility","","0","5","0","21","5","31"
"County Jails (unapproved)","","122","172","21","33","26","374"
"Private Prisons","","491","907","282","2,030","592","4,302"
"Regional Correctional Facilities","","974","1,125","321","1,204","797","4,421"
"Community Work Centers","","913","596","1","4","0","1,514"
"Community Trusties","","","","0","0","0","9"
"Pending File Review","","8","0","1","8","1","88"
"Court Order","","161","166","8","39","13","387"
"TOTAL CUSTODY POPULATION","","5,832","6,263","1,159","6,453","2,822","22,529"
"% OF TOTAL OFFENSES","","25.89%","27.80%","5.14%","28.64%","12.53%","100.00%"
"Intensive Supervison Program","","707","830","17","44","7","1,605"
"Earned Release Supervision","","511","581","199","385","5","1,681"
"Medical Release","","11","8","1","5","","25"
"Other Custody","","213","177","11","74","3","498"
"At Large","","","8","","7","0","32"
"Off-Grounds Medical (Hospital)","","","","","1","2","9"
"TOTAL","","7,282","7,882","1,387","6,969","2,859","26,379"
"% OF TOTAL OFFENSES","","27.61%","29.88%","5.26%","26.42%","10.84%","6 4
7 1
3 3
51
0 0
0 2
100.00%"
