"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,115","","0","942","","0","20","","0","3","","0","6","","0","2","0","","3,088"
"CMCF","943","","357","528","","418","9","","3","2","","2","1","","1","2","0","","2,266"
"SMCI","1,566","","0","871","","0","38","","0","1","","0","5","","0","0","0","","2,481"
"County Jails (approved)","515","","22","272","","41","5","","0","0","","0","0","","1","0","0","","856"
"County Jails (unapproved)","188","","5","109","","22","1","","0","0","","0","1","","0","0","0","","326"
"Youthful Offender Facility","18","","0","2","","0","0","","0","0","","0","0","","0","0","0","","20"
"Private Prisons","2,960","","0","966","","0","25","","0","8","","0","9","","0","0","0","","3,968"
"Regional Correctional Facilities","2,681","","105","1,179","","125","33","","1","4","","0","11","","0","0","0","","4,139"
"Community Work Centers","566","","56","320","","125","0","","2","4","","0","1","","0","2","0","","1,076"
"Community Trusties","12","","0","4","","0","0","","0","0","","0","0","","0","0","0","","16"
"Pending File Review","33","","4","24","","5","0","","0","0","","0","1","","0","1","0","","68"
"Court Order","117","","6","81","","14","1","","1","0","","0","0","","0","0","0","","220"
"","11,714","","555","5,298","","750","132","","7","22","","2","35","","2","7","0","","18,524"
"Intensive Supervison Program","448","","125","345","","211","5","","3","2","","1","3","","0","1","1","","1,145"
"Earned Release Supervision","590","","53","203","","30","4","","1","0","","0","2","","0","0","0","","883"
"Medical Release","9","","0","7","","1","0","","0","0","","0","0","","0","0","0","","17"
"Other Custody","244","","14","182","","23","50","","6","2","","1","4","","0","3","0","","529"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","7","","1","1","","0","0","","0","0","","0","0","","0","0","0","","9"
"TOTAL","13,028","","748","6,042","","1,017","194","","17","26","","4","44","","2","11","1","","21,134"
"% OF TOTAL OFFENDERS","61.64%","","3.54%","28.59%","","4.81%",".92%","",".08%",".12%","",".02%",".21%","",".01%",".05%",".00%","","100.00%"
