"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","12,428","","65.41%","","","","654","","","39.42%","","","","13,082","","","","63.33%"
"White","6,300","","33.16%","","","","976","","","58.83%","","","","7,276","","","","35.22%"
"Hispanic","192","","1.01%","","","","19","","","1.15%","","","","211","","","","1.02%"
"Native American","27","",".14%","","","","3","","",".18%","","","","30","","","",".15%"
"Asian","47","",".25%","","","","4","","",".24%","","","","51","","","",".25%"
"Data Unavailable","5","",".03%","","","","3","","",".18%","","","","8","","","",".04%"
"TOTAL","18,999","","100.00%","","","","1,659","","","100.00%","","","","20,658","","","","100.00%"

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,214","","0","1,090","0","","19","0","","2","0","5","","0","1","0","3,331"
"CMCF","1,381","","334","877","521","","24","9","","4","1","5","","2","0","1","3,159"
"SMCI","2,006","","0","983","0","","26","0","","1","0","6","","0","0","0","3,022"
"County Jails (approved)","391","","6","291","27","","7","0","","1","0","2","","0","1","0","726"
"County Jails (unapproved)","173","","9","98","13","","0","1","","0","0","0","","1","1","1","297"
"Youthful Offender Facility","27","","0","2","0","","1","0","","0","0","0","","0","0","0","30"
"Private Prisons","2,220","","0","810","0","","19","0","","8","0","1","","0","0","0","3,058"
"Regional Correctional Facilities","2,539","","114","1,263","108","","49","3","","7","1","14","","0","0","0","4,098"
"Community Work Centers","378","","31","219","116","","3","3","","2","0","4","","0","0","0","756"
"Community Trusties","23","","0","9","0","","0","0","","0","0","1","","0","0","0","33"
"TVC","0","","1","0","2","","0","0","","0","0","0","","0","0","0","3"
"Pending File Review","42","","1","20","3","","0","0","","0","0","1","","0","0","0","67"
"Court Order","112","","6","63","11","","0","0","","0","0","0","","0","0","0","192"
"","11,506","","502","5,725","801","","148","16","","25","2","39","","3","3","2","18,772"
"Intensive Supervison Program","292","","94","238","110","","3","1","","1","0","3","","1","1","1","745"
"Earned Release Supervision","365","","44","117","38","","4","0","","0","0","1","","0","0","0","569"
"Medical Release","7","","0","4","2","","0","0","","0","0","0","","0","0","0","13"
"Other Custody","222","","12","197","21","","33","2","","0","1","4","","0","1","0","493"
"Transitional Housing","1","","0","0","0","","0","0","","0","0","0","","0","0","0","1"
"At Large","17","","0","6","2","","3","0","","0","0","0","","0","0","0","28"
"Conditional Release","0","","0","1","1","","0","0","","0","0","0","","0","0","0","2"
"RRP","16","","2","8","1","","0","0","","0","0","0","","0","0","0","27"
"Off-Grounds Medical (Hospital)","2","","0","4","0","","1","0","","1","0","0","","0","0","0","8"
"TOTAL","12,428","","654","6,300","976","","192","19","","27","3","47","","4","5","3","20,658"
"% OF TOTAL OFFENDERS","60.16%","","3.17%","30.50%","4.72%","",".93%",".09%","",".13%",".01%",".23%","",".02%",".02%",".01%","100.00%"
