"TOTAL
19,178","","100.00%","","","","1,720","","","100.00%","","","","20,898","","","","100.00%",""

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""

,""
"","","Black","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,204","","0","1,133","1","28","","0","2","","0","7","","0","0","0","","3,375"
"CMCF","1,494","","366","891","529","21","","8","6","","2","8","","1","0","1","","3,327"
"SMCI","2,039","","0","981","0","28","","0","2","","0","4","","0","0","0","","3,054"
"County Jails (approved)","355","","3","301","23","3","","0","1","","0","2","","0","1","0","","689"
"County Jails (unapproved)","198","","11","145","28","2","","0","1","","1","0","","0","7","0","","393"
"Youthful Offender Facility","22","","0","4","0","1","","0","0","","0","0","","0","0","0","","27"
"Private Prisons","2,211","","0","818","0","20","","0","7","","0","1","","0","0","0","","3,057"
"Regional Correctional Facilities","2,331","","102","1,176","130","47","","1","6","","0","11","","0","0","0","","3,804"
"Community Work Centers","380","","36","264","125","4","","4","2","","0","3","","1","0","0","","819"
"Community Trusties","33","","0","14","0","0","","0","0","","0","1","","0","0","0","","48"
"TVC","0","","1","0","1","0","","0","0","","0","0","","0","0","0","","2"
"Transitional Housing","1","","0","0","0","0","","0","0","","0","0","","0","0","0","","1"
"Pending File Review","64","","5","38","4","2","","0","0","","0","1","","0","0","0","","114"
"Court Order","155","","3","96","12","0","","0","0","","0","0","","0","0","0","","266"
"","11,487","","527","5,861","853","156","","13","27","","3","38","","2","8","1","","18,976"
"Intensive Supervison Program","287","","74","227","126","4","","1","2","","1","2","","1","1","1","","727"
"Earned Release Supervision","372","","39","118","34","2","","0","0","","0","0","","0","0","0","","565"
"Medical Release","5","","0","4","1","0","","0","0","","0","0","","0","0","0","","10"
"Other Custody","217","","12","214","22","27","","1","0","","0","4","","0","1","0","","498"
"At Large","16","","0","6","2","3","","0","0","","0","0","","0","0","1","","28"
"Conditional Release","0","","0","1","1","0","","0","0","","0","0","","0","0","0","","2"
"Failure to Report-Monitoring","2","","0","3","0","0","","0","0","","0","0","","0","0","0","","5"
"RRP","33","","1","35","7","0","","0","0","","0","0","","0","0","0","","76"
"Off-Grounds Medical (Hospital)","6","","0","5","0","0","","0","0","","0","0","","0","0","0","","11"
"TOTAL","12,425","","653","6,474","1,046","192","","15","29","","4","44","","3","10","3","","20,898"
"% OF TOTAL OFFENDERS","59.46%","","3.12%","30.98%","5.01%",".92%","",".07%",".14%","",".02%",".21%","",".01%",".05%",".01%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","",""
"","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","573","573","","","184","","","1,497","","","548","","","","3,375",""
"CMCF","","","731","924","","","157","","","1,157","","","358","","","","3,327",""
"SMCI","","","484","543","","","192","","","1,274","","","561","","","","3,054",""
"County Jails (approved)","","","372","208","","","11","","","94","","","4","","","","689",""
"Youthful Offender Facility","","","0","1","","","2","","","20","","","4","","","","27",""
"County Jails (unapproved)","","","139","153","","","5","","","76","","","20","","","","393",""
"Private Prisons","","","281","340","","","210","","","1,663","","","563","","","","3,057",""
"Regional Correctional Facilities","","","576","701","","","300","","","1,457","","","770","","","","3,804",""
"Community Work Centers","","","465","251","","","0","","","103","","","0","","","","819",""
"Community Trusties","","","28","15","","","0","","","5","","","0","","","","48",""
"Pending File Review","","","48","54","","","4","","","8","","","0","","","","114",""
"Court Order","","","85","91","","","9","","","69","","","12","","","","266",""
"Transitional Housing","","","","0","","","0","","","0","","","0","","","","1",""
"TVC","","","","1","","","0","","","0","","","0","","","","2",""
"TOTAL CUSTODY POPULATION","","","3,784","3,855","","","1,074","","","7,423","","","2,840","","","","18,976",""
"% OF TOTAL OFFENSES","","","19.94%","20.32%","","","5.66%","","","39.12%","","","14.97%","","","","100.00%",""
"Intensive Supervison Program","","","295","342","","","12","","","73","","","5","","","","727",""
"Earned Release Supervision","","","107","35","","","119","","","296","","","8","","","","565",""
"Medical Release","","","6","2","","","0","","","2","","","0","","","","10",""
"Other Custody","","","163","213","","","13","","","84","","","25","","","","498",""
"At Large","","","","15","","","0","","","6","","","","","","","28",""
"Conditional Release","","","7 0 2","0","","","0","","","2","","","","","","","2",""
"RRP","","","","44","","","0","","","12","","","0","","","","76",""
"FTR- Monitoring","","","0 5 1","0","","","0","","","0","","","0","","","","5",""
"Off-Grounds Medical (Hospital)","","","","5","","","0","","","3","","","2","","","","11",""
"TOTAL","","","4,388","4,511","","","1,218","","","7,901","","","2,880","","","","20,898",""
"% OF TOTAL OFFENSES","","","21.00%","21.59%","","","5.83%","","","37.81%","","","13.78%","","","","100.00%","1 1
0 0"
