"","","","","","","","As of March 2, 2006","","","","","","","","",""

"RACE","MALE","","% OF TOTAL MALE POPULATION","","","FEMALE","","% OF TOTAL FEMALE POPULATION","","","NO. OFFENDERS","","","% OF TOTAL OFFENDERS","","",""
"Black","15,265","","68.80%","","","1,200","","49.44%","","","16,465","","","66.89%","","",""
"White","6,681","","30.11%","","","1,205","","49.65%","","","7,886","","","32.04%","","",""
"Hispanic","158","","0.71%","","","21
3","","0.54%","","","171","","0.69%","","","",""
"Native American","25","","0.11%","","","","","0.08%","","","27","","0.11%","","","",""
"Asian","35","","0.16%","","","4 3","","0.16%","","","39","","0.16%","","","",""
"Data Unavailable","23","","0.10%","","","","","0.12%","","","26","","0.11%","","","",""
"TOTAL","22,187","","100.00%","","","2,427","","100.00%","","","24,614","","","100.00%","","",""


"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,134","","0","1,165","","0","33","0","2","","0","7","0","0","0","4,341"
"CMCF","1,099","","727","627","","656","9","6","3","","1","1","4","2","0","3,135"
"SMCI","1,306","","0","688","","0","25","0","4","","0","7","0","0","0","2,030"
"County Jails (approved)","635","","75","458","","78","10","2","1","","1","1","0","8","2","1,271"
"County Jails (unapproved)","27","","7","14","","3","1","0","0","","0","0","0","0","0","52"
"Private Prisons","3,607","","0","1,125","","0","19","0","10","","0","9","0","0","0","4,770"
"Regional Correctional Facilities","2,263","","0","753","","0","23","0","1","","0","5","0","2","0","3,047"
"Community Work Centers","989","","111","468","","108","5","3","0","","0","2","0","1","0","1,687"
"Community Trusties","11","","0","7","","0","0","0","0","","0","0","0","0","0","18"
"Pending File Review","6","","2","6","","4","0","0","0","","0","0","0","0","0","18"
"Court Order","189","","12","157","","34","0","0","0","","0","0","0","1","0","393"
"","13,266","","934","5,468","","883","125","11","21","","2","32","4","14","2","20,762"
"Intensive Supervison Program","657","","149","577","","206","4","1","2","","0","2","0","7","1","1,606"
"Earned Release Supervision","1,126","","101","461","","95","5","1","2","","0","0","0","0","0","1,791"
"Medical Release","5","","0","5","","1","0","0","0","","0","0","0","0","0","11"
"Other Custody","134","","10","121","","14","21","0","0","","0","1","0","2","0","303"
"At Large","75","","6","46","","5","3","0","0","","0","0","0","0","0","135"
"Off-Grounds Medical (Hospital)","2","","0","3","","1","0","0","0","","0","0","0","0","0","6"
"TOTAL","15,265","","1,200","6,681","","1,205","158","13","25","","2","35","4","23","3","24,614"
"% OF TOTAL OFFENSES","62.02%","","4.88%","27.14%","","4.90%","0.64%","0.05%","0.10%","","0.01%","0.14%","0.02%","0.09%","0.01%","100.00%"
