"TOTAL
22,410","","100.00%","","2,382","","100.00%","","24,792","","","100.00%","","",""
"","","Black","","White","","Hispanic","","","Native American","Asian","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","3,172","","0","1,215","0","33","0","3","0","5","0","1","0","4,429"
"CMCF","1,167","","737","720","641","12","7","3","1","0","4","0","0","3,292"
"SMCI","1,300","","0","660","0","19","0","3","0","6","0","1","0","1,989"
"County Jails (approved)","615","","52","448","74","6","1","0","0","2","0","6","0","1,204"
"County Jails (unapproved)","106","","7","42","5","1","0","0","0","0","0","2","0","163"
"Private Prisons","3,692","","0","1,132","0","20","0","9","0","8","0","2","0","4,863"
"Regional Correctional Facilities","2,213","","0","782","0","19","0","3","0","6","0","1","0","3,024"
"Community Work Centers","1,020","","112","515","108","14","3","1","1","2","0","0","0","1,776"
"Community Trusties","11","","0","5","0","0","0","0","0","0","0","0","0","16"
"Pending File Review","15","","4","7","3","0","0","0","0","0","0","2","0","31"
"Court Order","149","","7","120","31","0","0","0","0","0","0","0","0","307"
"","13,460","","919","5,646","862","124","11","22","2","29","4","15","0","21,094"
"Intensive Supervison Program","634","","155","520","215","5","1","0","0","1","0","9","2","1,542"
"Earned Release Supervision","1,081","","96","438","82","4","1","2","0","1","0","0","0","1,705"
"Medical Release","5","","0","4","0","0","0","0","0","0","0","0","0","9"
"Other Custody","137","","8","120","14","27","0","0","0","2","0","2","1","311"
"At Large","78","","5","34","3","4","0","0","0","0","0","0","0","124"
"Off-Grounds Medical (Hospital)","3","","0","3","1","0","0","0","0","0","0","0","0","7"
"TOTAL","15,398","","1,183","6,765","1,177","164","13","24","2","33","4","26","3","24,792"
"% OF TOTAL OFFENSES","62.11%","","4.77%","27.29%","4.75%","0.66%","0.05%","0.10%","0.01%","0.13%","0.02%","0.10%","0.01%","100.00%"
