
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""

,"",""
"","","Black","","","White","","","Hispanic","","","Native American","","","Asian","","","Data Unavailable","","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,264","","0","1,047","","0","22","","0","5","","0","6","","0","0","0","","3,344"
"CMCF","949","","408","567","","442","9","","4","6","","2","3","","1","0","0","","2,391"
"SMCI","2,066","","0","1,094","","0","42","","3","1","","0","7","","0","0","0","","3,213"
"County Jails (approved)","804","","29","469","","45","11","","0","2","","1","0","","0","0","0","","1,361"
"County Jails (unapproved)","61","","6","42","","5","2","","0","0","","0","0","","0","0","0","","116"
"Youthful Offender Facility","27","","0","12","","0","0","","0","0","","0","0","","0","0","0","","39"
"Private Prisons","3,164","","0","1,057","","0","33","","0","6","","0","6","","0","2","0","","4,268"
"Regional Correctional Facilities","2,751","","136","1,312","","150","37","","3","2","","0","8","","1","0","0","","4,400"
"Community Work Centers","631","","53","368","","135","0","","1","2","","0","3","","0","0","0","","1,193"
"Community Trusties","4","","0","3","","0","0","","0","0","","0","0","","0","0","0","","7"
"Pending File Review","31","","3","21","","3","0","","0","0","","0","1","","0","0","0","","59"
"Court Order","151","","4","72","","17","0","","0","0","","0","1","","0","0","0","","245"
"","12,903","","639","6,064","","797","156","","11","24","","3","35","","2","2","0","","20,636"
"Intensive Supervison Program","663","","180","503","","272","6","","6","0","","2","5","","0","0","0","","1,637"
"Earned Release Supervision","878","","67","285","","70","5","","0","2","","0","2","","0","0","0","","1,309"
"Medical Release","15","","0","7","","3","0","","0","0","","0","0","","0","0","0","","25"
"Other Custody","219","","12","166","","20","47","","5","1","","1","4","","0","3","0","","478"
"At Large","17","","0","8","","2","3","","0","0","","0","0","","0","0","0","","30"
"Off-Grounds Medical (Hospital)","6","","0","4","","0","0","","0","0","","0","0","","0","0","0","","10"
"TOTAL","14,701","","898","7,037","","1,164","217","","22","27","","6","46","","2","5","0","","24,125"
"% OF TOTAL OFFENDERS","60.94%","","3.72%","29.17%","","4.82%",".90%","",".09%",".11%","",".02%",".19%","",".01%",".02%",".00%","","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","AGGRAVATED","","","","","","","","","","",""
"","","","DRUG","","PROPERTY","","","ASSUALT","","","VIOLENT","","","SEX","","","","",""
"LOCATION","","","OFFENSES","","OFFENSES","","","OFFENSES","","","OFFENSES","","","OFFENSES","","","","TOTAL",""
"MSP","","","727","","704","","","191","","","1,206","","","516","","","","3,344",""
"CMCF","","","663","","736","","","93","","","648","","","251","","","","2,391",""
"SMCI","","","625","","763","","","175","","","1,088","","","562","","","","3,213",""
"County Jails (approved)","","","630","","536","","","33","","","97","","","65","","","","1,361",""
"Youthful Offender Facility","","","","","7","","","3","","","26","","","3","","","","39",""
"County Jails (unapproved)","","","9","","62","","","5","","","14","","","6","","","","116",""
"Private Prisons","","","501","","847","","","276","","","2,029","","","615","","","","4,268",""
"Regional Correctional Facilities","","","915","","1,025","","","333","","","1,309","","","818","","","","4,400",""
"Community Work Centers","","","700","","340","","","0","","","153","","","0","","","","1,193",""
"Community Trusties","","","","","","","","0","","","0","","","0","","","","7",""
"Pending File Review","","","4","","9","","","6","","","0","","","0","","","","59",""
"Court Order","","","91","","95","","","7","","","37","","","15","","","","245",""
"TOTAL CUSTODY POPULATION","","","4,912","","5,144","","","1,122","","","6,607","","","2,851","","","","20,636",""
"% OF TOTAL OFFENSES","","","23.80%","","24.93%","","","5.44%","","","32.02%","","","13.82%","","","","100.00%",""
"Intensive Supervison Program","","","673","","816","","","44","","","70","","","34","","","","1,637",""
"Earned Release Supervision","","","380","","418","","","162","","","346","","","3","","","","1,309",""
"Medical Release","","","13","","7","","","2","","","3","","","","","","","25",""
"Other Custody","","","192","","180","","","6","","","76","","","4","","","","478",""
"At Large","","","","","6","","","","","","9","","","0","","","","30",""
"Off-Grounds Medical (Hospital)","","","","","","","","","","","0","","","2","","","","10",""
"TOTAL","","","6,176","","6,586","","","1,338","","","7,111","","","2,914","","","","24,125",""
"% OF TOTAL OFFENSES","","","25.60%","","27.30%","","","5.55%","","","29.48%","","","12.08%","","","","100.00%","0 2
7 2
5 1
0 2
51
0 2
0 2"
