"Off-Grounds Medical (Hospital)","","","","00","","11","","","0.05%","","","","",""
"At Large (Escapees & Walk-Aways)","","","","0","","26","","","0.12%","","","","",""
"TOTAL","","","","23,881","","21,080","","","100.00%","","","","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","",""
"","","","% OF","","","% OF","","","","","% OF","","",""
"","","TOTAL MALE","","","","TOTAL FEMALE","","NO. OF","","","TOTAL","","",""
"RACE","MALE","POPULATION","","FEMALE","","POPULATION","","OFFENDERS","","","OFFENDERS","","",""
"Black","12,411","","64.12%","601","","34.88%","","13,012","","","61.73%","","",""
"White","6,648","","34.34%","1,092","","63.38%","","7,740","","","36.72%","","",""
"Hispanic","203","","1.05%","19","","1.10%","","222","","","1.05%","","",""
"Native American","32","",".17%","5","",".29%","","37","","",".18%","","",""
"Asian","57","",".29%","4","",".23%","","61","","",".29%","","",""
"Data Unavailable","6","",".03%","2","",".12%","","8","","",".04%","","",""
"TOTAL","19,357","","100.00%","1,723","","100.00%","","21,080","","","100.00%","","",""
"","","Black","White","","","Hispanic","","Native American","","","Asian","","Data Unavailable","TOTAL"
"LOCATION","Male","Female","Male","Female","Male","Female","Male","","Female","Male","Female","Male","Female",""
"MSP","2,261","0","950","0","29","0","4","","0","10","0","2","0","3,256"
"CMCF","1,554","382","1,055","592","27","10","8","","3","14","2","1","2","3,650"
"SMCI","1,948","0","1,057","0","36","0","2","","0","5","0","0","0","3,048"
"County Jails (approved)","374","1","326","7","6","0","1","","0","3","0","1","0","719"
"County Jails (unapproved)","191","6","128","17","5","0","0","","0","1","0","0","0","348"
"Youthful Offender Facility","36","0","2","0","0","0","0","","0","0","0","0","0","38"
"Private Prisons","2,310","0","904","0","17","0","8","","0","3","0","0","0","3,242"
"Regional Correctional Facilities","2,184","82","1,231","115","46","2","6","","1","11","0","0","0","3,678"
"Community Work Centers","287","25","207","131","3","3","1","","1","2","1","0","0","661"
"Community Trusties","3","0","3","0","0","0","0","","0","0","0","0","0","6"
"TVC","28","0","22","0","0","0","0","","0","0","0","0","0","50"
"Transitional Housing","12","3","14","7","1","0","0","","0","0","0","0","0","37"
"Pending File Review","76","2","49","11","1","0","2","","0","1","0","0","0","142"
"RRP","28","6","36","24","0","1","0","","0","0","0","0","0","95"
"Court Order","126","2","88","13","0","0","0","","0","2","0","0","0","231"
"","11,418","509","6,072","917","171","16","32","","5","52","3","4","2","19,201"
"Intensive Supervison Program","326","58","256","128","4","2","0","","0","2","1","1","0","778"
"Earned Release Supervision","400","28","128","24","1","1","0","","0","1","0","0","0","583"
"Medical Release","7","0","6","1","0","0","0","","0","0","0","0","0","14"
"Other Custody","235","6","171","19","24","0","0","","0","2","0","1","0","458"
"At Large","15","0","6","2","3","0","0","","0","0","0","0","0","26"
"Conditional Release","1","0","1","1","0","0","0","","0","0","0","0","0","3"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","7","0","4","0","0","0","0","","0","0","0","0","0","11"
"TOTAL","12,411","601","6,648","1,092","203","19","32","","5","57","4","6","2","21,080"
"% OF TOTAL OFFENDERS","58.88%","2.85%","31.54%","5.18%",".96%",".09%",".15%","",".02%",".27%",".02%",".03%",".01%","100.00%"
