"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,104","","67.68%","","","","1,013","","","45.82%","","","","16,117","","","","65.71%"
"White
6,931","","31.06%","","","","1,167","","","52.78%","","","","8,098","","","","33.02%"
"Hispanic
213","",".95%","","","","20","","",".90%","","","","233","","","",".95%"
"Native American
31","",".14%","","","","","","",".36%","","","","39","","","",".16%"
"Asian
28","",".13%","","","","8 3","","",".14%","","","","31","","","",".13%"
"Data Unavailable
9","",".04%","","","","0","","",".00%","","","","9","","","",".04%"
"TOTAL
22,316","","100.00%","","","","2,211","","","100.00%","","","","24,527","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,419","","1","999","0","","18","0","","3","0","4","","0","1","0","3,445"
"CMCF","1,316","","553","742","571","","20","11","","1","6","3","","1","0","0","3,224"
"SMCI","2,075","","0","1,034","0","","42","0","","6","0","4","","0","0","0","3,161"
"County Jails (approved)","564","","47","331","67","","4","0","","0","0","0","","0","0","0","1,013"
"County Jails (unapproved)","189","","7","121","10","","4","0","","0","0","0","","0","2","0","333"
"Private Prisons","3,996","","0","1,259","0","","36","0","","6","0","2","","0","1","0","5,300"
"Regional Correctional Facilities","1,681","","30","745","23","","26","0","","4","0","6","","0","1","0","2,516"
"Community Work Centers","922","","93","475","134","","5","3","","2","1","2","","1","0","0","1,638"
"Community Trusties","13","","0","4","0","","0","0","","0","0","0","","0","0","0","17"
"Pending File Review","38","","8","32","20","","1","0","","0","0","0","","0","0","0","99"
"Court Order","143","","11","102","23","","1","0","","0","0","0","","0","0","0","280"
"","13,356","","750","5,844","848","","157","14","","22","7","21","","2","5","0","21,026"
"Intensive Supervison Program","611","","166","562","250","","10","1","","6","0","3","","1","0","0","1,610"
"Earned Release Supervision","921","","78","382","49","","5","1","","1","0","1","","0","0","0","1,438"
"Medical Release","23","","8","10","2","","0","0","","0","0","0","","0","0","0","43"
"Other Custody","162","","10","121","16","","38","4","","2","1","3","","0","4","0","361"
"At Large","25","","0","12","2","","3","0","","0","0","0","","0","0","0","42"
"Off-Grounds Medical (Hospital)","6","","1","0","0","","0","0","","0","0","0","","0","0","0","7"
"TOTAL","15,104","","1,013","6,931","1,167","","213","20","","31","8","28","","3","9","0","24,527"
"% OF TOTAL OFFENDERS","61.58%","","4.13%","28.26%","4.76%","",".87%",".08%","",".13%",".03%",".11%","",".01%",".04%",".00%","100.00%"
