"BY RACE/SEX AND LOCATION","","","","","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,298","0","1,033
0","12
0","2
0","3
0","0
0
3,348"
"CMCF","1,523","452","832
520","21
4","4
3","3
0","0
0
3,362"
"SMCI","2,136","0","1,039
0","42
0","2
0","10
0","0
0
3,229"
"County Jails (approved)","883","50","513
72","4
0","2
0","6
0","1
0
1,531"
"County Jails (unapproved)","236","17","133
30","4
0","3
0","1
0","0
0
424"
"Youthful Offender Facility","23","0","5
0","1
0","0
0","0
0","0
0
29"
"Private Prisons","3,195","0","1,046
0","29
0","2
0","6
0","0
0
4,278"
"Regional Correctional Facilities","2,806","133","1,276
161","39
1","3
1","9
0","0
0
4,429"
"Community Work Centers","848","68","464
172","1
0","1
0","2
0","1
0
1,557"
"Community Trusties","8","0","3
0","0
0","0
0","0
0","0
0
11"
"Pending File Review","34","8","27
2","1
0","0
0","0
0","0
0
72"
"Court Order","198","7","124
25","1
0","1
0","3
0","0
0
359"
"","14,188","735","0
982","155
5","20
4","43
0","2
0
22,629"
"Intensive Supervison Program","642","188","510
257","5
1","4
0","4
2","5
0
1,618"
"Earned Release Supervision","1,013","86","459
104","4
1","1
0","2
0","0
0
1,670"
"Medical Release","17","1","6
2","0
0","0
0","0
0","0
0
26"
"Other Custody","223","10","161
27","48
6","0
1","2
0","4
0
482"
"At Large","20","0","8
2","3
0","0
0","0
0","0
0
33"
"Off-Grounds Medical (Hospital)","2","1","4
2","0
0","0
0","0
0","0
0
9"
"TOTAL","16,105","1,021","1,148
1,376","215
13","25
5","51
2","11
0
26,467"
"% OF TOTAL OFFENDERS","60.85%","3.86%","4.34%
5.20%",".81%
.05%",".09%
.02%",".19%
.01%",".04%
.00%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","767","766","157","1,172","486","3,348"
"CMCF","","895","1,133","172","832","330","3,362"
"SMCI","","688","788","184","1,037","532","3,229"
"County Jails (approved)","","760","633","24","78","36","1,531"
"Youthful Offender Facility","","0","3","0","21","5","29"
"County Jails (unapproved)","","153","191","19","32","29","424"
"Private Prisons","","492","860","282","2,044","600","4,278"
"Regional Correctional Facilities","","998","1,139","312","1,194","786","4,429"
"Community Work Centers","","940","612","1","4","0","1,557"
"Community Trusties","","","","0","0","0","11"
"Pending File Review","","7","0","0","5","0","72"
"Court Order","","156","147","8","36","12","359"
"TOTAL CUSTODY POPULATION","","5,883","6,316","1,159","6,455","2,816","22,629"
"% OF TOTAL OFFENSES","","26.00%","27.91%","5.12%","28.53%","12.44%","100.00%"
"Intensive Supervison Program","","723","827","15","45","8","1,618"
"Earned Release Supervision","","504","568","197","395","6","1,670"
"Medical Release","","11","8","2","5","","26"
"Other Custody","","204","171","11","72","4","482"
"At Large","","","9","","7","0","33"
"Off-Grounds Medical (Hospital)","","","","","2","1","9"
"TOTAL","","7,335","7,912","1,384","6,981","2,855","26,467"
"% OF TOTAL OFFENSES","","27.71%","29.89%","5.23%","26.38%","10.79%","7 2
7 3
4 4
31
0 0
0 2
100.00%"
