"INMATE STATISTICS (continued)","","","","","","","","","","","","","","","","",""
"","","% OF","","","","","","","% OF","","","","","","","","% OF"
"","","TOTAL MALE","","","","","","","TOTAL FEMALE","","","","NO. OF","","","","TOTAL"
"RACE
MALE","","POPULATION","","","","FEMALE","","","POPULATION","","","","OFFENDERS","","","","OFFENDERS"
"Black
15,172","","67.61%","","","","952","","","44.55%","","","","16,124","","","","65.61%"
"White
6,979","","31.10%","","","","1,161","","","54.33%","","","","8,140","","","","33.12%"
"Hispanic
212","",".94%","","","","14","","",".66%","","","","226","","","",".92%"
"Native American
33","",".15%","","","","","","",".33%","","","","40","","","",".16%"
"Asian
35","",".16%","","","","7 3","","",".14%","","","","38","","","",".15%"
"Data Unavailable
9","",".04%","","","","0","","",".00%","","","","9","","","",".04%"
"TOTAL
22,440","","100.00%","","","","2,137","","","100.00%","","","","24,577","","","","100.00%"
"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""
"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Male","","Female","Male","Female","","Male","Female","","Male","Female","Male","","Female","Male","Female",""
"MSP","2,260","","1","990","0","","19","0","","2","0","4","","0","1","0","3,277"
"CMCF","1,238","","513","730","568","","25","7","","4","5","2","","1","0","0","3,093"
"SMCI","2,095","","0","1,015","0","","40","0","","6","0","5","","0","0","0","3,161"
"County Jails (approved)","660","","58","357","82","","4","0","","2","0","0","","0","0","0","1,163"
"County Jails (unapproved)","117","","0","58","2","","1","0","","0","0","1","","0","0","0","179"
"Private Prisons","3,974","","0","1,262","0","","33","0","","8","0","2","","0","1","0","5,280"
"Regional Correctional Facilities","1,983","","32","915","28","","30","0","","2","0","5","","0","1","0","2,996"
"Community Work Centers","852","","78","433","128","","4","3","","0","1","4","","1","0","0","1,504"
"Community Trusties","10","","0","6","0","","0","0","","0","0","0","","0","0","0","16"
"Pending File Review","79","","6","37","13","","1","0","","0","0","0","","0","0","0","136"
"Court Order","133","","13","93","16","","1","0","","1","0","1","","0","0","0","258"
"","13,401","","701","5,896","837","","158","10","","25","6","24","","2","3","0","21,063"
"Intensive Supervison Program","643","","155","542","244","","6","0","","6","0","6","","1","1","0","1,604"
"Earned Release Supervision","918","","79","391","56","","7","0","","0","0","2","","0","0","0","1,453"
"Medical Release","24","","8","10","2","","0","0","","0","0","0","","0","0","0","44"
"Other Custody","162","","8","124","20","","38","4","","2","1","3","","0","5","0","367"
"At Large","22","","0","12","2","","3","0","","0","0","0","","0","0","0","39"
"Off-Grounds Medical (Hospital)","2","","1","4","0","","0","0","","0","0","0","","0","0","0","7"
"TOTAL","15,172","","952","6,979","1,161","","212","14","","33","7","35","","3","9","0","24,577"
"% OF TOTAL OFFENDERS","61.73%","","3.87%","28.40%","4.72%","",".86%",".06%","",".13%",".03%",".14%","",".01%",".04%",".00%","100.00%"
