"BY RACE/SEX AND LOCATION","","","","","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,265","0","1,058
0","13
0","5
0","3
0","0
0
3,344"
"CMCF","1,266","433","685
498","13
2","5
3","5
0","0
0
2,910"
"SMCI","2,081","0","1,093
0","47
0","5
0","9
0","0
0
3,235"
"County Jails (approved)","840","24","497
42","17
1","3
1","0
0","0
0
1,425"
"County Jails (unapproved)","172","3","84
21","5
1","0
0","2
0","0
0
288"
"Youthful Offender Facility","26","0","10
0","0
0","0
0","0
0","0
0
36"
"Private Prisons","3,268","0","1,046
0","33
0","8
0","3
0","2
0
4,360"
"Regional Correctional Facilities","2,756","147","1,323
144","41
3","3
1","8
0","0
0
4,426"
"Community Work Centers","598","56","358
143","0
2","3
0","5
0","0
0
1,165"
"Community Trusties","7","0","4
0","0
0","0
0","0
0","0
0
11"
"Pending File Review","30","3","25
3","1
0","0
0","0
0","0
0
62"
"Court Order","131","5","84
18","1
0","0
0","3
1","0
0
243"
"","13,440","671","6,267
869","171
9","32
5","38
1","2
0
21,505"
"Intensive Supervison Program","634","147","450
240","5
3","2
1","3
0","2
2
1,489"
"Earned Release Supervision","1,017","69","359
88","4
0","3
0","4
0","0
0
1,544"
"Medical Release","16","0","4
2","0
0","0
0","0
0","0
0
22"
"Other Custody","225","12","161
31","46
5","1
1","3
0","3
0
488"
"At Large","17","0","8
2","3
0","0
0","0
0","0
0
30"
"Off-Grounds Medical (Hospital)","6","1","3
0","0
0","0
0","0
0","0
0
10"
"TOTAL","15,355","900","7,252
1,232","229
17","38
7","48
1","7
2
25,088"
"% OF TOTAL OFFENDERS","61.20%","3.59%","28.91%
4.91%",".91%
.07%",".15%
.03%",".19%
.00%",".03%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","755","744","170","1,178","497","3,344"
"CMCF","","808","930","129","736","307","2,910"
"SMCI","","636","801","175","1,076","547","3,235"
"County Jails (approved)","","650","572","32","109","62","1,425"
"Youthful Offender Facility","","1","6","3","22","4","36"
"County Jails (unapproved)","","101","129","11","39","8","288"
"Private Prisons","","513","895","290","2,036","626","4,360"
"Regional Correctional Facilities","","946","1,067","341","1,261","811","4,426"
"Community Work Centers","","690","470","0","5","0","1,165"
"Community Trusties","","10","","0","0","0","11"
"Pending File Review","","30","5","1","4","2","62"
"Court Order","","92","107","5","28","11","243"
"TOTAL CUSTODY POPULATION","","5,232","5,747","1,157","6,494","2,875","21,505"
"% OF TOTAL OFFENSES","","24.33%","26.72%","5.38%","30.20%","13.37%","100.00%"
"Intensive Supervison Program","","659","771","14","41","4","1,489"
"Earned Release Supervision","","453","523","193","368","7","1,544"
"Medical Release","","11","7","1","3","","22"
"Other Custody","","198","181","10","75","4","488"
"At Large","","","7","","7","0","30"
"Off-Grounds Medical (Hospital)","","","","","3","0","10"
"TOTAL","","6,563","7,249","1,375","6,991","2,910","25,088"
"% OF TOTAL OFFENSES","","26.16%","28.90%","5.48%","27.87%","11.60%","6 4
1 2
31
0 0
0 2
100.00%"
