"BY RACE/SEX AND LOCATION","","","","","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,249","0","1,024
0","12
0","4
0","2
0","0
0
3,291"
"CMCF","1,372","425","776
485","15
1","9
2","3
0","0
3,088"
"SMCI","2,068","0","1,060
0","44
0","6
0","0
9","0
0
3,187"
"County Jails (approved)","912","36","486
49","8
0","4
0","1
0","0
0
1,496"
"County Jails (unapproved)","143","6","94
21","3
0","0
0","0
0","0
0
267"
"Youthful Offender Facility","27","0","8
0","0
0","0
0","0
0","0
0
35"
"Private Prisons","3,291","0","1,037
0","32
0","7
0","4
0","0
0
4,371"
"Regional Correctional Facilities","2,721","134","1,289
147","41
3","4
1","7
1","0
0
4,348"
"Community Work Centers","628","57","378
144","0
1","0
1","4
0","0
0
1,213"
"Community Trusties","7","0","2
0","0
0","0
0","0
0","0
0
9"
"Pending File Review","45","10","38
9","1
0","0
0","1
0","0
0
104"
"Court Order","194","16","104
23","2
1","0
0","3
0","0
0
343"
"","13,657","684","6,296
878","158
6","34
4","25
10","0
0
21,752"
"Intensive Supervison Program","617","147","436
214","5
2","1
0","4
0","2
2
1,430"
"Earned Release Supervision","1,048","80","373
101","3
0","3
0","3
0","0
0
1,611"
"Medical Release","16","1","4
2","0
0","0
0","0
0","0
0
23"
"Other Custody","226","9","158
29","48
5","1
1","3
0","3
0
483"
"At Large","18","0","8
2","3
0","0
0","0
0","0
0
31"
"Off-Grounds Medical (Hospital)","16","1","4
2","0
0","0
0","0
0","0
0
23"
"TOTAL","15,598","922","7,279
1,228","217
13","39
5","35
10","5
2
25,353"
"% OF TOTAL OFFENDERS","61.52%","3.64%","28.71%
4.84%",".86%
.05%",".15%
.02%",".14%
.04%",".02%
.01%
100.00%"
"BY OFFENSE AND LOCATION","","","","","","",""
"","","","","AGGRAVATED","","",""
"","","DRUG","PROPERTY","ASSUALT","VIOLENT","SEX",""
"LOCATION","","OFFENSES","OFFENSES","OFFENSES","OFFENSES","OFFENSES","TOTAL"
"MSP","","747","746","157","1,166","481","3,297"
"CMCF","","823","1,031","160","762","321","3,097"
"SMCI","","631","777","176","1,049","554","3,187"
"County Jails (approved)","","698","626","38","76","58","1,496"
"Youthful Offender Facility","","","5","2","23","4","35"
"County Jails (unapproved)","","8","147","9","22","11","267"
"Private Prisons","","520","902","291","2,039","619","4,371"
"Regional Correctional Facilities","","929","1,062","321","1,245","791","4,348"
"Community Work Centers","","741","468","0","4","0","1,213"
"Community Trusties","","","","0","0","0","9"
"Pending File Review","","2","6","1","5","0","104"
"Court Order","","134","127","13","56","13","343"
"TOTAL CUSTODY POPULATION","","5,362","5,938","1,168","6,447","2,852","21,767"
"% OF TOTAL OFFENSES","","24.63%","27.28%","5.37%","29.62%","13.10%","100.00%"
"Intensive Supervison Program","","629","744","11","41","5","1,430"
"Earned Release Supervision","","507","548","189","359","8","1,611"
"Medical Release","","12","7","1","3","","23"
"Other Custody","","196","178","10","75","4","483"
"At Large","","","8","","7","0","31"
"Off-Grounds Medical (Hospital)","","","","","4","1","8"
"TOTAL","","6,712","7,436","1,379","6,936","2,890","25,353"
"% OF TOTAL OFFENSES","","26.48%","29.33%","5.44%","27.36%","11.40%","1 7
8 5
6 0
1 4
31
0 0
0 2
100.00%"
