"RACE","MALE","","% OF TOTAL MALE POPULATION","","","","FEMALE","","","% OF TOTAL FEMALE POPULATION","","","","NO. OFFENDERS","","","","% OF TOTAL OFFENDERS"
"Black","15,274","","67.14%","","","","907","","","40.56%","","","","16,181","","","","64.77%"
"White","7,192","","31.62%","","","","1,307","","","58.45%","","","","8,499","","","","34.02%"
"Hispanic","208","",".91%","","","","13","","",".58%","","","","221","","","",".88%"
"Native American","28","",".12%","","","","","","",".22%","","","","33","","","",".13%"
"Asian","34","",".15%","","","","5 3","","",".13%","","","","37","","","",".15%"
"Data Unavailable","12","",".05%","","","","1","","",".04%","","","","13","","","",".05%"
"TOTAL","22,748","","100.00%","","","","2,236","","","100.00%","","","","24,984","","","","100.00%"

"BY RACE/SEX AND LOCATION","","","","","","","","","","","","","","","","",""


"","","Black","","","White","","","Hispanic","","Native American","","","Asian","","","Data Unavailable","TOTAL"
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,116","","0","960","0","","15","0","","2","0","3","","0","0","0","3,096"
"CMCF","1,225","","513","783","619","","17","5","","3","3","2","","2","1","0","3,173"
"SMCI","2,034","","0","1,055","0","","40","0","","4","0","5","","0","0","0","3,138"
"County Jails (approved)","728","","50","421","93","","3","0","","1","0","0","","0","1","0","1,297"
"County Jails (unapproved)","175","","4","84","10","","1","0","","1","0","1","","0","1","0","277"
"Private Prisons","3,866","","0","1,246","0","","34","0","","7","0","8","","0","0","0","5,161"
"Regional Correctional Facilities","2,133","","22","1,030","38","","33","0","","3","0","4","","0","3","0","3,266"
"Community Work Centers","921","","55","418","149","","4","1","","3","0","3","","0","0","0","1,554"
"Community Trusties","7","","0","6","0","","0","0","","0","0","0","","0","0","0","13"
"Pending File Review","60","","9","35","27","","2","0","","0","0","0","","0","0","0","133"
"Court Order","192","","7","101","20","","1","0","","1","0","1","","1","0","0","324"
"","13,457","","660","6,139","956","","150","6","","25","3","27","","3","6","0","21,432"
"Intensive Supervison Program","619","","146","531","252","","8","2","","2","1","4","","0","1","1","1,567"
"Earned Release Supervision","972","","87","371","72","","2","1","","0","0","0","","0","0","0","1,505"
"Medical Release","17","","5","5","3","","0","0","","0","0","0","","0","0","0","30"
"Other Custody","180","","8","132","21","","45","4","","1","1","3","","0","5","0","400"
"At Large","21","","0","11","2","","3","0","","0","0","0","","0","0","0","37"
"Off-Grounds Medical (Hospital)","8","","1","3","1","","0","0","","0","0","0","","0","0","0","13"
"TOTAL","15,274","","907","7,192","1,307","","208","13","","28","5","34","","3","12","1","24,984"
"% OF TOTAL OFFENDERS","61.14%","","3.63%","28.79%","5.23%","",".83%",".05%","",".11%",".02%",".14%","",".01%",".05%",".00%","100.00%"
