"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,116","","0","958","","0","20","","0","2","","0","6","","0","1","0","","3,103"
"CMCF","972","","365","528","","418","9","","3","2","","2","1","","1","2","0","","2,303"
"SMCI","1,612","","0","867","","0","36","","0","1","","0","4","","0","0","0","","2,520"
"County Jails (approved)","475","","19","253","","36","7","","0","0","","0","0","","1","0","0","","791"
"County Jails (unapproved)","121","","10","71","","22","1","","0","0","","0","1","","0","0","0","","226"
"Youthful Offender Facility","19","","0","3","","0","1","","0","0","","0","0","","0","0","0","","23"
"Private Prisons","2,899","","0","946","","0","19","","0","8","","0","9","","0","0","0","","3,881"
"Regional Correctional Facilities","2,712","","106","1,212","","118","34","","1","4","","0","11","","0","0","0","","4,198"
"Community Work Centers","600","","59","343","","133","0","","2","3","","0","1","","0","2","0","","1,143"
"Community Trusties","11","","0","3","","0","0","","0","0","","0","0","","0","0","0","","14"
"Pending File Review","44","","4","24","","6","0","","0","0","","0","1","","0","1","0","","80"
"Court Order","95","","5","74","","14","1","","1","0","","0","0","","0","0","0","","190"
"","11,676","","568","5,282","","747","128","","7","20","","2","34","","2","6","0","","18,472"
"Intensive Supervison Program","412","","114","313","","184","5","","3","0","","1","4","","0","1","1","","1,038"
"Earned Release Supervision","581","","50","190","","31","3","","1","0","","0","2","","0","0","0","","858"
"Medical Release","8","","0","7","","1","0","","0","0","","0","0","","0","0","0","","16"
"Other Custody","246","","14","182","","23","50","","6","2","","1","4","","0","3","0","","531"
"At Large","16","","0","6","","2","3","","0","0","","0","0","","0","0","0","","27"
"Off-Grounds Medical (Hospital)","6","","0","3","","0","0","","0","0","","0","0","","0","0","0","","9"
"TOTAL","12,945","","746","5,983","","988","189","","17","22","","4","44","","2","10","1","","20,951"
"% OF TOTAL OFFENDERS","61.79%","","3.56%","28.56%","","4.72%",".90%","",".08%",".11%","",".02%",".21%","",".01%",".05%",".00%","","100.00%"
