"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","4,177","0","1,458","0","38","0","6","0","6","0","0","0","5,685"
"CMCF","1,093","864","627","557","14","6","5","1","1","6","0","0","3,174"
"SMCI","1,408","0","729","0","16","0","4","0","6","0","0","0","2,163"
"County Jails (approved)","1,022","50","650","55","9","1","2","1","2","0","0","0","1,792"
"County Jails (unapproved)","101","10","89","20","2","0","0","0","4","0","0","0","226"
"Private Prisons","2,536","0","854","0","5","0","4","0","4","0","0","0","3,403"
"Regional Correctional Facilities","2,018","0","565","0","10","0","0","0","3","0","0","0","2,596"
"Community Work Centers","895","91","370","82","8","0","2","0","1","0","1","0","1,450"
"Community Trusties","15","0","9","0","1","0","0","0","0","0","0","0","25"
"","13,265","1,015","5,351","714","103","7","23","2","27","6","1","0","20,514"
"Intensive Supervison Program","599","121","482","176","4","1","3","2","2","0","0","0","1,390"
"Earned Release Supervision","797","80","272","51","4","0","1","1","0","0","0","0","1,206"
"Medical Release","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Custody","96","3","94","8","4","0","0","0","0","0","0","0","205"
"At Large","90","9","43","9","1","0","0","0","0","1","0","0","153"
"University of MS Medical Center","2","2","2","0","0","0","0","0","0","0","0","0","6"
"TOTAL","14,849","1,230","6,244","958","116","8","27","5","29","7","1","0","23,474"
"% of Total Offenses","63.26%","5.24%","26.60%","4.08%","0.49%","0.03%","0.12%","0.02%","0.12%","0.03%","0.00%","0.00%","100.00%"
