"TOTAL","19,598","","100.00%","1,716","","100.00%","","21,314","","100.00%","","",""
"LOCATION","Black Male","Black Female","White Male","White Female","Hispanic Male","Hispanic Female","Native American Male","Native American Female","Asian Male","Asian Female","Data Unavailable Male","Data Unavailable Female","TOTAL"
"MSP","2,229","0","946","0","23","0","2","0","10","0","2","0","3,212"
"CMCF","1,563","405","1,063","586","31","6","4","2","6","1","0","1","3,668"
"SMCI","1,648","0","957","0","32","0","2","0","4","0","0","0","2,643"
"County Jails (approved)","361","2","336","8","5","0","0","0","2","0","0","1","715"
"County Jails (unapproved)","192","8","139","23","4","0","1","0","1","0","2","0","370"
"Youthful Offender Facility","24","0","3","0","0","0","0","0","0","0","0","0","27"
"Private Prisons","2,283","0","870","0","17","0","8","0","2","0","0","0","3,180"
"Regional Correctional Facilities","2,670","59","1,373","99","55","3","8","0","11","0","0","0","4,278"
"Community Work Centers","270","19","197","123","3","1","1","2","3","0","0","0","619"
"Community Trusties","6","0","1","0","0","0","0","0","0","0","0","0","7"
"TVC","56","0","26","0","0","0","0","0","0","0","0","0","82"
"Transitional Housing","7","1","13","4","0","0","0","0","0","0","0","0","25"
"Pending File Review","73","8","46","10","3","0","0","0","2","0","0","0","142"
"RRP","25","3","20","18","0","1","0","0","0","0","1","0","68"
"Court Order","141","6","119","16","1","1","0","0","0","0","0","0","270"
"","11,548","511","6,109","887","174","12","26","4","41","1","5","2","19,306"
"Intensive Supervison Program","353","70","270","126","2","1","0","0","0","1","1","0","824"
"Earned Release Supervision","399","29","121","21","0","2","0","1","2","0","0","0","575"
"Medical Release","5","0","8","0","0","0","0","0","0","0","0","0","13"
"Other Custody","249","5","177","23","29","0","0","0","3","0","1","0","487"
"At Large","14","0","5","2","3","0","0","0","0","0","0","0","24"
"Conditional Release","0","0","1","1","0","0","0","0","0","0","0","0","2"
"Failure to Report-Monitoring","2","0","4","0","0","0","0","0","0","0","0","0","6"
"Off-Grounds Medical (Hospital)","3","0","2","1","0","0","0","0","0","0","0","0","6"
"TOTAL","12,573","615","6,697","1,061","208","15","26","5","46","2","7","2","21,243"
"% OF TOTAL OFFENDERS","59.19%","2.90%","31.53%","4.99%",".98%",".07%",".12%",".02%",".22%",".01%",".03%",".01%","100.00%"
