"","","","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","","","","",""
"","","","","","MONTHLY FACT SHEET","","","","",""
"","","","","","As of October 1, 2003","","","","",""
"","INMATE STATISTICS (continued)","","","","","","","","",""
"BY RACE AND SEX","","","","","","","","","",""
"","","","% OF","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","","NO. OF","TOTAL","",""
"RACE","MALE","","POPULATION","","FEMALE","POPULATION","","OFFENDERS","OFFENDERS","",""
"Black","14,878","","69.85%","1,217","54.82%","","16,095","68.43%","",""
"White","6,261","","29.39%","983","44.28%","","7,244","30.80%","",""
"Hispanic","113","","0.53%","9","0.41%","","122","0.52%","",""
"Native American","21","","0.10%","4","0.18%","","25","0.11%","",""
"Asian","28","","0.13%","","0.32%","","35","0.15%","",""
"Data Unavailable","0","","0.00%","7 0","0.00%","","0","0.00%","",""
"TOTAL","21,301","","100.00%","2,220","100.00%","","23,521","100.00%","",""
"BY RACE/SEX AND LOCATION","","","","","","","","","",""
"","","Black","","White","Hispanic","Native American","","Asian","Data Unavailable","TOTAL"
"LOCATION","","Male","Female","Male
Female","Male
Female","Male","Female","Male
Female
Male","Female",""
"MSP","","4,184","0","1,463
0","36
0","","6
0","5
0","0
0","5,694"
"CMCF","","1,079","840","625
557","13
5","","4
0","0
4","0
0","3,127"
"SMCI","","1,389","0","718
1","16
0","","5
0","6
0","0
0","2,135"
"County Jails (approved)","","998","41","639
51","6
2","","2
1","5
0","0
0","1,745"
"County Jails (unapproved)","","74","7","74
27","1
0","","0
0","1
0","0
0","184"
"Private Prisons","","2,566","0","892
0","7
0","","2
0","4
0","0
0","3,471"
"Regional Correctional Facilities","","2,010","0","569
0","11
0","","0
0","3
0","0
0","2,593"
"Community Work Centers","","920","116","371
107","8
0","","0
0","2
1","0
0","1,525"
"Community Trusties","","15","0","7
0","0
0","","0
0","0
0","0
0","22"
"","","13,235","1,004","5,358
743","98
7","","19
1","26
5","0
0","20,496"
"Intensive Supervison Program","","591","120","489
175","7
2","","2
2","2
0","0
0","1,390"
"Earned Release Supervision","","850","80","274
48","3
0","","0
1","0
1","0
0","1,257"
"Medical Release","","0","0","0
0","0
0","","0
0","0
0","0
0","0"
"Other Custody","","108","5","100
8","3
0","","0
0","0
0","0
0","224"
"At Large","","92","8","40
9","2
0","","0
0","0
1","0
0","152"
"University of MS Medical Center","","2","0","0
0","0
0","","0
0","0
0","0
0","2"
"TOTAL","","14,878","1,217","6,261
983","113
9","","21
4","28
7","0
0","23,521"
"% of Total Offenses","","63.25%","5.17%","26.62%
4.18%","0.48%
0.04%","0.09%","0.02%","0.12%
0.03%","0.00%
0.00%","100.00%"
"BY OFFENSE AND LOCATION","","","","","","","","","",""
"","","DRUG","","PROPERTY","VIOLENT","","","","",""
"LOCATION","","OFFENSES","","OFFENSES","OFFENSES","","TOTAL","","",""
"MSP","","","1,398","1,287","3,009","","5,694","","",""
"CMCF","","","1,002","1,136","989","","3,127","","",""
"SMCI","","","696","724","715","","2,135","","",""
"County Jails (approved)","","","802","671","272","","1,745","","",""
"County Jails (unapproved)","","","65","85","34","","184","","",""
"Private Prisons","","","673","967","1,831","","3,471","","",""
"Regional Correctional Facilities","","","865","575","1,153","","2,593","","",""
"Community Work Centers","","","846","668","11","","1,525","","",""
"Community Trusties","","","8","9","5","","22","","",""
"","","","6,355","6,122","8,019","","20,496","CUSTODY POPULATION","",""
"Intensive Supervison Program","","","472","879","39","","1,390","","",""
"Earned Release Supervision","","","521","499","237","","1,257","","",""
"Medical Release","","","0","0","0","","0","","",""
"Other Custody","","","71","83","70","","224","","",""
"At Large","","","54","73","25","","152","","",""
"University of MS Medical Center","","","0","0","2","","2","","",""
"TOTAL","","","7,473","7,656","8,392","","23,521","","",""
"% of Total Offenses","","","31.77%","32.55%","35.68%","","100.00%","","",""
"SPECIFIC OFFENSE STATISTICS","","","","","","TABE TEST STATISTICS","","","",""
"","","","NO. OF","","GRADE","","READING","MATH","PERCENT TESTED",""
"TYPE OF OFFENDER","","","OFFENDERS","","LEVEL","TESTED","%","TESTED
%","USING TABE",""
"Armed Robbery (Mandatory)","","","","1,890","8.8 - 12.9","1,935","33.68%","580
10.09%","Total Population","20,497"
"Lifers","","","","1,795","6.6 - 8.9","2,026","35.27%","1,745
30.36%","TABE Tested","5,747"
"Habitual Offenders","","","","1,458","3.6 - 6.9","1,092","19.01%","2,548
44.34%","",""
"","","","","","","","","","","28.04%"
"Habitual Lifers","","","","299","1.6 - 3.9","683","11.89%","861
14.98%","",""
"Death Row","","","","69","0.0 - 1.9","9","0.16%","13
0.23%","",""
"TOTAL","","","","5,511","TOTAL","5,745","100.00%","5,747","100.00% TABE test started September 2002",""
